MeasurementDateGMT,Nitric Oxide (ug/m3),Nitrogen Dioxide (ug/m3),Oxides of Nitrogen (ug/m3),PM10 Particulate (ug/m3)
2016-04-08 00:00:00,2.7,54.3,58.4,10.6
2016-04-08 01:00:00,2.4,46.3,50.0,9.6
2016-04-08 02:00:00,21.5,59.2,92.1,9.0
2016-04-08 03:00:00,22.8,56.1,91.0,16.0
2016-04-08 04:00:00,12.2,59.6,78.3,10.2
2016-04-08 05:00:00,37.2,63.5,120.6,15.8
2016-04-08 06:00:00,60.0,73.2,165.3,21.3
2016-04-08 07:00:00,37.7,62.4,120.3,23.6
2016-04-08 08:00:00,24.1,47.2,84.1,23.3
2016-04-08 09:00:00,13.4,37.2,57.7,21.1
2016-04-08 10:00:00,8.5,31.3,44.4,17.6
2016-04-08 11:00:00,5.0,21.3,28.9,19.6
2016-04-08 12:00:00,2.8,19.8,24.1,15.7
2016-04-08 13:00:00,7.9,42.1,54.2,27.4
2016-04-08 14:00:00,7.6,36.4,48.0,20.5
2016-04-08 15:00:00,4.7,23.2,30.4,19.3
2016-04-08 16:00:00,2.3,19.6,23.2,12.6
2016-04-08 17:00:00,1.7,15.0,17.6,16.2
2016-04-08 18:00:00,1.6,20.4,22.8,10.0
2016-04-08 19:00:00,2.9,26.8,31.3,15.8
2016-04-08 20:00:00,1.1,26.1,27.7,17.2
2016-04-08 21:00:00,1.4,20.6,22.7,17.7
2016-04-08 22:00:00,1.4,18.2,20.3,15.9
2016-04-08 23:00:00,1.1,14.6,16.3,16.1
2016-04-09 00:00:00,1.6,12.0,14.5,17.1
2016-04-09 01:00:00,0.9,9.9,11.3,16.3
2016-04-09 02:00:00,0.7,5.2,6.3,13.8
2016-04-09 03:00:00,1.3,5.3,7.3,14.2
2016-04-09 04:00:00,1.3,6.9,9.0,11.4
2016-04-09 05:00:00,1.1,8.7,10.4,5.4
2016-04-09 06:00:00,1.9,12.6,15.6,6.1
2016-04-09 07:00:00,1.6,14.3,16.8,7.7
2016-04-09 08:00:00,5.5,37.3,45.7,4.2
2016-04-09 09:00:00,5.1,25.7,33.5,8.6
2016-04-09 10:00:00,8.4,22.5,35.4,11.6
2016-04-09 11:00:00,8.9,14.0,27.6,15.3
2016-04-09 12:00:00,3.1,10.4,15.1,12.5
2016-04-09 13:00:00,2.3,6.7,10.2,20.1
2016-04-09 14:00:00,1.9,6.6,9.5,13.3
2016-04-09 15:00:00,1.1,4.1,5.8,8.1
2016-04-09 16:00:00,1.3,4.9,6.9,9.0
2016-04-09 17:00:00,1.1,7.1,8.7,2.9
2016-04-09 18:00:00,1.1,13.5,15.1,6.2
2016-04-09 19:00:00,1.0,18.0,19.6,6.1
2016-04-09 20:00:00,0.7,18.5,19.6,10.0
2016-04-09 21:00:00,0.8,24.2,25.4,9.3
2016-04-09 22:00:00,0.9,28.4,29.8,10.7
2016-04-09 23:00:00,1.0,23.5,25.0,10.5
2016-04-10 00:00:00,0.3,18.3,18.8,8.1
2016-04-10 01:00:00,1.6,20.9,23.3,11.0
2016-04-10 02:00:00,20.4,65.4,96.8,22.8
2016-04-10 03:00:00,19.4,68.4,98.2,15.0
2016-04-10 04:00:00,42.7,71.2,136.7,15.9
2016-04-10 05:00:00,19.9,60.0,90.5,19.5
2016-04-10 06:00:00,21.3,56.8,89.4,14.5
2016-04-10 07:00:00,17.5,45.9,72.8,20.7
2016-04-10 08:00:00,3.6,16.0,21.5,15.0
2016-04-10 09:00:00,2.3,8.0,11.5,10.5
2016-04-10 10:00:00,2.8,9.5,13.7,10.3
2016-04-10 11:00:00,3.3,11.4,16.5,21.9
2016-04-10 12:00:00,3.1,12.1,16.8,15.5
2016-04-10 13:00:00,3.1,14.5,19.2,14.7
2016-04-10 14:00:00,2.3,11.0,14.6,18.9
2016-04-10 15:00:00,2.7,13.9,18.1,18.0
2016-04-10 16:00:00,2.9,17.6,22.1,21.2
2016-04-10 17:00:00,2.2,16.9,19.6,21.8
2016-04-10 18:00:00,1.4,22.0,24.1,21.3
2016-04-10 19:00:00,1.4,25.0,27.2,21.0
2016-04-10 20:00:00,1.5,22.5,24.8,23.4
2016-04-10 21:00:00,1.5,21.8,24.1,22.8
2016-04-10 22:00:00,1.2,22.7,24.5,25.4
2016-04-10 23:00:00,1.3,20.9,23.0,29.9
2016-04-11 00:00:00,1.2,19.0,20.9,28.5
2016-04-11 01:00:00,1.6,20.2,22.6,31.9
2016-04-11 02:00:00,1.3,19.2,21.1,36.9
2016-04-11 03:00:00,2.1,24.5,27.8,37.3
2016-04-11 04:00:00,6.2,37.8,47.4,39.6
2016-04-11 05:00:00,19.0,54.3,83.5,42.7
2016-04-11 06:00:00,21.0,51.6,83.8,42.5
2016-04-11 07:00:00,16.9,41.2,67.1,40.4
2016-04-11 08:00:00,10.2,27.7,43.3,39.2
2016-04-11 09:00:00,9.4,25.6,40.1,35.8
2016-04-11 10:00:00,9.3,26.0,40.2,36.8
2016-04-11 11:00:00,10.6,35.0,51.2,43.2
2016-04-11 12:00:00,,,,
2016-04-11 13:00:00,9.6,35.6,50.3,
2016-04-11 14:00:00,12.9,45.7,65.5,23.8
2016-04-11 15:00:00,6.7,29.4,39.6,13.0
2016-04-11 16:00:00,6.3,31.2,40.9,13.9
2016-04-11 17:00:00,7.2,37.9,49.0,20.6
2016-04-11 18:00:00,3.5,38.2,43.6,19.2
2016-04-11 19:00:00,6.7,43.8,54.1,24.9
2016-04-11 20:00:00,1.7,46.8,49.3,22.3
2016-04-11 21:00:00,2.6,46.2,50.1,17.3
2016-04-11 22:00:00,1.7,45.2,47.8,13.7
2016-04-11 23:00:00,1.3,42.5,44.5,14.3
2016-04-12 00:00:00,2.2,33.4,36.8,16.2
2016-04-12 01:00:00,1.7,21.9,24.4,11.8
2016-04-12 02:00:00,1.0,19.8,21.4,11.0
2016-04-12 03:00:00,1.9,22.8,25.7,10.1
2016-04-12 04:00:00,3.9,36.3,42.3,11.4
2016-04-12 05:00:00,10.5,36.2,52.3,12.9
2016-04-12 06:00:00,9.7,45.3,60.2,8.6
2016-04-12 07:00:00,13.0,47.6,67.6,13.4
2016-04-12 08:00:00,17.4,43.3,70.0,11.9
2016-04-12 09:00:00,9.4,26.5,40.9,7.5
2016-04-12 10:00:00,6.1,18.3,27.6,6.7
2016-04-12 11:00:00,4.8,13.3,20.6,6.2
2016-04-12 12:00:00,3.4,13.1,18.3,11.4
2016-04-12 13:00:00,3.9,14.4,20.5,13.0
2016-04-12 14:00:00,1.9,9.0,11.8,15.8
2016-04-12 15:00:00,1.7,7.1,9.7,10.8
2016-04-12 16:00:00,4.0,18.1,24.3,17.7
2016-04-12 17:00:00,3.9,30.9,36.9,6.6
2016-04-12 18:00:00,4.2,48.5,55.0,20.1
2016-04-12 19:00:00,5.0,58.5,66.1,14.7
2016-04-12 20:00:00,7.1,63.1,73.9,15.2
2016-04-12 21:00:00,38.7,80.2,139.6,22.5
2016-04-12 22:00:00,41.3,72.6,135.9,24.3
2016-04-12 23:00:00,62.9,60.4,156.8,24.3
2016-04-13 00:00:00,86.9,56.8,190.0,28.5
2016-04-13 01:00:00,110.9,57.3,227.3,29.7
2016-04-13 02:00:00,100.4,49.9,203.9,31.4
2016-04-13 03:00:00,87.9,42.0,176.8,31.9
2016-04-13 04:00:00,94.8,48.7,194.1,20.9
2016-04-13 05:00:00,169.8,52.7,313.0,37.3
2016-04-13 06:00:00,307.3,86.2,557.4,73.5
2016-04-13 07:00:00,114.9,87.9,264.1,41.0
2016-04-13 08:00:00,74.1,84.3,197.9,25.2
2016-04-13 09:00:00,35.2,69.5,123.5,29.9
2016-04-13 10:00:00,21.1,50.0,82.4,12.9
2016-04-13 11:00:00,26.3,58.7,99.1,23.8
