MeasurementDateGMT,Nitric Oxide (ug/m3),Nitrogen Dioxide (ug/m3),Oxides of Nitrogen (ug/m3),Ozone (ug/m3),PM10 Particulate (ug/m3)
2016-04-08 00:00:00,6.1,52.1,61.4,,11.8
2016-04-08 01:00:00,2.8,47.2,51.5,,10.7
2016-04-08 02:00:00,2.4,35.5,39.1,,8.5
2016-04-08 03:00:00,2.3,31.9,35.4,,8.6
2016-04-08 04:00:00,2.9,37.3,41.9,,8.7
2016-04-08 05:00:00,12.5,52.5,71.8,,12.3
2016-04-08 06:00:00,29.9,57.5,103.4,,14.6
2016-04-08 07:00:00,37.5,53.9,111.4,,9.7
2016-04-08 08:00:00,18.3,35.7,63.8,,20.2
2016-04-08 09:00:00,17.9,38.4,65.8,,21.3
2016-04-08 10:00:00,18.5,45.1,73.5,,23.1
2016-04-08 11:00:00,6.0,22.2,31.4,,18.5
2016-04-08 12:00:00,4.5,21.7,28.7,,16.4
2016-04-08 13:00:00,6.3,39.3,48.9,,22.0
2016-04-08 14:00:00,4.9,26.3,33.7,,15.4
2016-04-08 15:00:00,4.0,18.0,24.2,,16.2
2016-04-08 16:00:00,1.9,14.0,16.9,,15.1
2016-04-08 17:00:00,2.0,14.3,17.3,,15.7
2016-04-08 18:00:00,1.3,18.7,20.7,,13.1
2016-04-08 19:00:00,1.9,24.6,27.5,,16.3
2016-04-08 20:00:00,1.4,25.2,27.3,,20.0
2016-04-08 21:00:00,1.4,16.7,18.9,,17.3
2016-04-08 22:00:00,0.7,11.5,12.5,,18.1
2016-04-08 23:00:00,0.5,8.0,8.7,,17.2
2016-04-09 00:00:00,0.8,7.8,9.0,,15.6
2016-04-09 01:00:00,0.5,5.2,6.0,,14.5
2016-04-09 02:00:00,0.5,-1.1,-0.3,,13.0
2016-04-09 03:00:00,1.0,-2.6,-1.0,,14.0
2016-04-09 04:00:00,0.7,-1.8,-0.7,,11.7
2016-04-09 05:00:00,0.6,-0.8,0.2,,6.6
2016-04-09 06:00:00,1.6,1.9,4.3,,5.5
2016-04-09 07:00:00,2.2,7.9,11.2,,4.9
2016-04-09 08:00:00,2.9,19.7,24.1,,2.7
2016-04-09 09:00:00,3.7,17.3,22.9,,8.3
2016-04-09 10:00:00,4.5,11.7,18.6,,10.1
2016-04-09 11:00:00,3.0,7.4,12.0,,12.9
2016-04-09 12:00:00,2.5,5.8,9.6,,14.3
2016-04-09 13:00:00,2.2,2.0,5.3,,11.3
2016-04-09 14:00:00,1.5,2.7,4.9,,20.3
2016-04-09 15:00:00,1.3,1.6,3.6,,12.0
2016-04-09 16:00:00,1.7,4.7,7.3,,9.2
2016-04-09 17:00:00,1.2,3.7,5.6,,7.2
2016-04-09 18:00:00,1.0,5.5,7.0,,7.6
2016-04-09 19:00:00,1.0,11.1,12.6,,6.2
2016-04-09 20:00:00,1.1,16.8,18.4,,9.0
2016-04-09 21:00:00,1.2,26.9,28.8,,6.9
2016-04-09 22:00:00,1.1,26.1,27.8,,11.8
2016-04-09 23:00:00,0.9,19.4,20.8,,9.6
2016-04-10 00:00:00,0.4,15.1,15.7,,8.8
2016-04-10 01:00:00,0.4,16.4,17.0,,9.7
2016-04-10 02:00:00,0.2,14.7,15.1,,9.2
2016-04-10 03:00:00,1.1,32.2,33.9,,12.2
2016-04-10 04:00:00,0.8,35.3,36.6,,8.8
2016-04-10 05:00:00,2.7,34.6,38.8,,11.3
2016-04-10 06:00:00,5.7,28.4,37.1,,6.0
2016-04-10 07:00:00,6.5,20.0,30.0,,13.0
2016-04-10 08:00:00,2.0,2.4,5.4,,6.1
2016-04-10 09:00:00,1.6,1.5,4.0,,11.1
2016-04-10 10:00:00,1.4,0.4,2.6,,9.6
2016-04-10 11:00:00,1.4,0.8,2.9,,14.7
2016-04-10 12:00:00,1.8,1.8,4.6,,16.4
2016-04-10 13:00:00,2.1,4.2,7.5,,18.2
2016-04-10 14:00:00,1.5,2.3,4.6,,19.1
2016-04-10 15:00:00,1.4,4.1,6.3,,15.8
2016-04-10 16:00:00,1.3,8.1,10.1,,17.5
2016-04-10 17:00:00,1.2,9.1,10.9,,21.7
2016-04-10 18:00:00,0.8,12.6,13.9,,23.2
2016-04-10 19:00:00,0.5,20.6,21.4,,22.3
2016-04-10 20:00:00,0.8,23.6,24.9,,23.0
2016-04-10 21:00:00,0.6,18.1,19.0,,22.3
2016-04-10 22:00:00,0.0,13.3,13.4,,25.6
2016-04-10 23:00:00,0.4,14.4,15.0,,28.3
2016-04-11 00:00:00,0.4,21.2,21.8,,29.8
2016-04-11 01:00:00,0.3,18.0,18.4,,31.8
