MeasurementDateGMT,Nitric Oxide (ug/m3),Nitrogen Dioxide (ug/m3),Oxides of Nitrogen (ug/m3),Ozone (ug/m3),PM10 Particulate (ug/m3),PM2.5 Particulate (ug/m3),Sulphur Dioxide (ug/m3)
2016-04-08 00:00:00,27.7,51.6,94.1,,10.0,,
2016-04-08 01:00:00,90.2,72.1,210.4,,14.0,,
2016-04-08 02:00:00,70.3,66.6,174.3,,12.0,,
2016-04-08 03:00:00,145.2,89.7,312.4,,16.0,,
2016-04-08 04:00:00,193.3,107.1,403.5,,25.0,,
2016-04-08 05:00:00,539.2,161.4,988.2,,42.0,,
2016-04-08 06:00:00,414.2,185.7,820.7,,45.0,,
2016-04-08 07:00:00,278.4,134.3,561.2,,62.0,,
2016-04-08 08:00:00,146.8,98.7,323.8,,44.0,,
2016-04-08 09:00:00,59.1,70.5,161.1,,34.0,,
2016-04-08 10:00:00,103.3,78.8,237.2,,42.0,,
2016-04-08 11:00:00,180.8,115.9,393.1,,49.0,,
2016-04-08 12:00:00,225.9,130.1,476.4,,58.0,,
2016-04-08 13:00:00,171.5,106.3,369.2,,47.0,,
2016-04-08 14:00:00,198.8,147.4,452.2,,57.0,,
2016-04-08 15:00:00,166.4,110.0,365.1,,45.0,,
2016-04-08 16:00:00,133.1,106.5,310.5,,39.0,,
2016-04-08 17:00:00,155.4,99.5,337.8,,36.0,,
2016-04-08 18:00:00,113.1,106.1,279.5,,32.0,,
2016-04-08 19:00:00,114.8,90.2,266.2,,35.0,,
2016-04-08 20:00:00,78.9,86.2,207.2,,31.0,,
2016-04-08 21:00:00,85.6,70.6,201.8,,31.0,,
2016-04-08 22:00:00,78.3,78.5,198.5,,29.0,,
2016-04-08 23:00:00,46.4,55.7,126.8,,24.0,,
2016-04-09 00:00:00,27.0,43.4,84.7,,20.0,,
2016-04-09 01:00:00,16.1,29.2,54.0,,17.0,,
2016-04-09 02:00:00,13.8,23.0,44.2,,16.0,,
2016-04-09 03:00:00,11.4,16.0,33.5,,14.0,,
2016-04-09 04:00:00,11.5,19.2,36.7,,8.0,,
2016-04-09 05:00:00,35.4,38.5,92.8,,7.0,,
2016-04-09 06:00:00,86.4,77.3,209.8,,11.0,,
2016-04-09 07:00:00,152.4,109.8,343.5,,25.0,,
2016-04-09 08:00:00,119.5,100.1,283.3,,21.0,,
2016-04-09 09:00:00,96.0,79.9,227.1,,22.0,,
2016-04-09 10:00:00,72.2,70.8,181.5,,35.0,,
2016-04-09 11:00:00,83.2,70.8,198.3,,42.0,,
2016-04-09 12:00:00,66.6,72.7,174.7,,30.0,,
