MeasurementDateGMT,Nitric Oxide (ug/m3),Nitrogen Dioxide (ug/m3),Oxides of Nitrogen (ug/m3),PM10 Particulate (ug/m3),PM2.5 Particulate (ug/m3)
2016-04-08 00:00:00,11.3,60.5,77.8,9.8,12.7
2016-04-08 01:00:00,2.9,35.6,40.0,6.0,9.2
2016-04-08 02:00:00,4.1,41.8,48.0,6.8,7.7
2016-04-08 03:00:00,3.9,39.3,45.3,4.2,2.1
2016-04-08 04:00:00,10.5,54.9,71.0,11.3,6.3
2016-04-08 05:00:00,126.8,89.3,283.8,17.9,13.0
2016-04-08 06:00:00,176.9,98.9,370.2,20.4,14.4
2016-04-08 07:00:00,153.5,96.5,331.9,31.9,19.4
2016-04-08 08:00:00,86.5,80.5,213.1,27.9,16.9
2016-04-08 09:00:00,63.5,62.4,159.7,24.3,15.5
2016-04-08 10:00:00,67.5,64.7,168.1,18.3,13.9
2016-04-08 11:00:00,118.6,84.4,266.2,24.4,10.1
2016-04-08 12:00:00,51.4,67.2,146.0,16.5,10.9
2016-04-08 13:00:00,62.0,73.5,168.5,16.7,11.5
2016-04-08 14:00:00,67.0,79.1,181.9,21.5,12.2
2016-04-08 15:00:00,56.0,81.7,167.5,24.7,11.8
2016-04-08 16:00:00,42.1,80.8,145.3,20.4,8.8
2016-04-08 17:00:00,66.2,92.7,194.2,16.0,10.8
2016-04-08 18:00:00,40.0,77.7,139.0,13.6,9.1
2016-04-08 19:00:00,28.0,68.9,111.9,16.3,9.6
2016-04-08 20:00:00,23.0,64.7,99.9,20.2,13.0
2016-04-08 21:00:00,17.3,56.1,82.7,19.1,10.5
2016-04-08 22:00:00,14.3,49.6,71.6,13.9,8.3
2016-04-08 23:00:00,11.4,43.6,61.1,14.9,8.3
2016-04-09 00:00:00,8.0,34.8,47.0,17.8,12.1
2016-04-09 01:00:00,6.5,27.6,37.5,13.2,6.0
2016-04-09 02:00:00,4.5,20.6,27.5,11.5,5.9
2016-04-09 03:00:00,4.2,18.0,24.4,7.1,2.9
2016-04-09 04:00:00,6.2,21.5,31.0,1.4,5.4
2016-04-09 05:00:00,19.1,35.5,64.8,2.5,4.5
2016-04-09 06:00:00,12.3,37.3,56.2,3.8,-0.6
2016-04-09 07:00:00,37.8,60.3,118.2,5.8,4.9
2016-04-09 08:00:00,41.2,70.3,133.5,11.0,6.8
2016-04-09 09:00:00,35.7,56.6,111.4,9.8,7.3
2016-04-09 10:00:00,37.5,45.5,103.0,12.4,7.5
2016-04-09 11:00:00,41.8,49.3,113.4,12.3,8.6
2016-04-09 12:00:00,41.4,58.2,121.8,19.0,8.9
2016-04-09 13:00:00,51.1,79.4,157.7,18.0,9.9
2016-04-09 14:00:00,28.6,51.4,95.2,16.7,11.1
2016-04-09 15:00:00,19.7,45.4,75.6,15.9,5.9
2016-04-09 16:00:00,20.2,39.1,70.0,5.1,1.1
2016-04-09 17:00:00,20.4,49.9,81.1,6.3,3.7
2016-04-09 18:00:00,13.1,44.8,64.9,2.3,3.1
2016-04-09 19:00:00,16.7,58.4,84.0,2.1,7.5
2016-04-09 20:00:00,21.8,69.6,103.1,6.6,9.1
2016-04-09 21:00:00,30.4,81.0,127.7,11.8,10.0
2016-04-09 22:00:00,29.0,72.8,117.3,12.0,9.5
2016-04-09 23:00:00,26.9,72.7,114.0,13.4,9.1
2016-04-10 00:00:00,20.2,62.1,93.1,11.2,1.9
2016-04-10 01:00:00,16.3,72.9,97.9,10.9,7.9
2016-04-10 02:00:00,14.7,75.2,97.8,12.8,6.0
2016-04-10 03:00:00,25.2,83.4,122.0,10.8,10.4
2016-04-10 04:00:00,38.3,85.9,144.6,15.2,7.1
2016-04-10 05:00:00,51.4,87.7,166.6,22.9,11.6
2016-04-10 06:00:00,65.0,87.6,187.2,18.5,10.5
2016-04-10 07:00:00,96.7,91.2,239.4,16.8,10.4
2016-04-10 08:00:00,102.7,94.2,251.6,12.8,7.5
2016-04-10 09:00:00,104.0,87.6,247.1,13.5,5.4
2016-04-10 10:00:00,102.6,90.8,248.1,10.6,5.5
2016-04-10 11:00:00,72.4,73.7,184.7,13.0,6.8
2016-04-10 12:00:00,88.6,84.9,220.8,9.1,8.9
2016-04-10 13:00:00,77.1,84.7,202.9,10.4,6.8
2016-04-10 14:00:00,41.4,60.1,123.6,18.3,9.0
2016-04-10 15:00:00,49.6,70.3,146.4,20.4,10.2
2016-04-10 16:00:00,61.4,83.0,177.1,21.9,13.7
