MeasurementDateGMT,Nitric Oxide (ug/m3),Nitrogen Dioxide (ug/m3),Oxides of Nitrogen (ug/m3)
2016-04-08 00:00:00,103.5,62.4,221.1
2016-04-08 01:00:00,32.4,43.7,93.4
2016-04-08 02:00:00,41.1,39.1,102.1
2016-04-08 03:00:00,55.8,39.9,125.4
2016-04-08 04:00:00,75.3,44.6,160.1
2016-04-08 05:00:00,132.4,48.7,251.7
2016-04-08 06:00:00,168.1,68.4,326.1
2016-04-08 07:00:00,123.6,68.4,257.9
2016-04-08 08:00:00,81.9,61.6,187.2
2016-04-08 09:00:00,73.7,65.3,178.3
2016-04-08 10:00:00,53.0,55.1,136.4
2016-04-08 11:00:00,35.3,42.8,97.0
2016-04-08 12:00:00,64.8,68.6,168.0
2016-04-08 13:00:00,53.6,56.2,138.5
2016-04-08 14:00:00,47.6,49.2,122.3
2016-04-08 15:00:00,24.9,37.7,75.8
2016-04-08 16:00:00,20.0,36.1,66.7
2016-04-08 17:00:00,25.5,40.7,79.9
2016-04-08 18:00:00,18.9,39.2,68.1
2016-04-08 19:00:00,20.7,49.5,81.3
2016-04-08 20:00:00,26.4,47.3,87.8
2016-04-08 21:00:00,15.7,46.4,70.5
2016-04-08 22:00:00,26.5,52.5,93.2
2016-04-08 23:00:00,38.7,49.1,108.5
2016-04-09 00:00:00,25.5,44.0,83.1
2016-04-09 01:00:00,8.4,25.2,38.1
2016-04-09 02:00:00,7.0,17.9,28.7
2016-04-09 03:00:00,4.9,17.1,24.7
2016-04-09 04:00:00,9.2,19.6,33.6
2016-04-09 05:00:00,20.9,31.6,63.7
2016-04-09 06:00:00,32.9,37.9,88.4
2016-04-09 07:00:00,40.6,47.6,109.9
2016-04-09 08:00:00,33.7,43.0,94.7
2016-04-09 09:00:00,37.7,43.8,101.6
2016-04-09 10:00:00,17.7,22.8,49.9
2016-04-09 11:00:00,18.6,28.8,57.3
2016-04-09 12:00:00,16.4,24.8,49.9
2016-04-09 13:00:00,13.3,21.0,41.4
2016-04-09 14:00:00,14.9,25.3,48.2
2016-04-09 15:00:00,10.0,22.6,38.0
2016-04-09 16:00:00,8.9,18.1,31.7
2016-04-09 17:00:00,7.4,25.8,37.1
2016-04-09 18:00:00,12.6,26.6,45.9
2016-04-09 19:00:00,27.3,44.3,86.2
2016-04-09 20:00:00,35.0,54.4,108.1
2016-04-09 21:00:00,45.2,60.9,130.2
2016-04-09 22:00:00,29.9,36.5,82.3
2016-04-09 23:00:00,60.4,72.8,165.5
2016-04-10 00:00:00,61.0,80.3,173.8
2016-04-10 01:00:00,49.5,68.9,144.7
2016-04-10 02:00:00,38.4,49.2,108.0
2016-04-10 03:00:00,25.8,54.8,94.3
2016-04-10 04:00:00,29.1,53.7,98.3
2016-04-10 05:00:00,43.7,59.1,126.2
2016-04-10 06:00:00,50.3,56.6,133.7
2016-04-10 07:00:00,44.7,43.2,111.8
2016-04-10 08:00:00,46.5,36.5,107.7
2016-04-10 09:00:00,44.8,44.7,113.4
2016-04-10 10:00:00,54.2,51.5,134.6
2016-04-10 11:00:00,50.7,42.7,120.5
2016-04-10 12:00:00,46.0,50.2,120.7
2016-04-10 13:00:00,47.8,46.1,119.3
2016-04-10 14:00:00,41.9,46.8,111.0
2016-04-10 15:00:00,39.1,47.8,107.8
2016-04-10 16:00:00,42.8,51.5,117.1
2016-04-10 17:00:00,49.4,47.4,123.2
2016-04-10 18:00:00,36.6,53.8,109.8
2016-04-10 19:00:00,31.8,32.9,81.7
2016-04-10 20:00:00,53.0,39.0,120.3
2016-04-10 21:00:00,51.2,57.9,136.4
2016-04-10 22:00:00,32.3,43.0,92.6
2016-04-10 23:00:00,29.8,44.3,90.0
2016-04-11 00:00:00,25.5,39.5,78.6
2016-04-11 01:00:00,10.9,27.3,44.0
2016-04-11 02:00:00,13.2,29.1,49.4
2016-04-11 03:00:00,15.8,36.4,60.6
2016-04-11 04:00:00,31.7,42.1,90.7
2016-04-11 05:00:00,127.1,65.6,260.4
2016-04-11 06:00:00,163.4,71.0,321.6
2016-04-11 07:00:00,162.5,57.8,307.0
2016-04-11 08:00:00,110.6,61.5,231.0
2016-04-11 09:00:00,118.3,73.1,254.5
2016-04-11 10:00:00,153.5,56.0,291.5
2016-04-11 11:00:00,152.0,64.2,297.3
2016-04-11 12:00:00,152.8,59.2,293.5
2016-04-11 13:00:00,45.3,60.6,130.0
2016-04-11 14:00:00,47.8,61.9,135.2
2016-04-11 15:00:00,62.6,63.6,159.5
2016-04-11 16:00:00,56.9,58.5,145.7
2016-04-11 17:00:00,55.6,59.1,144.3
2016-04-11 18:00:00,60.5,56.6,149.4
2016-04-11 19:00:00,72.0,86.3,196.7
2016-04-11 20:00:00,83.8,61.2,189.7
2016-04-11 21:00:00,59.3,42.9,133.9
2016-04-11 22:00:00,104.7,38.2,198.7
2016-04-11 23:00:00,42.9,39.0,104.8
2016-04-12 00:00:00,18.8,34.8,63.7
2016-04-12 01:00:00,2.6,21.5,25.4
2016-04-12 02:00:00,2.9,18.7,23.3
2016-04-12 03:00:00,4.7,28.6,35.8
2016-04-12 04:00:00,43.7,44.7,111.8
2016-04-12 05:00:00,49.6,58.8,134.9
2016-04-12 06:00:00,103.7,77.8,236.9
2016-04-12 07:00:00,104.2,84.3,244.1
2016-04-12 08:00:00,53.2,58.0,139.5
2016-04-12 09:00:00,32.9,49.2,99.7
2016-04-12 10:00:00,,,
2016-04-12 11:00:00,21.1,27.7,60.1
2016-04-12 12:00:00,15.8,25.1,49.4
2016-04-12 13:00:00,20.6,28.3,59.9
2016-04-12 14:00:00,15.7,29.1,53.1
2016-04-12 15:00:00,18.1,26.4,54.1
2016-04-12 16:00:00,25.1,36.1,74.6
2016-04-12 17:00:00,26.6,33.7,74.4
2016-04-12 18:00:00,21.4,40.2,73.0
2016-04-12 19:00:00,18.9,55.0,84.0
2016-04-12 20:00:00,22.1,60.5,94.4
2016-04-12 21:00:00,56.2,81.6,167.7
2016-04-12 22:00:00,38.3,73.4,132.2
2016-04-12 23:00:00,49.9,72.4,148.9
2016-04-13 00:00:00,29.3,61.8,106.7
2016-04-13 01:00:00,13.9,46.8,68.2
2016-04-13 02:00:00,16.9,45.3,71.2
2016-04-13 03:00:00,46.9,51.3,123.3
2016-04-13 04:00:00,86.5,58.9,191.5
2016-04-13 05:00:00,123.3,57.6,246.6
2016-04-13 06:00:00,242.8,75.3,447.6
2016-04-13 07:00:00,245.1,77.5,453.3
2016-04-13 08:00:00,103.0,79.2,237.2
2016-04-13 09:00:00,96.3,83.0,230.7
2016-04-13 10:00:00,44.4,60.9,129.0
2016-04-13 11:00:00,69.6,64.0,170.7
2016-04-13 12:00:00,24.3,38.3,75.5
2016-04-13 13:00:00,20.3,35.9,67.1
2016-04-13 14:00:00,43.6,54.2,121.0
2016-04-13 15:00:00,34.7,47.8,101.1
2016-04-13 16:00:00,34.8,56.8,110.1
2016-04-13 17:00:00,34.3,56.4,109.0
2016-04-13 18:00:00,52.7,63.3,144.2
2016-04-13 19:00:00,38.0,66.6,124.9
2016-04-13 20:00:00,23.8,62.0,98.4
2016-04-13 21:00:00,53.5,71.4,153.4
2016-04-13 22:00:00,44.7,71.4,140.0
2016-04-13 23:00:00,51.1,73.2,151.6
2016-04-14 00:00:00,42.6,58.3,123.6
2016-04-14 01:00:00,17.7,53.8,80.9
2016-04-14 02:00:00,15.8,46.3,70.5
2016-04-14 03:00:00,21.7,48.1,81.4
2016-04-14 04:00:00,48.6,59.8,134.3
2016-04-14 05:00:00,119.4,71.3,254.4
2016-04-14 06:00:00,186.4,80.2,366.0
2016-04-14 07:00:00,136.2,79.7,288.5
2016-04-14 08:00:00,110.5,82.6,252.0
2016-04-14 09:00:00,117.3,76.7,256.5
2016-04-14 10:00:00,123.5,77.3,266.6
2016-04-14 11:00:00,105.1,71.8,232.9
2016-04-14 12:00:00,83.9,66.4,195.1
2016-04-14 13:00:00,78.0,76.9,196.6
2016-04-14 14:00:00,58.3,52.2,141.6
2016-04-14 15:00:00,38.2,46.2,104.7
2016-04-14 16:00:00,24.1,33.5,70.6
2016-04-14 17:00:00,32.7,48.2,98.3
2016-04-14 18:00:00,37.5,61.6,119.0
2016-04-14 19:00:00,34.5,60.9,113.8
2016-04-14 20:00:00,14.7,46.5,69.0
2016-04-14 21:00:00,20.9,40.5,72.4
2016-04-14 22:00:00,73.2,74.2,186.4
2016-04-14 23:00:00,57.8,60.5,149.1
2016-04-15 00:00:00,46.2,60.0,130.9
2016-04-15 01:00:00,22.9,43.5,78.7
2016-04-15 02:00:00,26.0,43.2,83.0
2016-04-15 03:00:00,32.8,49.6,100.0
2016-04-15 04:00:00,73.3,73.5,185.9
2016-04-15 05:00:00,127.6,81.0,276.6
2016-04-15 06:00:00,152.6,86.4,320.4
2016-04-15 07:00:00,108.4,69.2,235.5
2016-04-15 08:00:00,59.5,57.9,149.1
2016-04-15 09:00:00,35.3,47.5,101.6
2016-04-15 10:00:00,33.3,41.6,92.7
2016-04-15 11:00:00,41.6,46.0,109.8
2016-04-15 12:00:00,14.2,30.4,52.1
