MeasurementDateGMT,Nitric Oxide (ug/m3),Nitrogen Dioxide (ug/m3),Oxides of Nitrogen (ug/m3),PM10 Particulate (ug/m3),PM2.5 Particulate (ug/m3)
2016-04-08 00:00:00,12.8,58.9,78.6,15.0,10.0
2016-04-08 01:00:00,5.6,49.5,58.0,9.0,6.0
2016-04-08 02:00:00,6.3,53.7,63.3,9.0,3.0
2016-04-08 03:00:00,5.5,53.2,61.6,10.0,5.0
2016-04-08 04:00:00,8.2,58.3,70.9,9.0,7.0
2016-04-08 05:00:00,20.0,61.8,92.5,20.0,7.0
2016-04-08 06:00:00,38.4,66.7,125.5,27.0,15.0
2016-04-08 07:00:00,72.8,76.7,188.3,42.0,16.0
2016-04-08 08:00:00,90.7,77.7,216.8,39.0,19.0
2016-04-08 09:00:00,77.5,76.4,195.3,31.0,17.0
2016-04-08 10:00:00,33.8,61.5,113.4,39.0,18.0
2016-04-08 11:00:00,23.5,65.8,101.8,35.0,18.0
2016-04-08 12:00:00,19.7,58.6,88.7,27.0,14.0
2016-04-08 13:00:00,29.9,66.2,112.1,30.0,20.0
2016-04-08 14:00:00,17.5,54.0,80.9,25.0,10.0
2016-04-08 15:00:00,10.6,43.4,59.7,14.0,10.0
2016-04-08 16:00:00,5.5,42.9,51.3,14.0,8.0
2016-04-08 17:00:00,3.7,36.3,42.1,11.0,7.0
2016-04-08 18:00:00,4.4,39.8,46.5,17.0,7.0
2016-04-08 19:00:00,4.8,49.0,56.5,17.0,8.0
2016-04-08 20:00:00,4.3,48.3,54.9,23.0,15.0
2016-04-08 21:00:00,2.6,41.1,45.1,21.0,10.0
2016-04-08 22:00:00,2.1,37.4,40.6,13.0,7.0
2016-04-08 23:00:00,1.5,30.3,32.6,17.0,7.0
2016-04-09 00:00:00,2.0,25.7,28.8,18.0,7.0
2016-04-09 01:00:00,2.0,20.2,23.3,17.0,9.0
2016-04-09 02:00:00,1.2,15.8,17.7,15.0,9.0
2016-04-09 03:00:00,1.5,13.4,15.7,12.0,7.0
2016-04-09 04:00:00,1.6,12.0,14.5,8.0,4.0
2016-04-09 05:00:00,2.8,17.8,22.2,8.0,4.0
2016-04-09 06:00:00,3.6,25.8,31.3,11.0,6.0
2016-04-09 07:00:00,9.2,51.0,65.1,11.0,8.0
2016-04-09 08:00:00,12.5,51.6,70.8,20.0,6.0
2016-04-09 09:00:00,,,,12.0,7.0
2016-04-09 10:00:00,,,,16.0,9.0
2016-04-09 11:00:00,,,,15.0,7.0
2016-04-09 12:00:00,5.6,21.5,30.1,13.0,7.0
2016-04-09 13:00:00,6.7,30.5,40.8,13.0,6.0
2016-04-09 14:00:00,4.3,25.4,32.0,10.0,8.0
2016-04-09 15:00:00,4.9,26.1,33.6,6.0,6.0
2016-04-09 16:00:00,3.0,20.2,24.8,4.0,6.0
2016-04-09 17:00:00,2.8,23.7,27.9,4.0,1.0
2016-04-09 18:00:00,3.0,32.0,36.5,6.0,0.0
2016-04-09 19:00:00,2.2,32.0,35.3,9.0,1.0
2016-04-09 20:00:00,1.2,29.6,31.4,6.0,4.0
2016-04-09 21:00:00,2.4,38.9,42.5,4.0,8.0
2016-04-09 22:00:00,1.8,37.2,39.9,9.0,6.0
2016-04-09 23:00:00,2.4,43.3,47.1,11.0,6.0
2016-04-10 00:00:00,2.0,41.9,44.9,8.0,7.0
2016-04-10 01:00:00,2.1,43.4,46.7,11.0,8.0
2016-04-10 02:00:00,2.2,46.9,50.3,13.0,7.0
2016-04-10 03:00:00,4.8,50.6,58.0,11.0,7.0
2016-04-10 04:00:00,3.4,42.1,47.2,10.0,9.0
2016-04-10 05:00:00,3.8,40.4,46.3,8.0,8.0
2016-04-10 06:00:00,5.4,36.2,44.4,11.0,7.0
2016-04-10 07:00:00,6.6,32.0,42.0,16.0,6.0
2016-04-10 08:00:00,5.4,23.9,32.1,12.0,4.0
2016-04-10 09:00:00,4.1,17.0,23.3,13.0,4.0
2016-04-10 10:00:00,3.4,13.8,18.9,7.0,3.0
2016-04-10 11:00:00,2.9,14.0,18.4,10.0,2.0
2016-04-10 12:00:00,2.5,14.1,18.0,11.0,3.0
2016-04-10 13:00:00,5.7,23.9,32.6,15.0,4.0
2016-04-10 14:00:00,5.9,25.0,34.0,28.0,6.0
2016-04-10 15:00:00,4.7,23.6,30.9,19.0,10.0
2016-04-10 16:00:00,4.6,24.9,32.0,20.0,9.0
