MeasurementDateGMT,Nitric Oxide (ug/m3),Nitrogen Dioxide (ug/m3),Oxides of Nitrogen (ug/m3),PM10 Particulate (ug/m3)
2016-04-08 00:00:00,139.4,84.6,298.4,18.0
2016-04-08 01:00:00,34.9,64.6,118.1,10.0
2016-04-08 02:00:00,31.3,63.9,111.8,13.0
2016-04-08 03:00:00,17.2,57.2,83.5,10.0
2016-04-08 04:00:00,52.7,70.1,150.8,12.0
2016-04-08 05:00:00,192.5,97.1,392.2,25.0
2016-04-08 06:00:00,543.6,153.7,987.2,29.0
2016-04-08 07:00:00,552.4,138.5,985.6,43.0
2016-04-08 08:00:00,689.0,163.5,1220.0,66.0
2016-04-08 09:00:00,693.9,160.6,1224.5,49.0
2016-04-08 10:00:00,467.2,145.4,861.7,46.0
2016-04-08 11:00:00,624.2,143.9,1101.0,55.0
2016-04-08 12:00:00,372.4,135.4,706.3,49.0
2016-04-08 13:00:00,335.9,132.0,647.2,49.0
2016-04-08 14:00:00,248.3,117.1,497.8,35.0
2016-04-08 15:00:00,134.8,102.5,309.2,36.0
2016-04-08 16:00:00,405.0,134.6,755.5,26.0
2016-04-08 17:00:00,177.8,110.4,383.1,19.0
2016-04-08 18:00:00,156.4,115.2,355.0,21.0
2016-04-08 19:00:00,214.6,111.7,440.8,21.0
2016-04-08 20:00:00,133.3,105.6,310.0,24.0
2016-04-08 21:00:00,153.2,107.4,342.3,24.0
2016-04-08 22:00:00,224.8,133.5,478.2,19.0
2016-04-08 23:00:00,141.9,90.1,307.6,16.0
2016-04-09 00:00:00,66.7,77.3,179.6,17.0
2016-04-09 01:00:00,14.3,32.1,54.0,14.0
2016-04-09 02:00:00,5.4,24.6,32.8,14.0
2016-04-09 03:00:00,2.1,17.4,20.5,11.0
2016-04-09 04:00:00,1.6,16.8,19.3,5.0
2016-04-09 05:00:00,2.2,18.8,22.2,1.0
2016-04-09 06:00:00,14.2,34.0,55.7,4.0
2016-04-09 07:00:00,74.1,75.3,189.0,11.0
2016-04-09 08:00:00,58.5,76.9,166.5,14.0
2016-04-09 09:00:00,85.6,82.0,213.2,17.0
