MeasurementDateGMT,Carbon Monoxide (mg/m3),Nitric Oxide (ug/m3),Nitrogen Dioxide (ug/m3),Oxides of Nitrogen (ug/m3),Ozone (ug/m3)
2016-04-08 00:00:00,,36.8,67.9,124.4,
2016-04-08 01:00:00,,33.8,66.3,118.1,
2016-04-08 02:00:00,,36.9,63.5,120.1,
2016-04-08 03:00:00,,44.4,64.0,132.1,
2016-04-08 04:00:00,,119.3,102.3,285.1,
2016-04-08 05:00:00,,259.5,151.5,549.3,
2016-04-08 06:00:00,,221.6,118.6,458.5,
2016-04-08 07:00:00,,316.6,126.0,611.4,
2016-04-08 08:00:00,,428.5,176.7,833.7,
2016-04-08 09:00:00,,441.3,191.0,867.7,
2016-04-08 10:00:00,,412.8,161.2,794.1,
2016-04-08 11:00:00,,318.3,196.5,684.5,
2016-04-08 12:00:00,,337.1,166.3,683.1,
2016-04-08 13:00:00,,293.0,163.5,612.7,
2016-04-08 14:00:00,,332.3,175.7,685.3,
2016-04-08 15:00:00,,311.4,167.3,644.7,
2016-04-08 16:00:00,,358.3,157.5,706.9,
2016-04-08 17:00:00,,279.1,177.9,605.9,
2016-04-08 18:00:00,,296.3,160.0,614.3,
2016-04-08 19:00:00,,143.1,107.7,327.1,
2016-04-08 20:00:00,,142.2,122.1,340.1,
2016-04-08 21:00:00,,128.4,120.6,317.4,
2016-04-08 22:00:00,,93.7,100.4,244.1,
2016-04-08 23:00:00,,96.8,96.7,245.2,
2016-04-09 00:00:00,,95.3,90.9,237.0,
2016-04-09 01:00:00,,46.3,61.6,132.5,
2016-04-09 02:00:00,,37.2,55.0,112.0,
2016-04-09 03:00:00,,42.3,58.7,123.7,
2016-04-09 04:00:00,,65.9,70.6,171.6,
2016-04-09 05:00:00,,126.5,95.1,289.1,
2016-04-09 06:00:00,,196.3,124.0,425.0,
2016-04-09 07:00:00,,147.2,132.4,358.1,
2016-04-09 08:00:00,,345.8,169.4,699.6,
2016-04-09 09:00:00,,218.7,141.7,477.1,
2016-04-09 10:00:00,,265.8,175.7,583.3,
2016-04-09 11:00:00,,221.0,143.0,481.9,
2016-04-09 12:00:00,,204.2,129.0,442.1,
2016-04-09 13:00:00,,176.2,176.5,446.7,
2016-04-09 14:00:00,,216.0,135.2,466.4,
2016-04-09 15:00:00,,232.0,135.5,491.2,
2016-04-09 16:00:00,,205.0,138.0,452.4,
2016-04-09 17:00:00,,186.1,186.0,471.4,
2016-04-09 18:00:00,,106.8,109.0,272.7,
2016-04-09 19:00:00,,40.1,84.9,146.3,
2016-04-09 20:00:00,,41.8,76.6,140.6,
2016-04-09 21:00:00,,93.0,105.6,248.2,
2016-04-09 22:00:00,,77.3,93.8,212.3,
