MeasurementDateGMT,Nitric Oxide (ug/m3),Nitrogen Dioxide (ug/m3),Oxides of Nitrogen (ug/m3),PM10 Particulate (ug/m3)
2016-04-08 00:00:00,166.6,85.2,340.7,10.5
2016-04-08 01:00:00,153.8,99.4,335.2,21.6
2016-04-08 02:00:00,170.8,96.9,358.7,15.5
2016-04-08 03:00:00,236.4,104.1,466.7,14.6
2016-04-08 04:00:00,366.1,143.8,705.2,23.0
2016-04-08 05:00:00,594.2,199.7,1110.7,47.6
2016-04-08 06:00:00,653.9,207.3,1209.9,59.9
2016-04-08 07:00:00,532.2,148.8,964.9,58.8
2016-04-08 08:00:00,335.2,151.7,665.7,53.9
2016-04-08 09:00:00,237.9,112.6,477.4,40.7
2016-04-08 10:00:00,258.9,111.5,508.5,31.8
2016-04-08 11:00:00,206.9,118.6,435.8,31.4
2016-04-08 12:00:00,254.3,130.2,520.1,37.0
2016-04-08 13:00:00,299.0,125.2,583.6,34.1
2016-04-08 14:00:00,226.0,138.6,485.1,25.2
2016-04-08 15:00:00,185.3,114.5,398.6,26.5
2016-04-08 16:00:00,196.3,111.0,412.1,28.9
2016-04-08 17:00:00,192.4,128.5,423.4,24.6
2016-04-08 18:00:00,231.1,139.6,493.9,24.1
2016-04-08 19:00:00,289.5,137.2,581.1,35.7
2016-04-08 20:00:00,200.7,120.2,428.1,27.6
2016-04-08 21:00:00,169.7,112.0,372.2,26.3
2016-04-08 22:00:00,166.1,101.8,356.4,23.3
2016-04-08 23:00:00,195.5,107.1,406.8,22.2
2016-04-09 00:00:00,122.5,79.2,267.1,18.1
2016-04-09 01:00:00,99.0,69.2,220.9,15.0
2016-04-09 02:00:00,73.7,47.4,160.5,11.7
2016-04-09 03:00:00,47.4,42.9,115.5,11.3
2016-04-09 04:00:00,96.4,60.6,208.5,7.9
2016-04-09 05:00:00,230.6,124.1,477.7,21.2
2016-04-09 06:00:00,267.3,133.5,543.4,25.5
2016-04-09 07:00:00,304.1,151.7,617.9,30.5
2016-04-09 08:00:00,212.6,100.1,426.2,25.7
2016-04-09 09:00:00,158.3,102.7,345.4,22.4
2016-04-09 10:00:00,188.3,96.9,385.7,17.5
2016-04-09 11:00:00,160.3,96.4,342.2,22.9
2016-04-09 12:00:00,247.4,116.0,495.4,27.0
2016-04-09 13:00:00,238.4,142.0,507.6,28.0
2016-04-09 14:00:00,171.7,97.2,360.4,21.5
2016-04-09 15:00:00,152.3,107.2,340.8,17.7
2016-04-09 16:00:00,144.0,101.4,322.2,12.2
2016-04-09 17:00:00,129.0,98.7,296.5,17.8
