MeasurementDateGMT,Nitric Oxide (ug/m3),Nitrogen Dioxide (ug/m3),Oxides of Nitrogen (ug/m3),PM10 Particulate (ug/m3),Sulphur Dioxide (ug/m3)
2016-04-08 00:00:00,28.8,55.6,99.7,,4.1
2016-04-08 01:00:00,18.5,49.6,78.0,,5.2
2016-04-08 02:00:00,16.7,46.9,72.5,,4.0
2016-04-08 03:00:00,9.7,44.7,59.7,,4.4
2016-04-08 04:00:00,36.4,53.1,108.9,,5.4
2016-04-08 05:00:00,101.4,63.1,218.5,,8.3
2016-04-08 06:00:00,128.3,70.9,267.6,,9.4
2016-04-08 07:00:00,85.5,82.0,213.0,,7.0
2016-04-08 08:00:00,69.1,57.8,163.8,,6.1
2016-04-08 09:00:00,48.3,48.8,122.9,,5.0
2016-04-08 10:00:00,43.6,51.9,118.8,,5.0
2016-04-08 11:00:00,51.6,46.1,125.2,,5.5
2016-04-08 12:00:00,22.2,41.7,75.8,,3.8
2016-04-08 13:00:00,27.7,58.0,100.4,,4.1
2016-04-08 14:00:00,26.0,48.0,87.9,,4.4
2016-04-08 15:00:00,18.2,55.9,83.9,,3.9
2016-04-08 16:00:00,11.6,60.5,78.2,,4.2
2016-04-08 17:00:00,10.3,57.4,73.2,,4.1
2016-04-08 18:00:00,10.7,58.6,75.1,,4.4
2016-04-08 19:00:00,12.3,67.3,86.2,,4.6
2016-04-08 20:00:00,9.2,66.1,80.1,,4.7
2016-04-08 21:00:00,6.3,54.0,63.6,,3.9
2016-04-08 22:00:00,5.2,50.2,58.2,,4.2
2016-04-08 23:00:00,3.8,44.0,49.9,,3.9
2016-04-09 00:00:00,2.0,32.8,35.8,,4.5
2016-04-09 01:00:00,1.4,24.8,26.9,,4.4
2016-04-09 02:00:00,1.2,19.6,21.4,,4.1
2016-04-09 03:00:00,0.9,16.5,17.9,,4.7
2016-04-09 04:00:00,1.6,19.0,21.4,,4.7
2016-04-09 05:00:00,11.1,31.6,48.6,,5.0
2016-04-09 06:00:00,8.2,33.2,45.8,,5.0
2016-04-09 07:00:00,6.0,33.9,43.1,,5.0
2016-04-09 08:00:00,23.5,52.1,88.1,,5.9
2016-04-09 09:00:00,19.7,44.0,74.2,,5.5
2016-04-09 10:00:00,12.9,32.0,51.7,,5.1
2016-04-09 11:00:00,8.2,29.1,41.6,,4.5
2016-04-09 12:00:00,12.8,31.1,50.6,,4.7
2016-04-09 13:00:00,6.3,28.0,37.6,,4.4
2016-04-09 14:00:00,6.0,30.0,39.3,,5.0
2016-04-09 15:00:00,5.7,27.8,36.5,,4.3
2016-04-09 16:00:00,6.0,26.9,36.1,,4.3
2016-04-09 17:00:00,5.0,31.6,39.3,,4.1
2016-04-09 18:00:00,13.3,36.8,57.3,,4.3
2016-04-09 19:00:00,3.1,30.9,35.7,,3.8
2016-04-09 20:00:00,3.9,42.5,48.5,,3.2
2016-04-09 21:00:00,5.7,57.9,66.5,,3.7
2016-04-09 22:00:00,25.6,75.3,114.5,,4.2
2016-04-09 23:00:00,10.2,68.1,83.8,,3.7
2016-04-10 00:00:00,11.7,70.9,88.8,,4.2
2016-04-10 01:00:00,14.4,70.7,92.8,,3.7
2016-04-10 02:00:00,63.8,66.6,164.3,,5.8
2016-04-10 03:00:00,17.7,59.7,86.8,,3.8
2016-04-10 04:00:00,9.9,56.4,71.5,,3.3
2016-04-10 05:00:00,18.8,55.4,84.2,,3.6
2016-04-10 06:00:00,22.0,57.3,91.0,,3.6
2016-04-10 07:00:00,17.8,50.7,78.0,,3.1
2016-04-10 08:00:00,6.5,33.4,43.4,,2.9
2016-04-10 09:00:00,3.5,20.8,26.2,,2.3
2016-04-10 10:00:00,3.8,19.2,25.0,,2.3
2016-04-10 11:00:00,4.7,19.7,26.9,,2.4
2016-04-10 12:00:00,5.7,19.2,27.9,,2.4
2016-04-10 13:00:00,5.1,21.5,29.4,,3.2
2016-04-10 14:00:00,5.6,21.7,30.2,,2.9
2016-04-10 15:00:00,4.8,18.9,26.3,,2.6
2016-04-10 16:00:00,4.5,19.0,25.9,,3.1
2016-04-10 17:00:00,8.4,26.7,39.6,,2.7
2016-04-10 18:00:00,9.1,27.6,41.6,,2.8
2016-04-10 19:00:00,6.4,30.8,40.6,,2.2
2016-04-10 20:00:00,5.2,28.3,36.3,,0.5
2016-04-10 21:00:00,4.4,23.3,30.1,,1.9
2016-04-10 22:00:00,7.5,32.6,44.1,,2.4
2016-04-10 23:00:00,9.2,35.4,49.5,,1.9
2016-04-11 00:00:00,4.1,23.9,30.2,,2.6
2016-04-11 01:00:00,8.9,27.7,41.4,,2.6
2016-04-11 02:00:00,6.0,24.7,33.9,,3.0
2016-04-11 03:00:00,9.0,28.2,41.9,,3.3
2016-04-11 04:00:00,41.0,49.0,111.8,,4.8
2016-04-11 05:00:00,70.2,69.7,177.4,,5.4
2016-04-11 06:00:00,62.8,69.5,165.8,,5.6
2016-04-11 07:00:00,40.3,48.0,109.8,,4.3
2016-04-11 08:00:00,35.8,46.2,101.2,,3.6
2016-04-11 09:00:00,43.7,42.3,109.4,,4.2
2016-04-11 10:00:00,55.4,54.2,139.1,,4.5
2016-04-11 11:00:00,49.9,58.1,134.5,,4.5
2016-04-11 12:00:00,42.2,60.1,124.7,,4.2
2016-04-11 13:00:00,73.4,71.8,184.3,,6.0
2016-04-11 14:00:00,114.8,79.4,255.5,,7.5
2016-04-11 15:00:00,52.0,68.3,148.1,,4.7
2016-04-11 16:00:00,31.6,62.9,111.4,,3.6
2016-04-11 17:00:00,21.6,63.4,96.6,,3.5
2016-04-11 18:00:00,55.9,69.0,154.7,,4.8
2016-04-11 19:00:00,82.6,73.3,200.0,,5.7
2016-04-11 20:00:00,90.2,70.9,209.3,,5.8
2016-04-11 21:00:00,53.3,70.0,151.7,,4.3
2016-04-11 22:00:00,21.3,65.2,97.8,,3.4
2016-04-11 23:00:00,41.6,67.4,131.1,,3.4
2016-04-12 00:00:00,5.3,53.2,61.3,,2.2
2016-04-12 01:00:00,2.9,42.3,46.8,,2.0
2016-04-12 02:00:00,2.3,32.3,35.8,,2.3
2016-04-12 03:00:00,3.4,30.9,36.1,,2.1
