MeasurementDateGMT,Nitric Oxide (ug/m3),Nitrogen Dioxide (ug/m3),Oxides of Nitrogen (ug/m3),PM10 Particulate (ug/m3)
2016-04-08 00:00:00,46.1,65.3,136.1,12.4
2016-04-08 01:00:00,24.7,55.8,93.7,11.1
2016-04-08 02:00:00,14.2,48.7,70.5,8.1
2016-04-08 03:00:00,20.0,56.8,87.5,11.3
2016-04-08 04:00:00,45.0,65.4,134.5,15.2
2016-04-08 05:00:00,106.6,85.8,249.2,16.0
2016-04-08 06:00:00,182.4,96.2,375.9,29.0
2016-04-08 07:00:00,170.5,84.7,346.1,38.1
2016-04-08 08:00:00,130.1,96.7,296.2,43.1
2016-04-08 09:00:00,91.5,73.6,213.9,30.7
2016-04-08 10:00:00,56.6,60.3,147.1,24.5
2016-04-08 11:00:00,90.4,81.2,219.8,26.1
2016-04-08 12:00:00,22.0,34.2,67.9,19.1
2016-04-08 13:00:00,22.4,40.3,74.6,18.7
2016-04-08 14:00:00,69.4,71.4,177.8,20.1
2016-04-08 15:00:00,8.7,43.3,56.7,17.5
2016-04-08 16:00:00,4.4,34.4,41.2,14.4
2016-04-08 17:00:00,5.2,37.1,45.1,10.3
2016-04-08 18:00:00,6.1,53.0,62.4,13.0
2016-04-08 19:00:00,1.3,37.5,39.4,11.6
2016-04-08 20:00:00,1.8,34.0,36.7,15.9
2016-04-08 21:00:00,3.9,30.5,36.5,16.9
2016-04-08 22:00:00,1.3,22.7,24.8,14.3
2016-04-08 23:00:00,0.6,20.7,21.7,12.3
2016-04-09 00:00:00,0.5,18.3,19.1,11.4
2016-04-09 01:00:00,0.3,15.2,15.7,13.2
2016-04-09 02:00:00,0.3,11.9,12.4,11.5
2016-04-09 03:00:00,0.3,11.3,11.8,10.7
2016-04-09 04:00:00,0.4,12.1,12.7,6.0
2016-04-09 05:00:00,0.6,15.9,16.8,3.9
2016-04-09 06:00:00,1.9,24.8,27.6,2.7
2016-04-09 07:00:00,12.2,48.6,67.3,6.4
2016-04-09 08:00:00,6.9,33.6,44.2,9.0
2016-04-09 09:00:00,12.7,38.0,57.4,12.7
2016-04-09 10:00:00,13.5,28.4,49.1,11.4
2016-04-09 11:00:00,13.8,27.8,48.9,10.6
2016-04-09 12:00:00,7.1,21.8,32.7,13.8
2016-04-09 13:00:00,2.5,16.0,19.8,12.3
2016-04-09 14:00:00,2.5,16.7,20.5,10.4
2016-04-09 15:00:00,3.2,17.3,22.2,9.1
2016-04-09 16:00:00,2.0,12.6,15.7,4.9
2016-04-09 17:00:00,7.9,24.2,36.2,6.0
2016-04-09 18:00:00,18.1,47.0,74.8,8.2
2016-04-09 19:00:00,8.6,48.0,61.2,6.4
2016-04-09 20:00:00,11.2,57.4,74.6,7.3
2016-04-09 21:00:00,5.5,69.0,77.5,14.6
2016-04-09 22:00:00,9.3,73.6,87.8,13.8
2016-04-09 23:00:00,4.0,47.4,53.6,10.3
2016-04-10 00:00:00,61.7,60.2,154.8,17.1
2016-04-10 01:00:00,156.8,96.7,337.1,28.9
2016-04-10 02:00:00,155.0,87.5,325.2,28.2
2016-04-10 03:00:00,155.3,79.2,317.3,22.7
2016-04-10 04:00:00,153.6,77.5,313.0,22.4
2016-04-10 05:00:00,147.6,89.9,316.2,27.9
2016-04-10 06:00:00,80.3,81.7,204.8,21.4
2016-04-10 07:00:00,45.7,71.3,141.4,20.3
2016-04-10 08:00:00,14.8,37.4,60.0,14.9
2016-04-10 09:00:00,7.8,21.3,33.2,14.0
2016-04-10 10:00:00,20.0,35.1,65.9,
2016-04-10 11:00:00,14.6,31.3,53.7,
2016-04-10 12:00:00,15.4,33.6,57.3,13.0
2016-04-10 13:00:00,15.5,32.2,56.0,13.9
2016-04-10 14:00:00,13.2,32.2,52.5,15.1
2016-04-10 15:00:00,15.5,36.1,59.8,17.8
2016-04-10 16:00:00,13.6,37.3,58.1,20.2
2016-04-10 17:00:00,12.1,35.5,54.0,19.6
2016-04-10 18:00:00,14.9,44.0,66.8,22.4
2016-04-10 19:00:00,8.2,34.3,46.9,21.6
2016-04-10 20:00:00,8.4,33.7,46.7,19.4
2016-04-10 21:00:00,10.3,39.5,55.3,17.8
2016-04-10 22:00:00,12.4,40.9,60.0,22.3
2016-04-10 23:00:00,6.7,28.0,38.3,28.7
2016-04-11 00:00:00,5.6,24.4,32.9,28.9
2016-04-11 01:00:00,6.4,25.2,35.0,29.4
2016-04-11 02:00:00,9.8,30.0,45.0,33.5
2016-04-11 03:00:00,10.7,31.8,48.1,41.6
2016-04-11 04:00:00,30.5,42.4,89.1,47.4
2016-04-11 05:00:00,62.8,64.8,161.1,45.3
2016-04-11 06:00:00,45.6,59.0,129.0,46.4
2016-04-11 07:00:00,37.6,52.3,109.9,39.1
2016-04-11 08:00:00,44.3,54.1,121.9,
2016-04-11 09:00:00,25.2,36.8,75.4,37.8
2016-04-11 10:00:00,27.6,42.7,85.1,36.6
2016-04-11 11:00:00,30.5,46.6,93.3,38.3
2016-04-11 12:00:00,38.2,55.6,114.1,40.9
2016-04-11 13:00:00,36.9,65.3,121.9,39.0
2016-04-11 14:00:00,7.1,54.5,65.5,39.0
2016-04-11 15:00:00,15.6,59.8,83.8,33.0
2016-04-11 16:00:00,13.9,52.2,73.6,32.0
2016-04-11 17:00:00,18.7,58.9,87.6,34.2
2016-04-11 18:00:00,16.3,64.3,89.3,33.0
2016-04-11 19:00:00,19.0,72.5,101.7,34.3
2016-04-11 20:00:00,96.7,82.6,230.8,42.8
2016-04-11 21:00:00,58.4,74.5,164.0,40.7
2016-04-11 22:00:00,31.1,72.9,120.6,28.6
2016-04-11 23:00:00,37.2,73.1,130.2,26.9
2016-04-12 00:00:00,15.4,69.4,93.1,22.8
2016-04-12 01:00:00,4.1,49.5,55.7,18.6
2016-04-12 02:00:00,3.2,31.0,35.9,14.5
2016-04-12 03:00:00,2.3,29.9,33.4,11.7
2016-04-12 04:00:00,3.6,27.9,33.4,21.5
2016-04-12 05:00:00,21.2,54.2,86.7,14.1
2016-04-12 06:00:00,14.2,55.9,77.6,12.3
2016-04-12 07:00:00,30.7,64.3,111.3,17.0
2016-04-12 08:00:00,29.6,60.5,105.9,20.5
2016-04-12 09:00:00,26.3,55.3,95.6,26.4
2016-04-12 10:00:00,18.5,39.4,67.7,17.8
2016-04-12 11:00:00,27.1,44.6,86.2,16.0
2016-04-12 12:00:00,35.7,62.6,117.2,16.7
2016-04-12 13:00:00,61.9,72.2,167.1,26.6
2016-04-12 14:00:00,51.6,77.6,156.8,20.9
2016-04-12 15:00:00,51.5,66.2,145.2,22.0
2016-04-12 16:00:00,48.3,68.1,142.1,18.8
2016-04-12 17:00:00,84.2,85.8,214.9,26.3
2016-04-12 18:00:00,64.7,88.6,187.9,22.9
2016-04-12 19:00:00,54.3,90.0,173.2,19.5
2016-04-12 20:00:00,96.0,99.3,246.5,24.8
2016-04-12 21:00:00,244.5,135.1,510.0,47.5
2016-04-12 22:00:00,312.9,128.7,608.5,54.1
2016-04-12 23:00:00,251.0,103.8,488.7,47.5
2016-04-13 00:00:00,193.1,86.4,382.5,35.7
2016-04-13 01:00:00,151.1,67.9,299.5,34.8
2016-04-13 02:00:00,189.2,73.7,363.8,32.1
2016-04-13 03:00:00,223.8,86.5,429.6,34.4
2016-04-13 04:00:00,233.0,93.5,450.7,37.0
2016-04-13 05:00:00,303.4,108.9,574.1,39.6
2016-04-13 06:00:00,462.2,141.3,850.0,63.1
2016-04-13 07:00:00,249.1,112.8,494.7,53.8
2016-04-13 08:00:00,227.8,127.9,477.3,52.8
2016-04-13 09:00:00,125.7,102.7,295.4,37.0
2016-04-13 10:00:00,72.3,73.1,183.9,16.4
2016-04-13 11:00:00,22.2,49.4,83.5,12.0
2016-04-13 12:00:00,43.5,63.1,129.9,16.9
2016-04-13 13:00:00,56.4,75.9,162.3,19.2
2016-04-13 14:00:00,76.0,85.9,202.4,22.1
2016-04-13 15:00:00,80.3,103.8,226.9,23.7
2016-04-13 16:00:00,52.0,79.9,159.6,22.1
2016-04-13 17:00:00,59.9,88.0,179.9,21.2
2016-04-13 18:00:00,44.8,83.0,151.7,20.1
2016-04-13 19:00:00,103.2,108.2,266.5,24.7
2016-04-13 20:00:00,6.4,52.7,62.6,14.8
2016-04-13 21:00:00,5.0,69.4,77.0,14.5
2016-04-13 22:00:00,9.4,73.4,87.8,13.8
2016-04-13 23:00:00,1.8,57.0,59.8,12.2
2016-04-14 00:00:00,2.4,26.0,29.7,7.5
2016-04-14 01:00:00,26.4,77.6,118.1,11.5
2016-04-14 02:00:00,10.7,62.2,78.6,16.6
2016-04-14 03:00:00,12.9,56.3,76.1,19.0
2016-04-14 04:00:00,19.0,53.7,82.8,26.0
2016-04-14 05:00:00,94.4,94.4,239.2,31.8
2016-04-14 06:00:00,135.0,104.9,312.0,53.6
2016-04-14 07:00:00,36.5,75.2,131.2,33.6
2016-04-14 08:00:00,28.3,66.2,109.6,31.4
2016-04-14 09:00:00,52.4,74.8,155.2,31.9
2016-04-14 10:00:00,55.0,67.6,151.9,22.0
2016-04-14 11:00:00,44.1,77.0,144.6,25.1
2016-04-14 12:00:00,35.5,60.6,115.0,19.2
2016-04-14 13:00:00,23.5,48.7,84.8,20.5
2016-04-14 14:00:00,26.4,51.4,92.0,19.4
2016-04-14 15:00:00,38.4,70.0,128.8,25.3
2016-04-14 16:00:00,30.2,73.4,119.7,22.0
2016-04-14 17:00:00,4.1,30.5,36.8,9.0
2016-04-14 18:00:00,1.4,29.8,31.9,11.6
2016-04-14 19:00:00,0.7,32.4,33.4,10.2
2016-04-14 20:00:00,0.9,26.0,27.5,9.1
2016-04-14 21:00:00,0.8,25.2,26.5,8.4
2016-04-14 22:00:00,8.2,33.6,46.1,9.2
2016-04-14 23:00:00,93.2,96.9,239.7,22.1
2016-04-15 00:00:00,42.0,69.4,133.8,18.2
2016-04-15 01:00:00,19.2,40.9,70.3,19.9
2016-04-15 02:00:00,66.4,64.2,166.1,31.0
2016-04-15 03:00:00,68.1,66.7,171.1,27.1
2016-04-15 04:00:00,61.2,63.8,157.6,21.3
2016-04-15 05:00:00,185.6,100.5,385.2,42.0
2016-04-15 06:00:00,131.4,89.4,290.9,37.4
2016-04-15 07:00:00,165.6,87.8,341.8,41.7
2016-04-15 08:00:00,169.3,82.1,341.7,36.0
2016-04-15 09:00:00,124.9,74.3,265.8,34.0
2016-04-15 10:00:00,122.1,87.2,274.4,27.3
2016-04-15 11:00:00,66.2,77.3,178.8,23.1
2016-04-15 12:00:00,75.9,78.5,194.9,11.6
2016-04-15 13:00:00,147.4,115.5,341.4,20.0
2016-04-15 14:00:00,105.1,95.4,256.5,16.6
2016-04-15 15:00:00,89.6,84.3,221.6,13.8
2016-04-15 16:00:00,76.3,90.8,207.7,19.4
2016-04-15 17:00:00,53.5,66.3,148.4,12.3
2016-04-15 18:00:00,76.4,80.4,197.6,16.7
2016-04-15 19:00:00,74.5,72.3,186.6,16.2
2016-04-15 20:00:00,38.8,54.7,114.2,15.3
2016-04-15 21:00:00,37.4,55.8,113.0,10.5
2016-04-15 22:00:00,39.5,57.5,118.1,13.4
2016-04-15 23:00:00,32.4,50.3,100.0,15.3
2016-04-16 00:00:00,13.3,32.6,53.1,12.5
2016-04-16 01:00:00,19.1,33.3,62.6,13.2
2016-04-16 02:00:00,12.5,28.5,47.6,10.7
2016-04-16 03:00:00,13.3,34.9,55.4,5.8
