MeasurementDateGMT,Nitric Oxide (ug/m3),Nitrogen Dioxide (ug/m3),Oxides of Nitrogen (ug/m3),PM10 Particulate (ug/m3),PM2.5 Particulate (ug/m3)
2016-04-08 00:00:00,8.1,56.9,69.4,11.9,12.6
2016-04-08 01:00:00,4.0,46.3,52.5,13.6,6.4
2016-04-08 02:00:00,4.8,45.1,52.4,9.6,7.4
2016-04-08 03:00:00,3.8,39.6,45.5,12.5,6.8
2016-04-08 04:00:00,4.4,41.6,48.3,17.4,10.6
2016-04-08 05:00:00,12.1,55.8,74.3,14.5,9.1
2016-04-08 06:00:00,34.2,61.6,114.0,21.4,11.4
2016-04-08 07:00:00,70.3,79.9,187.6,32.5,14.0
2016-04-08 08:00:00,54.4,73.3,156.8,33.3,22.3
2016-04-08 09:00:00,43.6,73.1,139.9,35.6,13.9
2016-04-08 10:00:00,37.1,69.1,125.9,31.5,13.7
2016-04-08 11:00:00,22.1,58.6,92.6,30.3,14.2
2016-04-08 12:00:00,27.4,70.7,112.6,28.1,9.3
2016-04-08 13:00:00,18.6,66.8,95.3,22.8,12.4
2016-04-08 14:00:00,8.5,39.7,52.7,14.1,11.9
2016-04-08 15:00:00,3.0,26.2,30.8,20.0,9.0
2016-04-08 16:00:00,2.9,29.7,34.1,14.7,6.6
2016-04-08 17:00:00,3.1,31.8,36.6,14.0,9.0
2016-04-08 18:00:00,2.4,30.3,34.0,11.6,6.3
2016-04-08 19:00:00,2.4,40.4,44.0,21.9,12.0
2016-04-08 20:00:00,2.0,33.5,36.6,17.6,14.5
2016-04-08 21:00:00,1.3,28.0,30.1,18.1,8.2
2016-04-08 22:00:00,1.5,24.8,27.0,18.4,8.7
2016-04-08 23:00:00,1.0,19.4,21.0,15.0,10.3
2016-04-09 00:00:00,0.6,14.0,14.9,13.5,8.0
2016-04-09 01:00:00,0.7,9.3,10.5,16.4,6.3
2016-04-09 02:00:00,0.5,6.1,6.9,14.5,6.6
2016-04-09 03:00:00,0.1,5.8,5.9,16.9,6.8
2016-04-09 04:00:00,0.5,6.1,6.9,8.4,7.3
2016-04-09 05:00:00,0.6,6.5,7.5,3.9,4.5
2016-04-09 06:00:00,0.5,9.7,10.6,6.7,0.4
2016-04-09 07:00:00,1.7,19.6,22.3,10.7,5.3
2016-04-09 08:00:00,3.8,30.1,35.9,5.1,7.0
2016-04-09 09:00:00,4.1,28.2,34.5,8.6,6.9
2016-04-09 10:00:00,4.7,26.0,33.2,13.0,5.7
2016-04-09 11:00:00,3.9,20.6,26.5,17.8,10.2
2016-04-09 12:00:00,2.7,16.6,20.7,17.7,7.6
2016-04-09 13:00:00,1.8,13.4,16.1,17.1,8.8
2016-04-09 14:00:00,1.9,16.4,19.2,14.9,7.2
2016-04-09 15:00:00,2.0,14.5,17.5,13.2,5.2
2016-04-09 16:00:00,2.1,16.4,19.7,9.7,7.9
2016-04-09 17:00:00,1.4,16.5,18.6,6.7,5.2
2016-04-09 18:00:00,1.8,21.3,24.1,8.3,7.4
2016-04-09 19:00:00,2.3,24.4,27.9,7.8,5.6
2016-04-09 20:00:00,2.2,31.1,34.5,9.3,7.4
2016-04-09 21:00:00,2.5,45.5,49.4,11.8,7.6
2016-04-09 22:00:00,1.5,35.7,38.0,15.4,6.4
2016-04-09 23:00:00,1.1,25.9,27.7,15.1,8.8
2016-04-10 00:00:00,0.9,19.7,21.1,12.5,8.3
2016-04-10 01:00:00,0.6,18.8,19.8,12.4,8.7
2016-04-10 02:00:00,11.7,42.0,60.0,21.3,8.6
2016-04-10 03:00:00,3.9,30.8,36.7,13.3,5.4
2016-04-10 04:00:00,5.2,24.8,32.7,9.0,4.3
2016-04-10 05:00:00,7.3,34.7,45.8,18.4,6.0
2016-04-10 06:00:00,3.7,33.2,38.8,7.3,5.8
2016-04-10 07:00:00,4.7,27.4,34.6,11.5,5.7
2016-04-10 08:00:00,2.0,12.7,15.7,16.0,4.9
2016-04-10 09:00:00,3.1,14.6,19.4,14.2,4.1
2016-04-10 10:00:00,3.0,14.0,18.6,12.7,5.3
2016-04-10 11:00:00,2.0,11.6,14.7,10.7,2.3
2016-04-10 12:00:00,4.4,19.8,26.5,13.5,8.0
2016-04-10 13:00:00,8.6,33.2,46.4,20.4,6.5
2016-04-10 14:00:00,6.8,28.9,39.4,21.5,6.8
2016-04-10 15:00:00,4.5,24.8,31.7,22.0,8.9
2016-04-10 16:00:00,5.1,27.6,35.4,20.4,8.5
2016-04-10 17:00:00,9.1,42.1,56.0,27.0,14.6
2016-04-10 18:00:00,7.7,46.2,58.0,27.8,13.0
2016-04-10 19:00:00,11.1,55.1,72.2,26.1,11.1
2016-04-10 20:00:00,12.5,58.3,77.4,28.5,17.4
2016-04-10 21:00:00,4.3,40.9,47.5,26.5,16.1
2016-04-10 22:00:00,5.4,42.8,51.1,34.1,20.6
2016-04-10 23:00:00,3.2,40.9,45.7,35.5,22.1
2016-04-11 00:00:00,2.5,33.4,37.3,33.3,18.6
2016-04-11 01:00:00,1.7,29.6,32.3,35.3,25.8
2016-04-11 02:00:00,4.2,35.0,41.4,46.9,28.9
2016-04-11 03:00:00,8.5,39.1,52.1,43.5,28.7
2016-04-11 04:00:00,45.1,64.8,134.0,50.2,35.9
2016-04-11 05:00:00,105.0,87.4,248.4,57.0,40.0
2016-04-11 06:00:00,67.0,75.9,178.7,50.6,34.2
2016-04-11 07:00:00,32.6,57.9,107.9,47.6,32.3
2016-04-11 08:00:00,21.6,49.4,82.5,46.6,25.2
2016-04-11 09:00:00,25.9,51.4,91.2,43.1,30.7
2016-04-11 10:00:00,16.0,42.6,67.2,39.2,22.6
2016-04-11 11:00:00,31.2,58.9,106.8,44.4,24.9
2016-04-11 12:00:00,32.2,63.1,112.4,40.3,29.9
2016-04-11 13:00:00,16.1,50.9,75.6,,25.5
2016-04-11 14:00:00,5.4,33.3,41.5,26.9,22.6
2016-04-11 15:00:00,6.0,37.3,46.5,31.3,24.9
