MeasurementDateGMT,Nitric Oxide (ug/m3),Nitrogen Dioxide (ug/m3),Oxides of Nitrogen (ug/m3),Ozone (ug/m3),PM10 Particulate (ug/m3),PM2.5 Particulate (ug/m3)
2016-04-08 00:00:00,18.6,63.1,91.7,4.4,13.2,10.8
2016-04-08 01:00:00,7.2,47.6,58.6,21.4,12.4,10.6
2016-04-08 02:00:00,7.4,43.7,55.0,27.2,10.3,8.7
2016-04-08 03:00:00,10.2,38.8,54.4,33.6,10.5,8.4
2016-04-08 04:00:00,23.2,47.3,82.9,24.3,9.5,10.2
2016-04-08 05:00:00,63.2,74.6,171.4,5.7,14.9,13.9
2016-04-08 06:00:00,92.8,78.6,220.8,6.7,18.8,15.2
2016-04-08 07:00:00,88.6,74.9,210.8,10.6,23.2,17.6
2016-04-08 08:00:00,61.1,60.8,154.5,25.3,24.0,19.5
2016-04-08 09:00:00,61.8,68.2,163.0,21.4,27.3,17.9
2016-04-08 10:00:00,71.8,69.2,179.3,20.4,28.1,19.2
2016-04-08 11:00:00,24.3,44.6,81.8,39.0,20.9,11.9
2016-04-08 12:00:00,32.6,52.5,102.4,35.1,19.5,11.4
2016-04-08 13:00:00,65.6,73.5,174.1,24.8,19.4,17.1
2016-04-08 14:00:00,35.3,52.5,106.6,41.9,17.1,14.8
2016-04-08 15:00:00,40.1,45.0,106.5,47.8,13.0,12.0
2016-04-08 16:00:00,31.5,35.4,83.8,59.5,12.0,9.2
2016-04-08 17:00:00,29.5,33.9,79.1,55.6,11.6,9.9
2016-04-08 18:00:00,20.5,36.6,68.1,52.2,13.9,10.2
2016-04-08 19:00:00,33.6,46.1,97.6,44.4,13.9,10.1
2016-04-08 20:00:00,11.9,45.3,63.5,51.7,18.8,13.0
2016-04-08 21:00:00,19.8,32.4,62.8,62.5,14.5,11.9
2016-04-08 22:00:00,12.6,26.6,45.9,65.5,14.3,10.1
2016-04-08 23:00:00,13.0,21.8,41.6,65.0,17.2,10.8
2016-04-09 00:00:00,8.1,21.3,33.8,59.3,14.3,7.8
2016-04-09 01:00:00,1.7,8.5,11.2,71.0,12.7,7.2
2016-04-09 02:00:00,3.0,5.3,9.9,78.2,12.2,7.0
2016-04-09 03:00:00,3.7,5.8,11.5,82.6,11.9,8.5
2016-04-09 04:00:00,7.1,8.5,19.4,80.2,9.0,7.0
2016-04-09 05:00:00,8.8,12.7,26.3,74.8,7.3,5.0
2016-04-09 06:00:00,7.8,15.4,27.4,71.4,9.8,5.9
2016-04-09 07:00:00,16.1,27.1,51.7,60.2,6.4,4.3
2016-04-09 08:00:00,33.7,45.1,96.7,52.3,11.9,8.3
2016-04-09 09:00:00,27.8,38.2,80.8,57.7,4.8,6.1
2016-04-09 10:00:00,27.1,35.5,77.1,59.2,10.7,8.1
2016-04-09 11:00:00,35.0,31.2,84.9,53.3,17.6,10.4
2016-04-09 12:00:00,26.1,29.1,69.1,56.3,11.2,10.6
2016-04-09 13:00:00,25.8,25.4,64.9,60.7,12.9,6.6
2016-04-09 14:00:00,20.2,23.3,54.3,68.1,13.8,7.7
2016-04-09 15:00:00,20.2,20.1,51.1,72.5,11.7,8.1
2016-04-09 16:00:00,16.8,23.3,49.1,73.5,9.4,8.2
2016-04-09 17:00:00,19.6,24.9,54.9,76.9,7.4,7.9
2016-04-09 18:00:00,22.0,31.8,65.5,72.0,10.4,6.5
2016-04-09 19:00:00,25.8,40.9,80.4,62.7,8.7,6.8
2016-04-09 20:00:00,29.2,47.8,92.6,54.9,7.7,7.0
2016-04-09 21:00:00,35.4,67.0,121.3,36.2,10.1,9.8
2016-04-09 22:00:00,24.1,50.5,87.4,46.6,12.6,11.4
2016-04-09 23:00:00,13.4,35.1,55.6,61.3,9.8,7.8
2016-04-10 00:00:00,7.7,28.4,40.3,61.5,10.2,8.2
2016-04-10 01:00:00,5.0,37.0,44.6,45.8,11.7,8.9
2016-04-10 02:00:00,5.1,49.1,56.9,25.5,12.2,7.7
2016-04-10 03:00:00,5.5,44.3,52.7,26.9,10.6,9.0
2016-04-10 04:00:00,16.1,41.0,65.7,29.9,12.5,10.0
2016-04-10 05:00:00,19.3,46.8,76.4,33.3,14.5,8.5
2016-04-10 06:00:00,39.3,54.6,114.8,30.9,11.7,8.9
2016-04-10 07:00:00,21.7,40.4,73.6,54.0,11.2,6.2
2016-04-10 08:00:00,14.4,19.1,41.2,81.0,12.2,5.6
2016-04-10 09:00:00,16.9,23.3,49.2,66.3,12.8,5.6
2016-04-10 10:00:00,23.8,31.3,67.7,62.9,12.6,8.6
2016-04-10 11:00:00,41.4,47.7,111.1,54.0,12.5,5.7
2016-04-10 12:00:00,18.9,27.6,56.6,68.3,5.6,7.2
2016-04-10 13:00:00,12.7,21.8,41.3,78.6,16.9,8.5
