MeasurementDateGMT,Nitric Oxide (ug/m3),Nitrogen Dioxide (ug/m3),Oxides of Nitrogen (ug/m3),Ozone (ug/m3),PM10 Particulate (ug/m3),PM2.5 Particulate (ug/m3),Sulphur Dioxide (ug/m3)
2016-04-08 00:00:00,6.2,35.9,45.3,6.0,9.4,7.3,
2016-04-08 01:00:00,2.6,31.3,35.2,8.6,6.9,6.4,
2016-04-08 02:00:00,1.6,24.3,26.8,12.2,7.0,8.3,
2016-04-08 03:00:00,1.4,20.1,22.2,16.6,10.8,6.5,
2016-04-08 04:00:00,2.7,27.5,31.7,14.1,9.4,7.8,
2016-04-08 05:00:00,22.3,46.3,80.4,3.2,13.0,9.2,
2016-04-08 06:00:00,26.4,44.7,85.2,4.0,12.1,9.5,
2016-04-08 07:00:00,40.6,49.9,112.2,5.7,16.8,12.3,
2016-04-08 08:00:00,31.2,47.2,95.1,12.9,24.3,12.8,
2016-04-08 09:00:00,30.2,51.8,98.1,14.3,24.3,12.3,
2016-04-08 10:00:00,20.3,39.1,70.2,,20.5,13.7,
2016-04-08 11:00:00,5.7,25.5,34.2,48.2,14.8,7.0,
2016-04-08 12:00:00,5.9,36.5,45.6,36.3,19.0,8.6,
2016-04-08 13:00:00,5.0,32.3,40.0,42.1,18.1,7.8,
2016-04-08 14:00:00,3.6,19.8,25.4,62.1,16.5,5.7,
2016-04-08 15:00:00,4.1,16.9,23.3,68.4,13.0,4.2,
2016-04-08 16:00:00,3.4,17.8,23.1,67.9,12.5,5.7,
2016-04-08 17:00:00,2.1,15.1,18.3,66.1,12.2,7.1,
2016-04-08 18:00:00,1.7,19.8,22.5,57.8,11.0,8.4,
2016-04-08 19:00:00,1.6,24.6,27.1,52.4,12.5,7.7,
2016-04-08 20:00:00,1.4,20.6,22.7,52.8,19.5,10.2,
2016-04-08 21:00:00,1.1,15.2,16.9,61.5,16.0,7.9,
2016-04-08 22:00:00,1.1,13.3,15.0,62.2,13.9,5.5,
2016-04-08 23:00:00,1.0,11.0,12.5,60.2,12.9,7.9,
2016-04-09 00:00:00,,,,53.2,14.3,4.5,
2016-04-09 01:00:00,0.8,6.7,7.8,59.9,13.6,5.4,
2016-04-09 02:00:00,0.6,2.6,3.5,67.8,13.7,2.6,
2016-04-09 03:00:00,0.8,1.3,2.6,71.9,9.7,2.2,
2016-04-09 04:00:00,0.6,0.9,1.9,72.6,6.5,2.6,
2016-04-09 05:00:00,0.7,1.1,2.2,71.9,3.4,1.7,
2016-04-09 06:00:00,1.4,5.0,7.1,65.7,1.0,1.8,
2016-04-09 07:00:00,2.1,12.4,15.5,56.6,4.3,3.2,
2016-04-09 08:00:00,3.2,20.6,25.5,51.8,5.5,2.4,
2016-04-09 09:00:00,4.7,20.4,27.6,53.8,5.6,3.7,
2016-04-09 10:00:00,5.0,15.3,23.0,57.6,10.3,2.1,
2016-04-09 11:00:00,4.7,12.3,19.5,61.8,11.2,3.7,
2016-04-09 12:00:00,2.8,6.9,11.2,67.7,12.0,6.9,
2016-04-09 13:00:00,2.1,5.3,8.4,72.6,12.9,5.2,
2016-04-09 14:00:00,2.1,6.1,9.3,74.7,10.1,5.1,
2016-04-09 15:00:00,1.7,4.2,6.9,80.6,11.2,2.7,
2016-04-09 16:00:00,1.7,6.2,8.7,79.5,6.5,6.0,
2016-04-09 17:00:00,1.5,4.4,6.8,83.5,5.4,4.3,
2016-04-09 18:00:00,1.4,8.2,10.4,83.2,6.2,4.5,
2016-04-09 19:00:00,1.4,14.7,16.9,72.7,6.9,4.3,
2016-04-09 20:00:00,1.0,19.3,20.9,63.1,7.8,1.9,
2016-04-09 21:00:00,0.7,22.3,23.5,39.4,11.7,10.5,
2016-04-09 22:00:00,1.4,19.1,21.1,42.3,8.4,5.6,
2016-04-09 23:00:00,0.8,17.1,18.4,53.8,10.9,3.9,
2016-04-10 00:00:00,1.0,13.6,15.2,51.7,10.5,5.5,
2016-04-10 01:00:00,1.1,13.5,15.1,35.6,8.1,6.7,
2016-04-10 02:00:00,0.9,13.9,15.3,32.0,9.6,5.7,
2016-04-10 03:00:00,0.6,20.5,21.4,25.8,9.6,2.0,
2016-04-10 04:00:00,0.9,26.8,28.1,22.8,8.9,4.2,
2016-04-10 05:00:00,1.3,28.6,30.5,22.3,11.0,1.8,
2016-04-10 06:00:00,4.6,29.4,36.5,25.8,11.0,3.4,
2016-04-10 07:00:00,3.9,17.2,23.2,53.2,11.0,2.8,
2016-04-10 08:00:00,2.2,5.3,8.8,77.3,12.1,3.2,
2016-04-10 09:00:00,1.6,3.2,5.6,80.2,8.4,1.9,
2016-04-10 10:00:00,1.5,1.8,4.2,83.1,8.1,1.2,
2016-04-10 11:00:00,1.8,4.0,6.7,82.2,9.6,2.7,
2016-04-10 12:00:00,1.7,3.1,5.8,84.6,8.6,2.2,
2016-04-10 13:00:00,2.1,6.2,9.4,85.0,16.6,1.5,
2016-04-10 14:00:00,1.7,5.0,7.6,89.4,17.0,6.5,
2016-04-10 15:00:00,1.6,6.9,9.3,86.0,19.1,6.8,
2016-04-10 16:00:00,1.4,7.1,9.3,86.9,18.1,6.2,
2016-04-10 17:00:00,0.9,10.4,11.8,86.5,19.4,10.7,
2016-04-10 18:00:00,0.6,11.9,12.9,91.8,19.9,11.3,
2016-04-10 19:00:00,0.7,18.7,19.7,73.8,22.8,8.6,
2016-04-10 20:00:00,0.4,17.7,18.4,72.6,20.7,6.4,
2016-04-10 21:00:00,0.2,13.8,14.1,72.5,22.7,9.6,
2016-04-10 22:00:00,0.4,13.7,14.2,66.0,29.5,12.6,
2016-04-10 23:00:00,0.5,16.4,17.2,57.8,29.9,17.4,
2016-04-11 00:00:00,0.4,16.3,16.8,53.1,32.9,22.9,
2016-04-11 01:00:00,1.1,18.2,19.9,46.2,36.9,23.9,
2016-04-11 02:00:00,0.6,20.6,21.6,36.5,41.0,27.6,
2016-04-11 03:00:00,0.7,24.3,25.3,28.7,45.4,32.3,
2016-04-11 04:00:00,0.9,30.7,32.1,25.4,43.6,31.4,
2016-04-11 05:00:00,2.6,39.2,43.2,22.4,41.7,29.7,
2016-04-11 06:00:00,6.6,47.5,57.6,16.5,40.6,25.4,
2016-04-11 07:00:00,5.7,30.0,38.8,35.4,37.1,26.0,
2016-04-11 08:00:00,5.2,23.9,31.9,40.8,40.9,23.6,
2016-04-11 09:00:00,5.8,22.9,31.7,40.3,38.5,25.6,
2016-04-11 10:00:00,6.5,22.5,32.4,39.8,37.8,24.3,
2016-04-11 11:00:00,8.4,26.0,38.9,37.5,39.7,23.7,
2016-04-11 12:00:00,6.1,27.0,36.3,36.1,39.5,25.0,
2016-04-11 13:00:00,7.7,31.6,43.4,32.7,38.6,25.8,
2016-04-11 14:00:00,4.7,26.0,33.2,42.7,28.1,23.3,
2016-04-11 15:00:00,8.3,28.5,41.2,34.1,32.6,31.5,
2016-04-11 16:00:00,6.7,30.5,40.8,31.0,30.4,28.2,
2016-04-11 17:00:00,4.8,28.1,35.5,35.3,29.4,27.7,
2016-04-11 18:00:00,3.1,32.3,37.1,21.9,29.0,24.8,
2016-04-11 19:00:00,6.3,39.7,49.3,12.0,29.2,25.2,
2016-04-11 20:00:00,4.2,41.8,48.3,15.9,20.9,17.7,
2016-04-11 21:00:00,2.1,30.4,33.6,26.0,25.2,19.3,
2016-04-11 22:00:00,2.4,30.1,33.7,22.6,24.1,17.9,
2016-04-11 23:00:00,1.3,25.9,28.0,29.8,22.0,17.2,
2016-04-12 00:00:00,1.1,18.2,20.0,41.2,15.0,10.5,
2016-04-12 01:00:00,0.5,13.7,14.4,53.5,11.6,5.4,
2016-04-12 02:00:00,0.5,8.0,8.9,59.1,8.5,4.7,
2016-04-12 03:00:00,0.5,6.4,7.1,56.6,7.1,5.4,
2016-04-12 04:00:00,1.3,15.1,17.0,42.3,8.9,6.7,
2016-04-12 05:00:00,11.9,42.0,60.3,21.1,11.5,6.5,
2016-04-12 06:00:00,12.4,42.1,61.1,17.8,11.8,8.7,
2016-04-12 07:00:00,14.9,42.5,65.4,20.8,15.3,9.0,
2016-04-12 08:00:00,10.5,29.0,45.1,41.4,10.6,5.6,
2016-04-12 09:00:00,5.6,18.3,26.8,56.8,7.7,4.9,
2016-04-12 10:00:00,6.8,13.3,23.7,62.9,8.4,4.6,
2016-04-12 11:00:00,3.2,9.0,13.8,70.2,8.7,1.0,
2016-04-12 12:00:00,2.5,7.4,11.3,75.2,5.4,8.0,
2016-04-12 13:00:00,2.7,6.4,10.5,82.5,9.6,6.4,
2016-04-12 14:00:00,2.0,6.6,9.6,84.5,9.8,4.7,
2016-04-12 15:00:00,2.5,6.4,10.3,85.9,9.8,6.8,
2016-04-12 16:00:00,2.0,9.3,12.5,86.1,11.4,3.2,
2016-04-12 17:00:00,2.1,13.0,16.3,81.0,9.6,6.3,
2016-04-12 18:00:00,1.7,15.8,18.3,77.4,9.6,6.6,
2016-04-12 19:00:00,0.5,20.6,21.4,51.8,11.7,5.2,
2016-04-12 20:00:00,0.6,16.6,17.5,50.0,9.4,5.9,
2016-04-12 21:00:00,3.4,39.2,44.4,35.1,12.5,7.3,
2016-04-12 22:00:00,15.5,64.0,87.7,2.0,20.4,10.5,
2016-04-12 23:00:00,17.1,58.3,84.6,2.2,19.5,12.6,
2016-04-13 00:00:00,,,,5.0,14.6,10.7,
2016-04-13 01:00:00,,,,1.6,17.2,11.4,
2016-04-13 02:00:00,3.7,44.2,49.9,10.7,16.1,11.6,
2016-04-13 03:00:00,6.2,46.3,55.8,6.9,14.7,11.3,
2016-04-13 04:00:00,15.9,51.4,75.8,2.8,13.5,12.5,
2016-04-13 05:00:00,36.8,49.4,105.8,1.6,17.1,10.5,
2016-04-13 06:00:00,84.9,65.3,195.4,2.8,23.2,15.9,
2016-04-13 07:00:00,21.3,55.1,87.7,18.5,21.9,14.9,
2016-04-13 08:00:00,22.1,59.1,93.1,18.5,23.0,16.0,
2016-04-13 09:00:00,21.6,55.1,88.2,25.5,21.9,12.1,
2016-04-13 10:00:00,13.2,37.1,57.3,,23.3,9.2,
2016-04-13 11:00:00,9.7,29.3,44.1,,18.2,4.9,
2016-04-13 12:00:00,7.5,22.9,34.4,,18.3,8.9,
2016-04-13 13:00:00,3.9,16.7,22.6,72.8,11.2,3.9,
2016-04-13 14:00:00,2.0,14.4,17.5,78.0,14.6,3.2,
2016-04-13 15:00:00,2.3,20.6,24.1,69.9,15.1,7.3,
2016-04-13 16:00:00,1.1,22.1,23.8,65.4,13.9,7.4,
2016-04-13 17:00:00,1.9,32.3,35.2,45.4,11.5,7.8,
2016-04-13 18:00:00,2.4,49.0,52.7,34.1,16.8,7.7,
2016-04-13 19:00:00,1.1,25.3,27.0,47.2,17.4,12.5,
2016-04-13 20:00:00,1.1,22.4,24.0,49.2,18.8,12.6,
2016-04-13 21:00:00,1.3,35.4,37.4,33.1,20.8,15.3,
2016-04-13 22:00:00,1.4,30.2,32.3,41.0,19.2,13.7,
2016-04-13 23:00:00,0.9,28.3,29.6,39.9,14.3,10.5,
2016-04-14 00:00:00,0.6,23.6,24.6,40.7,15.4,10.7,
2016-04-14 01:00:00,1.3,16.4,18.5,33.0,12.8,10.8,
2016-04-14 02:00:00,0.6,11.9,12.8,57.0,20.3,15.0,
2016-04-14 03:00:00,0.5,10.8,11.7,51.6,26.3,21.9,
2016-04-14 04:00:00,1.0,22.5,24.0,29.8,27.3,23.5,
2016-04-14 05:00:00,4.2,28.1,34.6,16.1,29.0,24.2,
2016-04-14 06:00:00,19.9,46.7,77.2,13.1,31.6,21.8,
2016-04-14 07:00:00,14.7,49.2,71.8,25.4,26.3,18.1,
2016-04-14 08:00:00,7.3,38.1,49.3,45.4,20.8,13.4,
2016-04-14 09:00:00,4.8,20.8,28.1,70.2,15.1,9.4,
2016-04-14 10:00:00,3.3,15.5,20.5,76.4,15.3,6.7,
2016-04-14 11:00:00,2.3,8.3,11.9,87.1,9.7,7.8,
2016-04-14 12:00:00,2.9,8.3,12.6,88.5,51.2,7.8,
2016-04-14 13:00:00,6.7,11.8,22.1,81.2,17.2,10.7,
2016-04-14 14:00:00,2.4,13.5,17.3,78.3,14.9,8.0,
2016-04-14 15:00:00,2.3,7.6,11.2,87.7,11.8,9.9,
2016-04-14 16:00:00,2.1,8.7,12.0,87.1,14.4,4.1,
2016-04-14 17:00:00,1.6,7.8,10.2,89.1,8.2,5.2,
2016-04-14 18:00:00,1.5,14.7,17.0,80.7,9.5,4.1,
2016-04-14 19:00:00,1.2,20.3,22.1,65.4,10.0,5.9,
2016-04-14 20:00:00,0.9,13.8,15.2,72.5,9.6,4.5,
2016-04-14 21:00:00,0.6,7.5,8.4,77.7,9.3,5.1,
2016-04-14 22:00:00,0.4,7.2,7.9,57.2,6.5,6.4,
2016-04-14 23:00:00,0.6,8.2,9.1,50.3,9.2,6.9,
2016-04-15 00:00:00,0.4,23.4,24.1,35.4,12.3,10.4,
2016-04-15 01:00:00,0.3,17.4,17.9,38.8,12.5,8.3,
2016-04-15 02:00:00,0.3,9.9,10.4,42.2,9.9,9.5,
2016-04-15 03:00:00,0.4,9.7,10.4,37.6,8.7,5.5,
2016-04-15 04:00:00,1.1,12.9,14.5,31.5,11.9,9.1,
2016-04-15 05:00:00,3.8,30.4,36.2,23.0,17.6,14.2,
2016-04-15 06:00:00,3.5,36.4,41.8,20.6,18.2,15.8,
2016-04-15 07:00:00,6.4,34.2,43.9,27.4,15.5,11.7,
2016-04-15 08:00:00,7.1,29.5,40.4,35.6,16.2,9.8,
2016-04-15 09:00:00,4.9,23.7,31.1,47.1,10.9,10.9,
2016-04-15 10:00:00,3.7,17.9,23.6,53.2,13.4,7.2,
2016-04-15 11:00:00,3.0,9.3,13.8,68.7,8.0,3.6,
2016-04-15 12:00:00,2.7,12.0,16.2,62.4,8.2,4.3,
2016-04-15 13:00:00,3.2,14.4,19.4,60.4,8.6,4.0,
2016-04-15 14:00:00,3.7,14.7,20.3,62.4,7.3,3.3,
2016-04-15 15:00:00,2.3,10.6,14.1,68.4,6.6,3.6,
2016-04-15 16:00:00,1.4,13.7,15.8,62.8,5.5,1.0,
2016-04-15 17:00:00,1.5,24.2,26.5,48.0,5.4,3.8,
2016-04-15 18:00:00,1.2,33.7,35.5,38.5,6.2,6.2,
2016-04-15 19:00:00,1.1,38.6,40.2,28.4,10.8,7.8,
2016-04-15 20:00:00,1.0,38.3,39.8,24.9,12.8,8.3,
2016-04-15 21:00:00,0.6,26.9,27.9,30.9,13.2,10.1,
2016-04-15 22:00:00,0.5,21.6,22.3,36.8,11.4,8.9,
2016-04-15 23:00:00,1.4,24.4,26.5,29.4,13.7,11.4,
2016-04-16 00:00:00,0.7,14.3,15.4,37.5,13.9,9.8,
2016-04-16 01:00:00,0.8,20.0,21.3,35.6,12.7,9.3,
2016-04-16 02:00:00,0.9,13.2,14.5,44.9,11.5,8.9,
2016-04-16 03:00:00,0.6,8.3,9.2,60.8,7.3,7.2,
2016-04-16 04:00:00,0.7,5.2,6.3,83.4,5.0,2.1,
2016-04-16 05:00:00,0.5,8.1,8.9,75.1,4.7,5.2,
2016-04-16 06:00:00,0.7,14.8,15.9,61.5,8.4,5.4,
2016-04-16 07:00:00,2.1,21.2,24.4,47.8,12.3,10.8,
2016-04-16 08:00:00,2.3,18.2,21.8,45.0,9.5,10.2,
2016-04-16 09:00:00,1.7,8.5,11.1,58.8,4.3,3.8,
2016-04-16 10:00:00,2.0,10.0,13.1,49.4,5.0,2.7,
2016-04-16 11:00:00,2.5,10.5,14.4,47.2,4.1,1.6,
2016-04-16 12:00:00,2.2,9.1,12.4,49.9,2.8,2.5,
2016-04-16 13:00:00,2.1,8.3,11.6,54.5,3.9,2.8,
2016-04-16 14:00:00,1.8,6.9,9.6,55.9,6.0,2.6,
2016-04-16 15:00:00,1.1,5.8,7.5,59.2,3.6,3.2,
2016-04-16 16:00:00,2.3,9.8,13.4,53.0,7.1,4.5,
2016-04-16 17:00:00,1.4,10.2,12.3,55.4,8.8,2.8,
2016-04-16 18:00:00,0.7,10.3,11.4,58.3,4.2,5.4,
2016-04-16 19:00:00,0.7,10.1,11.1,61.7,4.6,3.3,
2016-04-16 20:00:00,0.6,13.8,14.8,46.6,6.9,3.3,
2016-04-16 21:00:00,0.5,22.2,23.0,31.6,6.5,4.8,
2016-04-16 22:00:00,0.9,23.5,24.9,30.8,7.6,6.2,
2016-04-16 23:00:00,0.5,15.3,16.0,39.3,5.7,7.5,
2016-04-17 00:00:00,0.8,17.8,19.0,26.7,6.6,5.9,
2016-04-17 01:00:00,1.0,24.7,26.3,20.7,6.5,7.6,
2016-04-17 02:00:00,2.4,33.3,37.0,7.1,8.6,6.4,
2016-04-17 03:00:00,7.8,32.2,44.2,4.1,9.1,7.1,
2016-04-17 04:00:00,1.8,26.9,29.7,14.0,7.0,6.8,
2016-04-17 05:00:00,7.7,31.4,43.1,6.7,8.6,6.8,
2016-04-17 06:00:00,12.0,30.0,48.4,12.3,13.4,8.1,
2016-04-17 07:00:00,12.4,28.7,47.7,21.4,13.8,11.0,
2016-04-17 08:00:00,4.4,13.0,19.7,44.6,7.8,6.5,
2016-04-17 09:00:00,3.2,9.5,14.4,56.0,10.3,3.9,
2016-04-17 10:00:00,2.4,7.3,11.0,59.9,7.4,3.1,
2016-04-17 11:00:00,1.8,4.5,7.2,66.9,6.6,7.5,
2016-04-17 12:00:00,1.3,4.0,6.0,69.9,4.9,1.8,
2016-04-17 13:00:00,1.4,3.6,5.8,72.6,4.4,1.7,
2016-04-17 14:00:00,1.7,3.8,6.3,74.2,2.9,2.8,
2016-04-17 15:00:00,1.6,6.2,8.7,70.5,7.7,4.1,
2016-04-17 16:00:00,0.8,5.9,7.1,74.3,7.0,6.1,
2016-04-17 17:00:00,0.9,6.0,7.3,75.4,9.3,3.1,
2016-04-17 18:00:00,0.6,8.8,9.8,66.1,6.5,6.3,
2016-04-17 19:00:00,0.9,18.1,19.5,45.9,5.9,5.9,
2016-04-17 20:00:00,7.5,62.2,73.7,9.2,13.1,7.9,
2016-04-17 21:00:00,18.6,65.4,93.9,2.4,16.3,12.6,
2016-04-17 22:00:00,41.8,64.8,128.9,1.8,22.8,17.7,
2016-04-17 23:00:00,2.9,37.1,41.6,14.1,14.5,14.1,
2016-04-18 00:00:00,1.8,32.1,34.9,24.9,11.9,9.1,
2016-04-18 01:00:00,0.9,20.1,21.4,40.1,12.0,9.8,
2016-04-18 02:00:00,0.8,16.5,17.6,42.9,12.5,9.2,
2016-04-18 03:00:00,0.9,16.5,17.8,39.1,10.7,8.8,
2016-04-18 04:00:00,2.2,25.1,28.4,30.8,13.3,7.6,
2016-04-18 05:00:00,8.6,45.3,58.6,18.5,16.7,9.6,
2016-04-18 06:00:00,12.3,41.7,60.5,24.0,20.4,10.4,
2016-04-18 07:00:00,11.0,34.8,51.6,35.8,16.1,7.4,
2016-04-18 08:00:00,9.1,26.8,40.8,47.2,15.3,8.2,
