MeasurementDateGMT,Nitric Oxide (ug/m3),Nitrogen Dioxide (ug/m3),Oxides of Nitrogen (ug/m3),PM10 Particulate (ug/m3)
2016-04-08 00:00:00,10.3,52.8,68.5,12.3
2016-04-08 01:00:00,8.5,48.7,61.7,13.7
2016-04-08 02:00:00,11.1,46.4,63.5,12.0
2016-04-08 03:00:00,14.8,46.4,69.1,8.8
2016-04-08 04:00:00,14.1,47.9,69.6,12.2
2016-04-08 05:00:00,42.1,63.8,128.4,21.2
2016-04-08 06:00:00,87.4,72.5,206.5,22.6
2016-04-08 07:00:00,72.8,69.4,181.0,27.1
2016-04-08 08:00:00,78.1,70.4,190.1,34.7
2016-04-08 09:00:00,87.4,70.9,204.9,39.2
2016-04-08 10:00:00,54.4,57.6,141.0,39.2
2016-04-08 11:00:00,39.8,57.1,118.0,29.9
2016-04-08 12:00:00,27.4,60.2,102.2,23.7
2016-04-08 13:00:00,30.4,62.2,108.8,24.3
2016-04-08 14:00:00,37.4,50.4,107.7,22.1
2016-04-08 15:00:00,74.4,72.9,186.9,24.5
2016-04-08 16:00:00,50.7,68.8,146.6,19.0
2016-04-08 17:00:00,62.4,77.5,173.1,19.2
2016-04-08 18:00:00,30.7,56.5,103.6,18.5
2016-04-08 19:00:00,26.4,60.1,100.6,22.9
2016-04-08 20:00:00,30.7,63.7,110.8,28.8
2016-04-08 21:00:00,35.7,51.8,106.6,23.2
2016-04-08 22:00:00,39.7,52.3,113.2,20.9
2016-04-08 23:00:00,29.4,48.8,93.8,20.3
2016-04-09 00:00:00,20.8,46.4,78.3,19.2
2016-04-09 01:00:00,15.9,36.1,60.5,18.6
2016-04-09 02:00:00,15.4,34.9,58.5,18.4
2016-04-09 03:00:00,17.0,29.3,55.4,12.3
2016-04-09 04:00:00,13.0,24.1,44.1,6.4
2016-04-09 05:00:00,10.7,21.6,38.0,5.3
2016-04-09 06:00:00,15.4,27.7,51.2,3.2
2016-04-09 07:00:00,26.0,45.1,85.0,6.9
2016-04-09 08:00:00,34.0,57.9,110.0,12.4
2016-04-09 09:00:00,15.3,33.8,57.3,12.2
2016-04-09 10:00:00,14.0,28.2,49.7,17.6
2016-04-09 11:00:00,15.0,29.7,52.7,23.6
2016-04-09 12:00:00,19.3,24.6,54.2,16.9
2016-04-09 13:00:00,25.6,32.7,72.1,16.0
2016-04-09 14:00:00,17.3,31.7,58.3,19.1
2016-04-09 15:00:00,11.0,21.5,38.3,12.2
2016-04-09 16:00:00,14.0,26.6,48.0,9.9
2016-04-09 17:00:00,10.0,25.6,40.9,10.9
2016-04-09 18:00:00,6.0,26.6,35.8,9.7
2016-04-09 19:00:00,7.6,31.7,43.4,7.7
2016-04-09 20:00:00,8.6,43.0,56.2,10.0
2016-04-09 21:00:00,19.9,58.8,89.4,18.9
2016-04-09 22:00:00,27.3,68.5,110.3,17.5
2016-04-09 23:00:00,33.9,67.9,119.9,16.5
2016-04-10 00:00:00,21.6,65.9,99.0,15.4
2016-04-10 01:00:00,21.1,49.5,82.0,15.8
2016-04-10 02:00:00,20.3,41.3,72.4,13.4
2016-04-10 03:00:00,7.6,32.7,44.3,12.5
2016-04-10 04:00:00,24.6,44.9,82.6,12.0
2016-04-10 05:00:00,14.3,43.4,65.2,12.9
2016-04-10 06:00:00,17.6,45.4,72.4,13.5
2016-04-10 07:00:00,14.6,31.1,53.4,13.7
2016-04-10 08:00:00,9.9,16.8,32.0,13.6
2016-04-10 09:00:00,16.2,21.3,46.2,9.5
2016-04-10 10:00:00,18.6,22.3,50.8,13.6
2016-04-10 11:00:00,12.6,16.7,36.0,8.9
2016-04-10 12:00:00,14.2,19.8,41.6,13.1
2016-04-10 13:00:00,20.2,33.0,64.0,16.6
2016-04-10 14:00:00,23.5,38.6,74.7,23.4
