MeasurementDateGMT,Nitric Oxide (ug/m3),Nitrogen Dioxide (ug/m3),Oxides of Nitrogen (ug/m3),Ozone (ug/m3),PM10 Particulate (ug/m3),PM2.5 Particulate (ug/m3)
2016-04-08 00:00:00,7.6,51.3,63.0,6.2,14.6,9.4
2016-04-08 01:00:00,29.7,50.4,95.9,7.3,14.3,9.3
2016-04-08 02:00:00,47.6,55.6,128.5,4.1,13.9,7.8
2016-04-08 03:00:00,27.3,52.1,94.0,7.6,16.1,6.6
2016-04-08 04:00:00,42.5,59.2,124.4,3.7,16.4,9.0
2016-04-08 05:00:00,136.0,79.8,288.3,1.9,22.7,13.9
2016-04-08 06:00:00,84.0,70.5,199.4,5.0,20.9,16.3
2016-04-08 07:00:00,54.7,62.1,145.9,7.2,20.1,11.2
2016-04-08 08:00:00,31.7,53.1,101.7,18.5,25.3,13.7
2016-04-08 09:00:00,40.2,61.2,122.8,14.6,28.6,17.2
2016-04-08 10:00:00,20.3,45.0,76.0,28.6,25.5,14.4
2016-04-08 11:00:00,12.8,34.8,54.5,40.0,14.7,9.1
2016-04-08 12:00:00,8.1,47.2,59.6,29.5,20.3,11.2
2016-04-08 13:00:00,3.4,30.3,35.4,44.8,17.1,2.3
2016-04-08 14:00:00,29.4,42.8,87.8,42.6,17.1,8.9
2016-04-08 15:00:00,45.9,52.9,123.3,37.4,16.5,9.2
2016-04-08 16:00:00,34.1,61.7,114.0,35.6,18.4,10.4
2016-04-08 17:00:00,24.0,53.1,86.8,35.2,17.7,14.4
2016-04-08 18:00:00,29.0,61.8,106.3,25.1,19.0,12.8
2016-04-08 19:00:00,35.5,67.3,121.7,21.6,24.8,14.5
2016-04-08 20:00:00,17.6,52.2,79.1,29.5,27.0,11.7
2016-04-08 21:00:00,12.5,43.0,62.1,36.1,20.2,9.0
2016-04-08 22:00:00,11.8,40.4,58.5,36.9,18.4,9.5
2016-04-08 23:00:00,12.2,30.6,49.3,40.0,18.8,8.5
2016-04-09 00:00:00,9.0,25.9,39.7,40.0,18.5,7.0
2016-04-09 01:00:00,5.4,14.3,22.6,50.5,16.4,6.8
2016-04-09 02:00:00,4.1,10.2,16.4,55.3,14.9,4.7
2016-04-09 03:00:00,3.0,9.7,14.4,61.5,13.7,4.8
2016-04-09 04:00:00,4.1,11.8,18.0,59.7,10.1,6.0
2016-04-09 05:00:00,5.7,14.3,23.1,57.1,8.3,2.6
2016-04-09 06:00:00,16.9,24.9,50.8,47.0,8.8,3.8
2016-04-09 07:00:00,6.4,21.5,31.3,50.5,12.6,2.0
2016-04-09 08:00:00,16.9,40.3,66.2,40.0,11.9,2.9
2016-04-09 09:00:00,5.7,23.5,32.3,50.5,13.5,3.8
2016-04-09 10:00:00,9.5,23.0,37.5,50.5,20.4,4.0
2016-04-09 11:00:00,17.3,25.4,51.8,47.5,14.9,6.4
2016-04-09 12:00:00,12.9,20.3,40.0,52.3,10.9,4.6
2016-04-09 13:00:00,11.5,21.4,39.0,53.2,19.3,6.7
2016-04-09 14:00:00,16.2,29.0,53.9,52.3,13.8,10.0
2016-04-09 15:00:00,12.2,27.5,46.2,54.9,16.7,3.3
2016-04-09 16:00:00,12.5,27.0,46.2,54.1,14.0,6.0
2016-04-09 17:00:00,13.5,34.7,55.4,53.2,8.8,7.9
2016-04-09 18:00:00,6.1,27.6,37.0,57.6,12.1,6.0
2016-04-09 19:00:00,0.7,16.4,17.4,65.9,9.7,3.8
2016-04-09 20:00:00,4.7,29.2,36.4,50.1,11.1,6.4
2016-04-09 21:00:00,25.7,69.3,108.8,18.6,14.2,10.4
2016-04-09 22:00:00,24.0,64.2,101.1,23.0,18.1,10.0
2016-04-09 23:00:00,16.9,50.0,75.9,30.4,14.2,7.2
2016-04-10 00:00:00,18.1,53.0,80.7,25.5,15.4,8.0
2016-04-10 01:00:00,39.3,70.4,130.7,5.0,17.5,9.7
2016-04-10 02:00:00,44.0,64.4,131.9,2.8,17.0,8.9
2016-04-10 03:00:00,44.4,68.4,136.5,2.4,16.0,6.3
2016-04-10 04:00:00,24.1,61.1,98.0,8.1,13.2,7.2
2016-04-10 05:00:00,13.9,42.3,63.6,30.9,16.0,3.5
2016-04-10 06:00:00,29.8,53.3,99.0,28.2,18.6,6.4
2016-04-10 07:00:00,15.9,33.0,57.5,43.2,16.2,5.3
2016-04-10 08:00:00,13.6,20.8,41.6,57.2,15.2,6.6
2016-04-10 09:00:00,14.9,25.9,48.7,57.2,12.6,3.7
2016-04-10 10:00:00,15.9,23.8,48.2,58.5,11.4,6.7
2016-04-10 11:00:00,18.6,24.8,53.3,59.0,11.4,5.2
2016-04-10 12:00:00,11.5,20.3,38.0,63.8,11.7,6.0
2016-04-10 13:00:00,18.0,33.5,61.0,57.2,12.2,7.6
2016-04-10 14:00:00,16.3,33.0,58.0,59.0,17.3,9.2
2016-04-10 15:00:00,13.6,30.0,50.8,59.0,22.1,10.3
2016-04-10 16:00:00,13.2,32.5,52.8,58.5,20.4,8.4
2016-04-10 17:00:00,13.2,35.6,55.9,56.8,23.8,11.2
2016-04-10 18:00:00,16.3,44.8,69.7,58.5,25.7,14.1
2016-04-10 19:00:00,11.5,46.4,64.1,48.9,27.5,12.7
2016-04-10 20:00:00,9.2,37.7,51.8,53.7,26.8,11.8
2016-04-10 21:00:00,7.8,32.1,44.1,52.0,26.4,13.1
2016-04-10 22:00:00,9.2,36.7,50.8,44.9,162.3,16.2
2016-04-10 23:00:00,5.4,29.6,37.9,44.5,36.3,17.8
2016-04-11 00:00:00,4.1,29.3,35.5,41.3,37.0,25.1
2016-04-11 01:00:00,3.2,22.5,27.3,38.4,39.4,25.7
2016-04-11 02:00:00,6.4,27.0,36.9,29.6,46.5,31.7
2016-04-11 03:00:00,12.9,34.1,53.8,22.1,50.2,36.2
2016-04-11 04:00:00,31.2,52.6,100.5,14.2,50.4,38.0
2016-04-11 05:00:00,67.9,70.7,174.8,9.8,51.8,36.5
2016-04-11 06:00:00,71.3,72.7,182.0,9.8,50.2,33.6
2016-04-11 07:00:00,50.2,56.7,133.8,20.8,46.5,32.9
2016-04-11 08:00:00,58.7,53.5,143.5,22.6,45.8,30.7
2016-04-11 09:00:00,63.5,61.0,158.4,21.7,47.3,30.6
2016-04-11 10:00:00,40.3,48.9,110.7,22.0,46.3,27.9
2016-04-11 11:00:00,55.0,57.1,141.5,17.7,43.8,29.5
2016-04-11 12:00:00,61.1,62.6,156.3,16.0,46.2,31.2
2016-04-11 13:00:00,82.2,67.2,193.2,15.5,44.2,31.5
2016-04-11 14:00:00,73.7,70.0,183.0,16.0,43.1,29.3
2016-04-11 15:00:00,55.4,62.2,147.1,13.8,46.4,33.7
2016-04-11 16:00:00,47.9,60.9,134.3,16.0,39.9,31.4
2016-04-11 17:00:00,38.7,55.4,114.8,16.9,42.0,31.1
2016-04-11 18:00:00,43.1,61.5,127.6,13.3,41.8,30.9
2016-04-11 19:00:00,25.8,64.0,103.5,9.8,33.1,24.2
2016-04-11 20:00:00,31.9,70.5,119.4,7.6,28.2,19.5
2016-04-11 21:00:00,1.7,38.4,41.0,20.4,28.9,18.7
2016-04-11 22:00:00,1.0,42.0,43.6,17.7,29.7,19.8
2016-04-11 23:00:00,0.3,29.7,30.2,29.2,25.9,17.4
2016-04-12 00:00:00,0.0,22.6,22.6,37.8,20.2,10.1
2016-04-12 01:00:00,0.5,15.7,16.4,50.7,15.5,7.2
2016-04-12 02:00:00,0.7,12.3,13.3,49.9,14.5,7.4
2016-04-12 03:00:00,5.8,29.1,37.9,35.3,15.5,7.4
2016-04-12 04:00:00,51.3,62.3,141.0,15.5,18.7,10.7
2016-04-12 05:00:00,83.6,77.4,205.6,8.5,23.1,11.9
2016-04-12 06:00:00,52.7,66.4,147.1,10.7,21.2,14.0
2016-04-12 07:00:00,26.8,58.3,99.5,16.4,19.9,13.7
2016-04-12 08:00:00,30.9,51.0,98.4,27.4,21.4,8.6
2016-04-12 09:00:00,26.5,37.3,77.9,40.2,15.2,7.0
2016-04-12 10:00:00,22.4,30.2,64.6,43.7,13.1,6.2
2016-04-12 11:00:00,17.7,26.2,53.3,47.7,12.1,4.5
2016-04-12 12:00:00,9.5,18.7,33.3,55.6,10.5,7.4
2016-04-12 13:00:00,12.6,21.7,41.0,57.8,11.4,6.7
2016-04-12 14:00:00,31.3,38.7,86.7,49.0,14.4,6.6
2016-04-12 15:00:00,24.5,38.9,76.4,51.7,11.8,5.7
2016-04-12 16:00:00,26.5,44.5,85.1,53.4,12.3,7.3
2016-04-12 17:00:00,19.0,43.6,72.8,48.1,12.0,6.0
2016-04-12 18:00:00,16.0,52.9,77.4,42.0,14.8,6.1
2016-04-12 19:00:00,38.1,75.4,133.8,23.5,21.3,10.9
2016-04-12 20:00:00,35.4,77.6,131.8,18.6,22.5,12.0
2016-04-12 21:00:00,112.6,103.8,276.4,3.7,26.7,17.9
2016-04-12 22:00:00,92.5,85.8,227.7,2.8,29.3,16.5
2016-04-12 23:00:00,126.2,76.3,269.7,1.5,31.4,20.3
2016-04-13 00:00:00,121.1,65.3,250.9,1.5,30.8,19.4
2016-04-13 01:00:00,116.5,60.6,239.3,1.5,32.2,20.1
2016-04-13 02:00:00,104.1,56.8,216.4,1.5,29.8,18.7
2016-04-13 03:00:00,133.3,62.2,266.7,1.5,28.7,18.6
2016-04-13 04:00:00,166.0,71.6,326.1,1.5,32.2,19.2
2016-04-13 05:00:00,147.0,68.0,293.3,1.5,28.7,18.4
2016-04-13 06:00:00,141.9,85.1,302.6,4.1,28.9,22.0
2016-04-13 07:00:00,58.2,69.3,158.5,9.4,28.4,19.2
2016-04-13 08:00:00,43.5,72.2,139.0,13.8,31.9,18.8
2016-04-13 09:00:00,50.0,76.1,152.8,15.6,38.4,18.9
2016-04-13 10:00:00,50.4,67.4,144.6,26.6,27.6,13.7
2016-04-13 11:00:00,29.6,46.9,92.3,39.8,19.2,9.1
2016-04-13 12:00:00,9.9,30.0,45.1,53.0,15.3,7.7
2016-04-13 13:00:00,15.0,29.9,52.8,57.4,13.8,7.0
2016-04-13 14:00:00,5.1,21.4,29.2,61.9,13.4,5.2
2016-04-13 15:00:00,5.8,29.1,38.0,56.6,13.4,5.8
2016-04-13 16:00:00,11.6,48.9,66.7,41.6,17.7,6.8
2016-04-13 17:00:00,28.6,66.4,110.3,29.2,19.1,7.9
2016-04-13 18:00:00,60.2,92.3,184.7,16.5,20.3,15.9
2016-04-13 19:00:00,35.7,71.9,126.7,20.9,27.0,15.9
2016-04-13 20:00:00,46.0,84.5,154.9,12.9,31.4,18.2
2016-04-13 21:00:00,20.1,63.1,93.9,21.3,24.3,19.4
