MeasurementDateGMT,Nitric Oxide (ug/m3),Nitrogen Dioxide (ug/m3),Oxides of Nitrogen (ug/m3),Ozone (ug/m3)
2016-04-08 00:00:00,1.6,36.5,38.9,15.4
2016-04-08 01:00:00,0.8,20.0,21.3,32.5
2016-04-08 02:00:00,0.8,18.2,19.4,36.7
2016-04-08 03:00:00,0.9,18.4,19.8,38.0
2016-04-08 04:00:00,1.1,23.2,24.9,33.7
2016-04-08 05:00:00,6.4,43.1,52.9,16.6
2016-04-08 06:00:00,20.8,51.2,83.0,11.4
2016-04-08 07:00:00,9.9,31.7,46.9,31.7
2016-04-08 08:00:00,5.8,24.1,33.0,40.2
2016-04-08 09:00:00,5.4,23.2,31.5,46.7
2016-04-08 10:00:00,3.3,13.0,18.1,62.5
2016-04-08 11:00:00,2.0,11.0,14.1,68.1
2016-04-08 12:00:00,2.2,15.0,18.3,66.7
2016-04-08 13:00:00,3.0,18.0,22.6,66.3
2016-04-08 14:00:00,3.5,17.8,23.2,70.1
2016-04-08 15:00:00,3.3,30.9,36.1,60.3
2016-04-08 16:00:00,1.8,23.5,26.3,64.4
2016-04-08 17:00:00,1.7,25.1,27.7,61.5
2016-04-08 18:00:00,1.2,27.8,29.7,56.4
2016-04-08 19:00:00,1.5,35.7,38.1,46.1
2016-04-08 20:00:00,1.4,34.1,36.2,44.5
2016-04-08 21:00:00,0.8,23.6,24.8,56.1
2016-04-08 22:00:00,1.0,21.1,22.7,58.4
2016-04-08 23:00:00,0.9,22.2,23.6,53.8
2016-04-09 00:00:00,0.9,16.2,17.7,56.1
2016-04-09 01:00:00,0.7,14.8,15.8,55.2
2016-04-09 02:00:00,0.4,9.5,10.1,62.9
2016-04-09 03:00:00,0.6,8.7,9.5,68.7
2016-04-09 04:00:00,0.8,10.2,11.5,68.1
2016-04-09 05:00:00,1.1,15.7,17.5,61.2
2016-04-09 06:00:00,1.6,21.1,23.5,54.0
2016-04-09 07:00:00,2.2,20.6,23.9,58.1
2016-04-09 08:00:00,5.1,29.9,37.7,50.9
2016-04-09 09:00:00,5.2,22.6,30.6,56.3
2016-04-09 10:00:00,4.6,14.8,21.8,62.0
2016-04-09 11:00:00,3.4,11.5,16.7,67.7
2016-04-09 12:00:00,3.5,14.5,19.8,66.4
2016-04-09 13:00:00,2.3,9.9,13.4,72.5
2016-04-09 14:00:00,2.1,11.3,14.5,73.1
2016-04-09 15:00:00,1.9,11.0,13.9,74.9
2016-04-09 16:00:00,1.7,7.5,10.0,80.4
2016-04-09 17:00:00,1.2,12.3,14.1,79.0
2016-04-09 18:00:00,1.1,15.2,16.8,72.2
2016-04-09 19:00:00,1.2,25.7,27.6,60.6
2016-04-09 20:00:00,1.2,33.1,35.0,47.0
2016-04-09 21:00:00,2.6,49.2,53.1,20.7
2016-04-09 22:00:00,1.4,35.4,37.5,34.6
2016-04-09 23:00:00,1.3,35.4,37.4,41.6
2016-04-10 00:00:00,1.2,37.7,39.6,38.3
2016-04-10 01:00:00,1.5,43.7,46.0,25.1
2016-04-10 02:00:00,1.9,39.9,42.9,11.1
2016-04-10 03:00:00,3.0,39.0,43.7,4.6
2016-04-10 04:00:00,8.8,42.6,56.2,1.5
2016-04-10 05:00:00,28.7,46.6,90.6,1.5
2016-04-10 06:00:00,41.5,54.2,117.8,4.7
2016-04-10 07:00:00,15.0,44.2,67.2,24.5
2016-04-10 08:00:00,4.2,17.6,24.0,60.4
2016-04-10 09:00:00,2.5,8.9,12.7,78.0
2016-04-10 10:00:00,2.2,8.2,11.5,80.1
2016-04-10 11:00:00,2.2,8.3,11.7,81.1
2016-04-10 12:00:00,2.2,9.3,12.7,81.6
2016-04-10 13:00:00,2.6,10.8,14.8,82.1
2016-04-10 14:00:00,2.2,10.7,14.2,86.8
2016-04-10 15:00:00,1.7,10.6,13.1,87.2
2016-04-10 16:00:00,1.5,13.5,15.8,83.0
2016-04-10 17:00:00,1.7,15.2,17.7,79.9
2016-04-10 18:00:00,1.0,18.5,20.0,80.6
2016-04-10 19:00:00,1.1,25.0,26.6,72.8
2016-04-10 20:00:00,1.0,22.7,24.3,68.2
2016-04-10 21:00:00,1.1,21.8,23.4,66.8
2016-04-10 22:00:00,1.0,24.7,26.1,57.5
2016-04-10 23:00:00,0.9,29.5,30.9,39.4
2016-04-11 00:00:00,0.5,17.8,18.6,47.8
2016-04-11 01:00:00,0.5,16.1,16.9,47.8
2016-04-11 02:00:00,0.6,17.8,18.7,41.5
2016-04-11 03:00:00,0.8,18.6,19.9,34.8
2016-04-11 04:00:00,1.1,25.9,27.5,28.8
2016-04-11 05:00:00,4.1,42.6,48.8,19.9
2016-04-11 06:00:00,11.5,50.9,68.6,11.6
2016-04-11 07:00:00,12.7,34.7,54.1,30.7
2016-04-11 08:00:00,6.9,25.1,35.8,42.9
2016-04-11 09:00:00,5.8,22.3,31.2,46.3
2016-04-11 10:00:00,5.6,23.6,32.2,47.2
2016-04-11 11:00:00,6.7,25.1,35.4,46.4
2016-04-11 12:00:00,5.3,23.3,31.3,51.6
2016-04-11 13:00:00,4.0,33.6,39.7,43.7
2016-04-11 14:00:00,10.6,55.8,72.0,15.6
2016-04-11 15:00:00,10.4,49.5,65.4,18.2
2016-04-11 16:00:00,9.6,47.2,61.9,18.4
2016-04-11 17:00:00,8.7,47.5,60.8,16.7
2016-04-11 18:00:00,6.2,44.2,53.6,8.5
2016-04-11 19:00:00,12.5,52.3,71.5,2.1
2016-04-11 20:00:00,26.8,54.0,95.1,1.1
2016-04-11 21:00:00,11.9,58.6,76.7,4.4
2016-04-11 22:00:00,3.3,56.4,61.4,5.8
2016-04-11 23:00:00,2.3,48.6,52.1,10.1
2016-04-12 00:00:00,0.9,29.0,30.4,28.4
2016-04-12 01:00:00,0.9,27.8,29.1,30.0
2016-04-12 02:00:00,0.6,16.8,17.7,42.9
2016-04-12 03:00:00,0.7,14.8,15.9,46.5
2016-04-12 04:00:00,0.6,16.2,17.1,46.5
2016-04-12 05:00:00,2.0,31.9,34.9,33.9
2016-04-12 06:00:00,7.2,45.4,56.5,25.1
2016-04-12 07:00:00,17.0,52.7,78.9,19.4
2016-04-12 08:00:00,19.1,49.8,79.0,24.0
2016-04-12 09:00:00,14.5,38.6,60.8,36.4
2016-04-12 10:00:00,7.0,22.6,33.3,57.3
2016-04-12 11:00:00,5.3,19.6,27.6,65.8
2016-04-12 12:00:00,3.3,19.1,24.2,66.9
2016-04-12 13:00:00,3.3,17.5,22.5,66.9
2016-04-12 14:00:00,2.1,9.6,12.7,80.4
2016-04-12 15:00:00,1.7,16.8,19.4,73.6
2016-04-12 16:00:00,1.9,19.7,22.7,64.9
2016-04-12 17:00:00,2.6,33.6,37.6,52.8
2016-04-12 18:00:00,3.4,54.1,59.2,29.0
2016-04-12 19:00:00,1.6,44.5,46.9,32.0
2016-04-12 20:00:00,8.2,55.0,67.5,10.9
2016-04-12 21:00:00,16.1,55.5,80.1,1.4
2016-04-12 22:00:00,20.4,55.0,86.4,1.0
2016-04-12 23:00:00,29.7,55.6,101.1,1.1
