MeasurementDateGMT,Carbon Monoxide (mg/m3),Nitric Oxide (ug/m3),Nitrogen Dioxide (ug/m3),Oxides of Nitrogen (ug/m3),Ozone (ug/m3),PM10 Particulate (ug/m3),Sulphur Dioxide (ug/m3)
2016-04-08 00:00:00,,8.8,32.3,45.7,31.2,,
2016-04-08 01:00:00,,10.4,46.0,61.9,26.6,,
2016-04-08 02:00:00,,8.1,35.6,48.0,31.4,,
2016-04-08 03:00:00,,9.7,35.0,49.8,22.9,,
2016-04-08 04:00:00,,11.1,50.8,67.8,6.9,,
2016-04-08 05:00:00,,21.8,52.0,85.4,3.1,,
2016-04-08 06:00:00,,31.8,56.7,105.5,6.9,,
2016-04-08 07:00:00,,34.0,51.0,103.2,15.0,,
2016-04-08 08:00:00,,19.8,30.0,60.4,37.0,,
2016-04-08 09:00:00,,12.3,16.5,35.3,58.1,,
2016-04-08 10:00:00,,11.2,13.5,30.6,65.4,,
2016-04-08 11:00:00,,8.3,12.5,25.3,68.0,,
2016-04-08 12:00:00,,9.4,14.2,28.6,70.6,,
2016-04-08 13:00:00,,32.7,52.3,102.5,50.7,,
2016-04-08 14:00:00,,45.0,66.2,135.3,41.8,,
2016-04-08 15:00:00,,63.0,94.2,190.7,21.6,,
2016-04-08 16:00:00,,44.6,82.0,150.4,22.7,,
2016-04-08 17:00:00,,54.5,91.7,175.3,18.2,,
2016-04-08 18:00:00,,66.0,95.8,196.9,15.0,,
2016-04-08 19:00:00,,58.8,89.7,179.9,12.7,,
2016-04-08 20:00:00,,51.5,87.9,166.8,12.1,,
2016-04-08 21:00:00,,51.5,86.4,165.4,11.4,,
2016-04-08 22:00:00,,32.4,60.2,109.8,23.6,,
2016-04-08 23:00:00,,19.0,39.6,68.8,34.3,,
2016-04-09 00:00:00,,16.0,25.3,49.9,46.0,,
2016-04-09 01:00:00,,13.9,20.6,41.9,50.0,,
2016-04-09 02:00:00,,12.8,14.1,33.7,61.7,,
2016-04-09 03:00:00,,16.3,19.6,44.5,58.6,,
2016-04-09 04:00:00,,20.0,26.5,57.1,52.9,,
2016-04-09 05:00:00,,27.1,50.7,92.2,38.2,,
2016-04-09 06:00:00,,42.5,85.5,150.7,19.8,,
2016-04-09 07:00:00,,86.7,107.0,239.9,11.6,,
2016-04-09 08:00:00,,58.9,81.8,172.1,22.5,,
2016-04-09 09:00:00,,23.5,37.1,73.1,48.6,,
2016-04-09 10:00:00,,16.6,22.3,47.7,61.0,,
2016-04-09 11:00:00,,30.8,44.0,91.1,48.8,,
2016-04-09 12:00:00,,47.4,74.9,147.6,32.8,,
2016-04-09 13:00:00,,45.5,84.2,153.9,26.4,,
2016-04-09 14:00:00,,41.4,71.6,135.1,35.9,,
2016-04-09 15:00:00,,43.0,68.2,134.1,41.6,,
2016-04-09 16:00:00,,30.3,63.1,109.5,44.2,,
2016-04-09 17:00:00,,13.6,49.1,69.9,50.1,,
2016-04-09 18:00:00,,39.3,91.7,152.0,18.5,,
2016-04-09 19:00:00,,19.7,83.7,113.9,16.8,,
2016-04-09 20:00:00,,84.2,117.1,246.2,2.1,,
2016-04-09 21:00:00,,73.2,106.8,219.0,1.9,,
2016-04-09 22:00:00,,65.1,97.2,197.0,2.5,,
2016-04-09 23:00:00,,58.5,84.1,173.8,4.4,,
2016-04-10 00:00:00,,61.3,80.7,174.7,2.5,,
2016-04-10 01:00:00,,50.6,74.6,152.2,3.8,,
2016-04-10 02:00:00,,65.4,66.5,166.8,0.8,,
2016-04-10 03:00:00,,53.1,66.2,147.6,0.9,,
2016-04-10 04:00:00,,47.6,66.0,139.0,0.8,,
2016-04-10 05:00:00,,57.1,66.3,153.9,1.5,,
2016-04-10 06:00:00,,58.3,85.8,175.2,9.5,,
2016-04-10 07:00:00,,45.1,81.7,150.8,25.4,,
2016-04-10 08:00:00,,30.2,57.6,103.9,43.3,,
2016-04-10 09:00:00,,28.3,54.1,97.4,49.4,,
2016-04-10 10:00:00,,30.6,53.3,100.2,49.6,,
2016-04-10 11:00:00,,23.7,48.5,84.9,57.1,,
2016-04-10 12:00:00,,23.6,48.1,84.3,58.3,,
2016-04-10 13:00:00,,18.3,40.9,68.9,65.8,,
2016-04-10 14:00:00,,9.2,26.6,40.7,73.5,,
2016-04-10 15:00:00,,6.9,24.0,34.6,75.7,,
2016-04-10 16:00:00,,12.1,35.0,53.5,68.9,,
2016-04-10 17:00:00,,10.7,41.5,57.9,63.1,,
2016-04-10 18:00:00,,5.2,32.6,40.6,67.0,,
2016-04-10 19:00:00,,5.5,34.9,43.3,66.2,,
2016-04-10 20:00:00,,4.8,32.6,40.0,61.2,,
2016-04-10 21:00:00,,5.3,35.8,44.0,52.7,,
2016-04-10 22:00:00,,4.7,35.1,42.3,46.2,,
2016-04-10 23:00:00,,4.5,29.6,36.6,45.3,,
2016-04-11 00:00:00,,4.6,28.2,35.2,42.4,,
2016-04-11 01:00:00,,4.9,19.6,27.1,46.8,,
2016-04-11 02:00:00,,5.0,17.1,24.7,44.2,,
2016-04-11 03:00:00,,5.4,26.0,34.2,30.8,,
2016-04-11 04:00:00,,7.0,36.7,47.5,18.8,,
2016-04-11 05:00:00,,12.8,48.8,68.5,12.0,,
2016-04-11 06:00:00,,65.6,76.7,177.2,6.3,,
2016-04-11 07:00:00,,42.7,61.6,127.1,12.2,,
2016-04-11 08:00:00,,28.9,54.7,99.0,20.0,,
2016-04-11 09:00:00,,21.8,42.0,75.4,32.1,,
2016-04-11 10:00:00,,53.3,69.5,151.2,20.2,,
2016-04-11 11:00:00,,37.9,55.5,113.6,29.0,,
2016-04-11 12:00:00,,52.4,74.8,155.0,17.4,,
2016-04-11 13:00:00,,123.2,105.7,294.6,3.7,,
2016-04-11 14:00:00,,99.9,96.0,249.2,5.0,,
2016-04-11 15:00:00,,64.6,77.7,176.8,11.7,,
2016-04-11 16:00:00,,65.8,78.7,179.6,8.5,,
2016-04-11 17:00:00,,28.0,62.8,105.7,7.3,,
2016-04-11 18:00:00,,46.4,68.9,140.0,3.4,,
2016-04-11 19:00:00,,153.2,112.9,347.8,0.9,,
2016-04-11 20:00:00,,153.6,105.9,341.5,1.0,,
2016-04-11 21:00:00,,98.4,88.3,239.2,0.8,,
2016-04-11 22:00:00,,64.7,77.7,176.8,2.1,,
2016-04-11 23:00:00,,51.9,71.2,150.8,1.2,,
2016-04-12 00:00:00,,38.9,57.8,117.5,5.4,,
2016-04-12 01:00:00,,18.8,43.7,72.5,19.8,,
2016-04-12 02:00:00,,22.1,47.4,81.3,17.9,,
2016-04-12 03:00:00,,35.5,62.8,117.1,7.8,,
2016-04-12 04:00:00,,82.7,83.7,210.5,2.4,,
2016-04-12 05:00:00,,155.8,120.9,359.8,1.7,,
2016-04-12 06:00:00,,161.3,113.9,361.3,2.7,,
2016-04-12 07:00:00,,97.1,87.3,236.1,10.0,,
2016-04-12 08:00:00,,110.8,93.4,263.2,12.1,,
2016-04-12 09:00:00,,72.9,77.4,189.3,21.7,,
2016-04-12 10:00:00,,42.5,58.6,123.9,37.9,,
2016-04-12 11:00:00,,33.3,52.0,103.2,42.9,,
2016-04-12 12:00:00,,36.6,68.7,124.8,35.3,,
2016-04-12 13:00:00,,33.0,60.2,110.7,48.9,,
2016-04-12 14:00:00,,44.3,73.1,141.1,38.8,,
2016-04-12 15:00:00,,52.3,83.9,164.1,35.3,,
2016-04-12 16:00:00,,49.0,90.7,165.8,32.1,,
2016-04-12 17:00:00,,56.5,104.1,190.8,24.9,,
2016-04-12 18:00:00,,64.8,110.0,209.3,20.3,,
2016-04-12 19:00:00,,75.2,126.6,241.9,5.8,,
2016-04-12 20:00:00,,93.0,124.4,266.9,2.1,,
2016-04-12 21:00:00,,95.5,119.6,266.1,1.4,,
2016-04-12 22:00:00,,93.1,103.1,245.8,0.9,,
2016-04-12 23:00:00,,98.3,102.2,253.0,1.1,,
2016-04-13 00:00:00,,204.7,85.4,399.2,1.0,,
2016-04-13 01:00:00,,117.3,79.2,259.0,1.0,,
2016-04-13 02:00:00,,107.4,70.9,235.5,0.9,,
2016-04-13 03:00:00,,107.2,55.6,220.0,1.1,,
2016-04-13 04:00:00,,137.9,46.0,257.5,1.4,,
2016-04-13 05:00:00,,248.6,68.3,449.5,1.6,,
2016-04-13 06:00:00,,382.5,106.7,693.2,1.9,,
2016-04-13 07:00:00,,232.3,127.9,484.1,4.2,,
2016-04-13 08:00:00,,208.0,130.1,449.1,5.6,,
2016-04-13 09:00:00,,111.6,102.3,273.5,10.6,,
2016-04-13 10:00:00,,39.4,56.3,116.7,40.3,,
2016-04-13 11:00:00,,15.3,28.3,51.8,67.9,,
2016-04-13 12:00:00,,10.1,19.2,34.6,75.9,,
2016-04-13 13:00:00,,9.5,16.2,30.7,83.5,,
2016-04-13 14:00:00,,11.4,28.7,46.2,73.9,,
2016-04-13 15:00:00,,4.7,11.5,18.7,81.8,,
2016-04-13 16:00:00,,,,,39.1,,
2016-04-13 17:00:00,,22.7,80.4,115.1,37.3,,
2016-04-13 18:00:00,,61.9,115.1,210.1,14.5,,
2016-04-13 19:00:00,,71.2,125.7,234.9,6.7,,
2016-04-13 20:00:00,,49.7,113.9,190.1,5.1,,
2016-04-13 21:00:00,,57.8,103.0,191.6,2.5,,
2016-04-13 22:00:00,,85.5,98.3,229.3,1.6,,
2016-04-13 23:00:00,,84.3,85.1,214.4,1.6,,
2016-04-14 00:00:00,,36.9,70.4,127.0,4.0,,
2016-04-14 01:00:00,,39.8,68.0,128.9,6.4,,
2016-04-14 02:00:00,,33.4,62.1,113.3,9.3,,
2016-04-14 03:00:00,,48.8,71.7,146.5,4.7,,
2016-04-14 04:00:00,,81.8,88.8,214.3,2.9,,
2016-04-14 05:00:00,,167.3,119.0,375.5,1.3,,
2016-04-14 06:00:00,,167.8,105.1,362.4,2.0,,
2016-04-14 07:00:00,,190.8,116.0,408.5,2.5,,
2016-04-14 08:00:00,,134.7,113.7,320.2,6.9,,
2016-04-14 09:00:00,,92.7,111.2,253.3,15.0,,
2016-04-14 10:00:00,,34.1,69.5,121.8,38.8,,
2016-04-14 11:00:00,,36.5,68.4,124.3,41.7,,
2016-04-14 12:00:00,,44.5,76.9,145.2,41.5,,
2016-04-14 13:00:00,,53.1,88.2,169.6,31.5,,
2016-04-14 14:00:00,,50.0,85.6,162.2,38.9,,
2016-04-14 15:00:00,,42.2,77.5,142.2,44.8,,
2016-04-14 16:00:00,,41.8,78.9,143.0,43.8,,
2016-04-14 17:00:00,,42.1,82.3,146.9,38.0,,
2016-04-14 18:00:00,,53.6,104.8,186.9,22.0,,
2016-04-14 19:00:00,,49.3,105.4,181.0,15.8,,
2016-04-14 20:00:00,,41.1,95.8,158.8,18.5,,
2016-04-14 21:00:00,,35.5,84.2,138.7,20.8,,
2016-04-14 22:00:00,,26.2,85.2,125.3,11.1,,
2016-04-14 23:00:00,,11.8,67.5,85.6,21.3,,
2016-04-15 00:00:00,,6.1,51.4,60.8,35.4,,
2016-04-15 01:00:00,,4.8,49.3,56.7,32.7,,
