MeasurementDateGMT,Nitric Oxide (ug/m3),Nitrogen Dioxide (ug/m3),Oxides of Nitrogen (ug/m3),Ozone (ug/m3),PM10 Particulate (ug/m3)
2016-04-08 00:00:00,103.7,,244.2,4.6,19.0
2016-04-08 01:00:00,82.1,79.2,205.0,8.6,16.3
2016-04-08 02:00:00,70.4,76.1,184.0,10.4,17.2
2016-04-08 03:00:00,60.1,82.9,174.1,8.9,13.3
2016-04-08 04:00:00,67.1,82.0,184.8,6.9,13.9
2016-04-08 05:00:00,162.3,99.9,351.9,4.5,24.4
2016-04-08 06:00:00,192.3,104.3,399.1,4.9,26.2
2016-04-08 07:00:00,131.0,,296.8,10.9,31.1
2016-04-08 08:00:00,115.1,79.2,261.8,12.4,37.1
2016-04-08 09:00:00,148.7,103.6,331.6,9.4,45.9
2016-04-08 10:00:00,89.2,79.4,218.1,24.4,32.3
2016-04-08 11:00:00,96.3,94.2,239.3,19.9,36.2
2016-04-08 12:00:00,90.4,101.7,240.3,20.4,34.4
2016-04-08 13:00:00,94.8,100.2,245.6,17.9,38.8
2016-04-08 14:00:00,66.4,85.5,187.2,25.9,29.4
2016-04-08 15:00:00,51.2,82.3,160.8,29.9,31.9
2016-04-08 16:00:00,56.7,87.1,174.1,22.9,27.2
2016-04-08 17:00:00,63.8,88.3,186.1,22.4,29.7
2016-04-08 18:00:00,60.8,90.5,183.8,19.4,28.9
2016-04-08 19:00:00,68.6,93.0,197.5,14.9,27.9
2016-04-08 20:00:00,51.9,95.9,175.6,13.4,33.2
2016-04-08 21:00:00,43.4,84.1,150.7,18.9,27.9
2016-04-08 22:00:00,59.0,82.3,172.7,19.9,22.2
2016-04-08 23:00:00,45.3,75.6,145.0,22.4,23.3
2016-04-09 00:00:00,44.2,71.6,139.3,21.9,31.0
2016-04-09 01:00:00,36.3,61.8,117.5,27.8,21.4
2016-04-09 02:00:00,38.6,51.5,110.7,31.8,18.6
2016-04-09 03:00:00,11.6,39.5,57.3,49.2,13.1
2016-04-09 04:00:00,11.2,38.2,55.4,46.3,7.4
2016-04-09 05:00:00,11.2,36.3,53.6,47.7,1.6
2016-04-09 06:00:00,22.3,49.0,83.2,33.8,5.6
2016-04-09 07:00:00,100.4,93.8,245.6,13.9,15.5
2016-04-09 08:00:00,65.7,86.3,188.3,20.8,18.3
