MeasurementDateGMT,Nitric Oxide (ug/m3),Nitrogen Dioxide (ug/m3),Oxides of Nitrogen (ug/m3),PM10 Particulate (ug/m3)
2016-04-08 00:00:00,16.8,45.0,70.8,8.0
2016-04-08 01:00:00,16.2,41.8,66.6,6.9
2016-04-08 02:00:00,11.1,39.4,56.4,6.4
2016-04-08 03:00:00,16.8,43.4,69.3,6.4
2016-04-08 04:00:00,83.2,65.2,192.8,10.8
2016-04-08 05:00:00,139.1,89.4,302.8,15.4
2016-04-08 06:00:00,188.0,114.8,403.1,27.7
2016-04-08 07:00:00,101.1,88.5,243.5,24.9
2016-04-08 08:00:00,93.7,79.1,222.7,38.7
2016-04-08 09:00:00,64.7,57.7,156.9,43.3
2016-04-08 10:00:00,70.8,68.6,177.2,33.2
2016-04-08 11:00:00,53.3,58.0,139.7,25.7
2016-04-08 12:00:00,81.9,78.9,204.5,30.4
2016-04-08 13:00:00,42.8,59.4,125.1,25.4
2016-04-08 14:00:00,74.5,70.0,184.2,28.6
2016-04-08 15:00:00,63.7,70.9,168.6,27.8
2016-04-08 16:00:00,71.5,86.1,195.7,32.1
2016-04-08 17:00:00,57.0,71.0,158.3,22.5
2016-04-08 18:00:00,60.0,82.2,174.3,19.8
2016-04-08 19:00:00,50.9,72.7,150.8,23.9
2016-04-08 20:00:00,41.8,74.2,138.3,23.9
2016-04-08 21:00:00,41.1,74.7,137.8,26.7
2016-04-08 22:00:00,30.4,71.3,117.9,25.0
2016-04-08 23:00:00,13.5,40.7,61.4,19.7
2016-04-09 00:00:00,7.1,24.0,34.8,16.3
2016-04-09 01:00:00,2.7,15.2,19.4,14.7
2016-04-09 02:00:00,1.7,11.0,13.5,13.0
2016-04-09 03:00:00,3.7,6.9,12.6,10.3
2016-04-09 04:00:00,4.4,15.4,22.1,5.9
2016-04-09 05:00:00,10.8,26.3,42.9,3.3
2016-04-09 06:00:00,42.2,50.1,114.8,4.6
2016-04-09 07:00:00,49.9,54.8,131.4,7.6
2016-04-09 08:00:00,58.7,62.8,152.9,12.6
2016-04-09 09:00:00,56.7,60.6,147.5,18.0
2016-04-09 10:00:00,54.7,57.3,141.1,20.1
2016-04-09 11:00:00,49.6,37.5,113.5,20.6
2016-04-09 12:00:00,40.5,42.6,104.7,19.4
2016-04-09 13:00:00,43.6,60.3,127.0,22.4
2016-04-09 14:00:00,51.0,56.0,134.2,21.7
2016-04-09 15:00:00,39.8,44.7,105.8,16.1
2016-04-09 16:00:00,43.9,58.2,125.5,14.7
2016-04-09 17:00:00,63.1,84.3,181.1,21.0
2016-04-09 18:00:00,60.1,77.3,169.4,8.9
2016-04-09 19:00:00,67.5,96.8,200.3,15.5
2016-04-09 20:00:00,79.0,89.7,210.9,19.3
2016-04-09 21:00:00,77.3,95.9,214.5,21.0
2016-04-09 22:00:00,106.1,108.5,271.1,24.8
2016-04-09 23:00:00,156.7,108.3,348.6,32.5
2016-04-10 00:00:00,109.8,91.3,259.7,24.5
2016-04-10 01:00:00,72.3,69.2,180.1,18.7
2016-04-10 02:00:00,49.0,65.0,140.1,15.9
2016-04-10 03:00:00,47.3,67.5,140.0,14.9
2016-04-10 04:00:00,40.6,66.0,128.2,12.8
2016-04-10 05:00:00,56.8,82.5,169.5,12.0
2016-04-10 06:00:00,61.5,79.6,173.9,18.7
2016-04-10 07:00:00,25.7,58.1,97.5,13.8
2016-04-10 08:00:00,9.1,24.8,38.7,11.1
2016-04-10 09:00:00,6.8,17.2,27.6,8.5
2016-04-10 10:00:00,5.4,18.2,26.5,10.0
2016-04-10 11:00:00,7.4,18.8,30.2,8.5
2016-04-10 12:00:00,5.7,15.5,24.4,9.4
2016-04-10 13:00:00,6.1,18.2,27.5,11.0
2016-04-10 14:00:00,7.1,19.9,30.8,6.9
2016-04-10 15:00:00,6.1,19.3,28.6,15.8
2016-04-10 16:00:00,4.7,19.2,26.4,14.8
2016-04-10 17:00:00,5.1,20.8,28.6,12.9
2016-04-10 18:00:00,5.1,31.4,39.2,20.4
2016-04-10 19:00:00,5.1,31.4,39.2,19.2
2016-04-10 20:00:00,4.1,31.3,37.6,16.7
2016-04-10 21:00:00,3.7,28.7,34.4,17.7
2016-04-10 22:00:00,3.7,28.7,34.4,20.2
2016-04-10 23:00:00,3.7,24.4,30.1,22.1
2016-04-11 00:00:00,1.0,17.9,19.5,24.7
2016-04-11 01:00:00,1.7,14.8,17.4,24.7
2016-04-11 02:00:00,1.4,14.7,16.8,27.7
2016-04-11 03:00:00,1.0,19.0,20.5,34.1
2016-04-11 04:00:00,2.7,29.7,33.8,34.9
2016-04-11 05:00:00,8.5,43.9,56.8,35.4
2016-04-11 06:00:00,13.9,51.7,72.9,34.9
2016-04-11 07:00:00,26.7,56.3,97.3,38.4
2016-04-11 08:00:00,12.2,34.1,52.8,37.5
2016-04-11 09:00:00,10.8,29.7,46.4,35.2
2016-04-11 10:00:00,8.8,32.8,46.3,34.6
2016-04-11 11:00:00,11.5,35.6,53.3,36.4
2016-04-11 12:00:00,13.2,40.0,60.2,36.0
2016-04-11 13:00:00,17.9,53.6,81.1,37.6
2016-04-11 14:00:00,101.9,98.8,255.1,45.3
2016-04-11 15:00:00,98.2,88.5,239.1,43.0
2016-04-11 16:00:00,69.4,76.4,182.8,38.1
2016-04-11 17:00:00,99.2,96.5,248.7,40.1
2016-04-11 18:00:00,95.5,91.5,238.0,40.7
2016-04-11 19:00:00,148.4,92.1,319.6,43.8
2016-04-11 20:00:00,217.5,102.9,436.4,44.3
2016-04-11 21:00:00,115.5,80.3,257.4,36.1
2016-04-11 22:00:00,53.9,73.2,155.8,25.4
2016-04-11 23:00:00,31.5,68.4,116.8,23.9
2016-04-12 00:00:00,18.0,63.8,91.3,21.0
2016-04-12 01:00:00,3.0,43.1,47.7,13.5
2016-04-12 02:00:00,3.4,30.4,35.6,14.5
2016-04-12 03:00:00,3.7,27.7,33.4,11.1
2016-04-12 04:00:00,22.0,45.0,78.8,12.2
2016-04-12 05:00:00,59.0,71.0,161.4,14.3
2016-04-12 06:00:00,144.4,97.3,318.8,20.6
2016-04-12 07:00:00,97.3,77.0,226.2,17.4
2016-04-12 08:00:00,76.3,56.3,173.3,30.2
2016-04-12 09:00:00,55.3,57.0,141.7,33.6
2016-04-12 10:00:00,70.5,62.3,170.5,28.8
2016-04-12 11:00:00,52.2,42.4,122.5,22.6
2016-04-12 12:00:00,38.3,53.1,111.9,19.3
2016-04-12 13:00:00,35.6,44.4,99.0,16.2
2016-04-12 14:00:00,41.0,49.6,112.5,18.9
2016-04-12 15:00:00,59.0,64.2,154.7,23.5
2016-04-12 16:00:00,31.9,58.5,107.4,17.7
2016-04-12 17:00:00,31.9,68.7,117.5,17.5
2016-04-12 18:00:00,42.7,78.0,143.5,24.9
2016-04-12 19:00:00,19.0,72.5,101.7,16.0
2016-04-12 20:00:00,20.7,80.6,112.4,18.4
2016-04-12 21:00:00,75.0,96.8,211.8,26.5
2016-04-12 22:00:00,127.6,101.2,296.8,36.7
2016-04-12 23:00:00,112.3,82.5,254.8,32.5
2016-04-13 00:00:00,72.3,65.3,176.1,26.2
2016-04-13 01:00:00,59.4,51.6,142.6,20.3
2016-04-13 02:00:00,58.0,48.8,137.8,20.1
2016-04-13 03:00:00,68.2,48.0,152.6,26.0
2016-04-13 04:00:00,110.3,55.3,224.5,24.4
2016-04-13 05:00:00,155.8,79.4,318.3,31.7
2016-04-13 06:00:00,223.7,111.6,454.6,57.4
2016-04-13 07:00:00,186.7,107.8,394.1,56.0
2016-04-13 08:00:00,160.3,110.7,356.4,48.3
2016-04-13 09:00:00,89.3,93.8,230.7,31.1
2016-04-13 10:00:00,48.6,57.3,131.7,21.4
2016-04-13 11:00:00,47.5,61.5,134.4,19.7
2016-04-13 12:00:00,36.0,46.8,102.0,20.4
2016-04-13 13:00:00,41.8,62.6,126.7,21.5
2016-04-13 14:00:00,50.6,59.6,137.2,17.0
2016-04-13 15:00:00,45.5,61.9,131.7,19.2
2016-04-13 16:00:00,53.3,67.8,149.6,19.3
2016-04-13 17:00:00,44.2,65.0,132.7,23.4
2016-04-13 18:00:00,41.4,75.5,139.0,26.6
2016-04-13 19:00:00,34.0,69.6,121.7,17.5
2016-04-13 20:00:00,51.0,94.3,172.5,27.6
2016-04-13 21:00:00,42.1,76.6,141.2,24.4
2016-04-13 22:00:00,29.2,66.6,111.4,18.7
2016-04-13 23:00:00,13.9,70.8,92.2,19.5
2016-04-14 00:00:00,8.8,60.9,74.4,18.5
