MeasurementDateGMT,Nitric Oxide (ug/m3),Nitrogen Dioxide (ug/m3),Oxides of Nitrogen (ug/m3),PM10 Particulate (ug/m3),PM2.5 Particulate (ug/m3)
2016-04-08 00:00:00,6.6,58.6,68.6,10.4,9.7
2016-04-08 01:00:00,5.2,53.2,61.3,8.7,6.4
2016-04-08 02:00:00,10.6,56.3,72.5,12.8,11.4
2016-04-08 03:00:00,32.9,64.6,115.0,12.6,10.9
2016-04-08 04:00:00,29.2,66.1,110.8,10.1,8.3
2016-04-08 05:00:00,134.9,80.4,287.2,14.9,12.6
2016-04-08 06:00:00,97.9,71.1,221.3,13.3,10.4
2016-04-08 07:00:00,35.9,56.5,111.6,14.9,10.7
2016-04-08 08:00:00,36.0,51.8,107.1,25.4,11.8
2016-04-08 09:00:00,29.9,40.8,86.6,26.8,11.0
2016-04-08 10:00:00,34.1,48.9,101.2,30.4,14.6
2016-04-08 11:00:00,25.4,45.8,84.8,26.1,11.2
2016-04-08 12:00:00,52.2,59.8,139.9,36.9,12.9
2016-04-08 13:00:00,52.4,64.8,145.1,27.2,11.5
2016-04-08 14:00:00,60.6,71.9,164.8,28.0,12.7
2016-04-08 15:00:00,56.9,67.9,155.2,26.0,12.4
2016-04-08 16:00:00,61.5,69.6,163.9,25.2,13.4
2016-04-08 17:00:00,32.8,50.6,100.8,16.2,9.9
2016-04-08 18:00:00,33.0,50.2,100.8,16.9,10.9
2016-04-08 19:00:00,31.8,55.4,104.2,15.8,8.9
2016-04-08 20:00:00,40.0,69.5,130.8,22.1,12.5
2016-04-08 21:00:00,27.6,61.8,104.0,27.3,19.1
2016-04-08 22:00:00,15.7,44.1,68.2,22.1,13.7
2016-04-08 23:00:00,11.8,40.0,58.1,16.0,10.3
2016-04-09 00:00:00,10.5,39.9,56.1,13.6,7.2
2016-04-09 01:00:00,6.0,27.7,36.9,10.9,3.9
2016-04-09 02:00:00,3.3,11.7,16.7,5.3,-0.5
2016-04-09 03:00:00,4.9,12.3,19.7,6.1,1.6
2016-04-09 04:00:00,6.0,13.3,22.6,4.7,0.4
2016-04-09 05:00:00,10.4,16.3,32.2,9.0,5.8
2016-04-09 06:00:00,17.8,24.2,51.5,8.9,6.3
2016-04-09 07:00:00,21.6,30.1,63.2,5.6,5.2
2016-04-09 08:00:00,40.4,62.2,124.1,6.3,2.7
2016-04-09 09:00:00,52.8,64.4,145.3,11.9,8.5
2016-04-09 10:00:00,38.5,46.9,105.9,17.2,9.9
2016-04-09 11:00:00,40.0,47.8,109.0,20.5,7.8
2016-04-09 12:00:00,40.0,44.6,105.9,16.0,4.6
2016-04-09 13:00:00,31.2,37.8,85.6,19.0,8.5
2016-04-09 14:00:00,29.6,40.0,85.3,10.2,1.3
2016-04-09 15:00:00,24.8,30.3,68.4,11.4,5.1
2016-04-09 16:00:00,28.2,29.4,72.7,5.5,0.9
2016-04-09 17:00:00,26.1,34.0,74.1,7.5,2.4
2016-04-09 18:00:00,25.5,32.7,71.8,8.2,4.1
2016-04-09 19:00:00,13.3,34.8,55.2,4.4,0.8
2016-04-09 20:00:00,14.1,39.3,61.0,9.1,4.5
2016-04-09 21:00:00,31.9,62.7,111.6,6.0,2.7
2016-04-09 22:00:00,24.3,57.6,94.9,12.9,8.1
2016-04-09 23:00:00,36.8,72.0,128.5,19.4,13.9
2016-04-10 00:00:00,22.6,59.9,94.5,7.8,3.1
2016-04-10 01:00:00,11.4,48.3,65.7,7.1,2.4
2016-04-10 02:00:00,2.3,34.9,38.4,15.3,14.2
2016-04-10 03:00:00,2.1,47.6,50.8,6.4,3.2
2016-04-10 04:00:00,13.5,52.0,72.6,12.8,10.4
2016-04-10 05:00:00,7.1,46.3,57.2,10.9,8.6
2016-04-10 06:00:00,9.6,37.5,52.1,4.7,1.1
2016-04-10 07:00:00,10.3,32.3,48.0,12.5,6.7
2016-04-10 08:00:00,16.3,28.8,53.7,15.2,5.8
2016-04-10 09:00:00,14.6,25.7,48.0,11.0,4.3
2016-04-10 10:00:00,11.3,20.7,38.0,8.6,2.6
2016-04-10 11:00:00,2.5,10.0,13.8,10.5,4.6
2016-04-10 12:00:00,2.3,9.0,12.5,10.4,4.3
2016-04-10 13:00:00,1.9,10.1,13.0,11.4,5.5
2016-04-10 14:00:00,1.6,8.7,11.1,12.8,6.9
2016-04-10 15:00:00,1.3,9.7,11.7,12.0,8.6
2016-04-10 16:00:00,1.5,12.7,15.0,17.2,11.4
2016-04-10 17:00:00,1.3,14.9,16.9,15.2,9.8
2016-04-10 18:00:00,0.9,17.3,18.6,18.7,12.7
2016-04-10 19:00:00,0.7,20.7,21.8,13.0,6.7
2016-04-10 20:00:00,0.5,16.0,16.7,16.0,9.8
2016-04-10 21:00:00,0.6,15.1,16.0,16.9,9.2
2016-04-10 22:00:00,0.2,15.2,15.4,17.9,9.9
2016-04-10 23:00:00,0.1,14.2,14.4,23.9,17.2
2016-04-11 00:00:00,0.1,13.3,13.4,29.1,22.8
2016-04-11 01:00:00,0.0,13.5,13.6,28.8,22.9
2016-04-11 02:00:00,0.1,15.0,15.1,30.2,25.2
2016-04-11 03:00:00,0.1,18.3,18.4,34.6,29.8
2016-04-11 04:00:00,0.6,28.1,29.1,35.0,31.3
2016-04-11 05:00:00,2.2,41.0,44.4,36.5,31.4
2016-04-11 06:00:00,4.0,32.7,38.8,31.7,25.8
2016-04-11 07:00:00,5.9,25.6,34.6,35.7,27.4
2016-04-11 08:00:00,5.5,19.4,27.8,32.4,25.5
2016-04-11 09:00:00,5.6,20.3,28.8,32.1,24.5
2016-04-11 10:00:00,6.5,20.8,30.7,32.8,25.6
2016-04-11 11:00:00,8.0,24.5,36.8,31.3,22.4
2016-04-11 12:00:00,8.5,28.9,41.9,37.1,28.3
2016-04-11 13:00:00,16.6,37.4,62.8,30.1,22.0
2016-04-11 14:00:00,68.9,67.7,173.3,44.9,36.6
2016-04-11 15:00:00,60.4,58.0,150.6,32.8,30.6
2016-04-11 16:00:00,62.9,63.7,160.2,36.1,35.0
2016-04-11 17:00:00,59.4,66.0,157.0,40.7,39.9
2016-04-11 18:00:00,46.7,67.8,139.4,47.1,40.5
2016-04-11 19:00:00,72.4,74.1,185.1,44.3,31.8
2016-04-11 20:00:00,34.5,63.0,115.8,37.8,29.0
2016-04-11 21:00:00,18.9,56.5,85.4,27.3,21.5
2016-04-11 22:00:00,10.1,49.5,65.0,23.5,19.1
2016-04-11 23:00:00,8.7,44.1,57.4,18.5,15.1
2016-04-12 00:00:00,6.5,39.9,49.8,17.6,14.4
2016-04-12 01:00:00,4.6,27.4,34.5,16.1,13.1
2016-04-12 02:00:00,2.5,19.5,23.3,7.8,4.3
2016-04-12 03:00:00,13.5,22.5,43.2,4.1,2.9
2016-04-12 04:00:00,41.5,54.5,118.2,11.8,10.7
2016-04-12 05:00:00,127.7,92.4,288.2,17.3,12.7
2016-04-12 06:00:00,116.8,86.1,265.1,17.3,13.5
2016-04-12 07:00:00,101.2,84.0,239.2,19.7,14.9
2016-04-12 08:00:00,58.1,52.4,141.4,20.7,11.6
2016-04-12 09:00:00,51.7,65.0,144.2,19.6,5.4
2016-04-12 10:00:00,33.7,34.7,86.4,25.7,9.0
2016-04-12 11:00:00,27.4,35.6,77.7,20.2,4.3
2016-04-12 12:00:00,23.7,37.6,73.9,14.7,4.9
2016-04-12 13:00:00,30.8,41.4,88.5,20.9,5.6
2016-04-12 14:00:00,39.9,31.8,93.0,19.6,8.0
2016-04-12 15:00:00,40.2,39.6,101.2,18.7,9.9
2016-04-12 16:00:00,14.1,25.6,47.2,8.9,4.6
2016-04-12 17:00:00,1.2,17.0,18.8,4.8,3.6
2016-04-12 18:00:00,0.8,25.2,26.3,8.0,6.0
2016-04-12 19:00:00,1.6,42.2,44.7,8.9,5.9
2016-04-12 20:00:00,13.9,50.4,71.7,14.8,8.6
2016-04-12 21:00:00,34.1,70.1,122.5,24.0,16.2
2016-04-12 22:00:00,32.8,71.1,121.4,17.0,9.7
2016-04-12 23:00:00,54.6,62.9,146.7,17.5,10.8
2016-04-13 00:00:00,32.9,45.1,95.5,20.8,17.3
2016-04-13 01:00:00,37.4,50.9,108.3,21.0,14.7
2016-04-13 02:00:00,34.3,50.4,102.9,16.9,13.1
2016-04-13 03:00:00,27.6,41.6,83.8,15.7,14.1
2016-04-13 04:00:00,76.6,47.2,164.6,17.9,9.9
2016-04-13 05:00:00,228.4,82.6,432.9,44.2,18.6
2016-04-13 06:00:00,264.4,92.4,497.9,59.4,29.3
2016-04-13 07:00:00,189.5,99.7,390.2,61.9,28.2
2016-04-13 08:00:00,101.8,89.6,245.6,39.8,24.5
2016-04-13 09:00:00,64.0,80.7,178.8,35.5,16.6
2016-04-13 10:00:00,47.8,68.4,141.7,51.9,21.4
