MeasurementDateGMT,Nitric Oxide (ug/m3),Nitrogen Dioxide (ug/m3),Oxides of Nitrogen (ug/m3),PM10 Particulate (ug/m3),Sulphur Dioxide (ug/m3)
2016-04-08 00:00:00,1.3,49.6,51.5,12.2,
2016-04-08 01:00:00,6.4,50.4,60.1,9.4,
2016-04-08 02:00:00,5.4,45.7,54.0,9.5,
2016-04-08 03:00:00,19.4,51.0,80.7,9.5,
2016-04-08 04:00:00,34.0,60.8,112.9,14.3,
2016-04-08 05:00:00,56.5,66.9,153.6,16.4,
2016-04-08 06:00:00,76.6,77.8,195.2,20.6,
2016-04-08 07:00:00,36.5,58.9,114.9,,
2016-04-08 08:00:00,14.0,36.5,58.0,,
2016-04-08 09:00:00,7.9,30.4,42.6,,
2016-04-08 10:00:00,5.7,20.5,29.2,,
2016-04-08 11:00:00,6.0,22.5,31.7,11.7,
2016-04-08 12:00:00,6.7,24.5,34.7,,
2016-04-08 13:00:00,29.2,55.3,100.1,19.0,
2016-04-08 14:00:00,48.3,82.6,156.6,44.0,
2016-04-08 15:00:00,42.6,79.0,144.2,49.7,
2016-04-08 16:00:00,63.5,91.0,188.4,45.7,
2016-04-08 17:00:00,54.3,89.7,173.0,29.6,
2016-04-08 18:00:00,48.6,73.2,147.7,22.5,
2016-04-08 19:00:00,42.6,77.0,142.3,25.3,
2016-04-08 20:00:00,70.5,90.7,198.8,33.9,
2016-04-08 21:00:00,62.2,91.5,186.9,31.7,
2016-04-08 22:00:00,38.7,67.0,126.4,22.3,
2016-04-08 23:00:00,26.4,54.3,94.7,19.9,
2016-04-09 00:00:00,18.6,46.8,75.4,21.9,
2016-04-09 01:00:00,15.7,38.1,62.2,18.0,
2016-04-09 02:00:00,13.0,30.6,50.6,14.8,
2016-04-09 03:00:00,14.9,28.2,51.1,14.9,
2016-04-09 04:00:00,15.9,33.2,57.5,11.1,
2016-04-09 05:00:00,14.3,31.2,53.1,9.2,
2016-04-09 06:00:00,29.2,51.4,96.2,10.2,
2016-04-09 07:00:00,45.7,65.8,135.9,11.1,
2016-04-09 08:00:00,8.9,33.0,46.6,7.2,
2016-04-09 09:00:00,49.5,71.9,147.9,11.1,
2016-04-09 10:00:00,37.2,61.1,118.1,17.7,
2016-04-09 11:00:00,26.0,46.9,86.8,25.6,
2016-04-09 12:00:00,31.8,56.0,104.7,27.7,
2016-04-09 13:00:00,30.2,50.5,96.8,29.8,
2016-04-09 14:00:00,29.8,54.5,100.2,21.1,
2016-04-09 15:00:00,33.7,53.6,105.2,27.0,
2016-04-09 16:00:00,20.0,39.8,70.5,19.0,
2016-04-09 17:00:00,38.1,64.7,123.1,24.7,
2016-04-09 18:00:00,23.8,52.8,89.4,22.7,
2016-04-09 19:00:00,1.6,29.3,31.8,9.4,
2016-04-09 20:00:00,2.2,40.3,43.7,9.3,
2016-04-09 21:00:00,7.0,55.8,66.5,9.6,
2016-04-09 22:00:00,31.8,74.4,123.1,20.2,
2016-04-09 23:00:00,54.6,91.5,175.3,23.1,
2016-04-10 00:00:00,34.3,77.8,130.4,21.2,
2016-04-10 01:00:00,21.6,72.8,105.9,19.6,
2016-04-10 02:00:00,26.7,72.3,113.2,18.2,
2016-04-10 03:00:00,22.2,66.7,100.8,17.5,
2016-04-10 04:00:00,17.5,62.6,89.4,17.4,
2016-04-10 05:00:00,16.5,54.7,80.0,14.5,
2016-04-10 06:00:00,16.8,49.2,75.0,14.7,
2016-04-10 07:00:00,13.7,38.7,59.6,13.9,
2016-04-10 08:00:00,12.7,32.2,51.7,,
2016-04-10 09:00:00,11.7,27.2,45.2,,
2016-04-10 10:00:00,7.9,21.6,33.8,,
2016-04-10 11:00:00,7.3,20.1,31.3,16.4,
2016-04-10 12:00:00,5.7,17.6,26.3,18.3,
2016-04-10 13:00:00,6.0,21.1,30.3,17.5,
2016-04-10 14:00:00,5.1,18.1,25.8,18.5,
2016-04-10 15:00:00,5.1,21.0,28.8,16.4,
2016-04-10 16:00:00,5.4,21.5,29.8,19.6,
2016-04-10 17:00:00,4.8,24.5,31.8,28.4,
2016-04-10 18:00:00,4.1,26.0,32.3,25.7,
2016-04-10 19:00:00,3.8,27.5,33.3,24.8,
2016-04-10 20:00:00,2.9,20.5,24.9,23.3,
2016-04-10 21:00:00,3.2,19.0,23.9,25.5,
2016-04-10 22:00:00,2.5,18.5,22.4,29.3,
2016-04-10 23:00:00,2.2,17.0,20.4,34.2,
2016-04-11 00:00:00,1.3,16.0,17.9,35.1,
2016-04-11 01:00:00,1.7,19.3,21.9,42.7,
2016-04-11 02:00:00,1.6,20.9,23.4,45.9,
2016-04-11 03:00:00,2.9,25.0,29.3,51.0,
2016-04-11 04:00:00,4.8,33.5,40.8,49.4,
2016-04-11 05:00:00,10.2,40.6,56.2,47.8,
2016-04-11 06:00:00,15.6,42.3,66.2,48.5,
2016-04-11 07:00:00,21.3,44.0,76.6,49.4,
2016-04-11 08:00:00,20.6,41.0,72.6,54.2,
2016-04-11 09:00:00,15.6,33.9,57.7,54.3,
2016-04-11 10:00:00,18.1,36.9,64.7,47.2,
2016-04-11 11:00:00,18.7,39.9,68.7,51.8,
2016-04-11 12:00:00,19.4,42.0,71.6,43.4,
