MeasurementDateGMT,Carbon Monoxide (mg/m3),Nitric Oxide (ug/m3),Nitrogen Dioxide (ug/m3),Oxides of Nitrogen (ug/m3),PM10 Particulate (ug/m3)
2016-04-08 00:00:00,,41.3,65.0,128.4,13.0
2016-04-08 01:00:00,,16.8,40.6,66.3,9.5
2016-04-08 02:00:00,,33.7,57.7,109.4,9.8
2016-04-08 03:00:00,,25.8,57.8,97.4,10.1
2016-04-08 04:00:00,,50.2,65.0,142.0,12.6
2016-04-08 05:00:00,,85.4,67.6,198.5,16.5
2016-04-08 06:00:00,,113.2,82.6,256.2,21.5
2016-04-08 07:00:00,,117.0,88.3,267.8,27.0
2016-04-08 08:00:00,,168.6,101.3,359.9,33.8
2016-04-08 09:00:00,,105.6,84.1,246.0,25.5
2016-04-08 10:00:00,,81.5,70.8,195.7,22.3
2016-04-08 11:00:00,,81.8,84.0,209.4,24.8
2016-04-08 12:00:00,,132.1,116.4,309.1,23.9
2016-04-08 13:00:00,,132.3,97.9,300.8,26.4
2016-04-08 14:00:00,,122.8,104.5,292.9,28.2
2016-04-08 15:00:00,,154.1,120.9,344.2,27.9
2016-04-08 16:00:00,,77.6,91.7,210.7,23.9
2016-04-08 17:00:00,,69.4,96.9,203.3,19.0
2016-04-08 18:00:00,,104.7,98.9,259.5,20.0
2016-04-08 19:00:00,,89.6,91.8,225.3,26.4
2016-04-08 20:00:00,,51.1,82.2,160.5,24.2
2016-04-08 21:00:00,,42.2,67.5,132.3,18.1
2016-04-08 22:00:00,,43.2,70.6,136.8,17.2
2016-04-08 23:00:00,,49.2,75.4,150.7,23.0
2016-04-09 00:00:00,,35.8,60.3,115.2,20.5
2016-04-09 01:00:00,,19.4,40.6,70.4,19.6
2016-04-09 02:00:00,,15.5,35.7,59.4,15.5
2016-04-09 03:00:00,,16.7,28.6,54.2,15.5
2016-04-09 04:00:00,,15.8,28.0,52.2,7.1
2016-04-09 05:00:00,,23.6,38.0,74.2,5.7
2016-04-09 06:00:00,,40.6,58.4,120.7,5.9
2016-04-09 07:00:00,,84.0,83.6,212.4,12.3
2016-04-09 08:00:00,,107.2,102.3,266.7,14.1
2016-04-09 09:00:00,,76.7,88.3,205.9,13.3
2016-04-09 10:00:00,,73.3,78.4,190.8,13.9
2016-04-09 11:00:00,,86.7,79.0,212.0,20.2
2016-04-09 12:00:00,,75.4,60.2,175.9,20.5
2016-04-09 13:00:00,,78.2,69.4,189.4,22.2
2016-04-09 14:00:00,,89.5,84.0,222.3,21.4
