MeasurementDateGMT,Nitric Oxide (ug/m3),Nitrogen Dioxide (ug/m3),Oxides of Nitrogen (ug/m3),PM10 Particulate (ug/m3)
2016-04-08 00:00:00,16.6,48.5,74.0,15.6
2016-04-08 01:00:00,5.3,30.0,38.2,7.4
2016-04-08 02:00:00,1.3,23.8,25.7,8.6
2016-04-08 03:00:00,4.7,35.5,42.7,8.0
2016-04-08 04:00:00,3.6,32.6,38.2,12.6
2016-04-08 05:00:00,6.7,41.3,51.6,12.5
2016-04-08 06:00:00,11.3,43.9,61.3,15.8
2016-04-08 07:00:00,9.4,32.3,46.6,15.7
2016-04-08 08:00:00,8.0,32.9,45.2,20.0
2016-04-08 09:00:00,12.1,38.3,56.9,20.7
2016-04-08 10:00:00,9.4,19.9,34.3,11.7
2016-04-08 11:00:00,4.2,17.6,24.1,15.4
2016-04-08 12:00:00,1.9,19.3,22.2,15.2
2016-04-08 13:00:00,3.4,27.8,33.0,15.3
2016-04-08 14:00:00,6.0,25.9,35.1,16.7
2016-04-08 15:00:00,5.1,34.3,42.0,20.8
2016-04-08 16:00:00,1.7,27.5,30.1,15.0
2016-04-08 17:00:00,2.3,29.6,33.0,11.7
2016-04-08 18:00:00,1.5,34.9,37.2,9.9
2016-04-08 19:00:00,1.2,44.7,46.6,16.4
2016-04-08 20:00:00,1.4,48.0,50.2,19.0
2016-04-08 21:00:00,2.2,40.3,43.6,17.7
2016-04-08 22:00:00,0.9,31.1,32.6,14.7
2016-04-08 23:00:00,1.5,34.0,36.2,16.5
2016-04-09 00:00:00,1.9,33.7,36.6,17.5
2016-04-09 01:00:00,1.2,20.6,22.5,15.4
2016-04-09 02:00:00,1.4,13.8,16.0,13.1
2016-04-09 03:00:00,1.9,9.7,12.5,12.7
2016-04-09 04:00:00,0.7,12.5,13.6,7.3
2016-04-09 05:00:00,0.5,11.8,12.6,4.5
2016-04-09 06:00:00,1.1,17.5,19.2,3.2
2016-04-09 07:00:00,3.8,27.6,33.4,6.1
2016-04-09 08:00:00,7.2,37.8,48.8,7.0
2016-04-09 09:00:00,5.2,24.1,32.0,9.0
2016-04-09 10:00:00,6.2,22.4,32.0,7.9
2016-04-09 11:00:00,4.8,19.1,26.5,14.1
2016-04-09 12:00:00,3.4,15.7,20.9,12.6
2016-04-09 13:00:00,2.3,13.7,17.3,14.1
2016-04-09 14:00:00,2.2,13.1,16.6,14.1
2016-04-09 15:00:00,2.0,13.2,16.4,10.7
2016-04-09 16:00:00,2.3,15.0,18.5,4.4
2016-04-09 17:00:00,1.5,18.1,20.4,8.7
2016-04-09 18:00:00,1.3,24.1,26.2,5.6
2016-04-09 19:00:00,1.5,35.0,37.2,7.6
2016-04-09 20:00:00,3.1,43.8,48.6,9.2
2016-04-09 21:00:00,2.6,50.0,54.0,7.4
2016-04-09 22:00:00,1.7,34.4,37.0,10.7
2016-04-09 23:00:00,2.6,39.5,43.5,9.5
2016-04-10 00:00:00,2.3,48.3,51.9,12.5
2016-04-10 01:00:00,2.6,51.1,55.0,9.4
2016-04-10 02:00:00,6.2,57.6,67.1,14.2
2016-04-10 03:00:00,14.3,64.7,86.6,14.5
2016-04-10 04:00:00,16.1,59.8,84.5,14.9
2016-04-10 05:00:00,21.4,58.4,91.2,12.5
2016-04-10 06:00:00,24.8,60.5,98.6,12.1
2016-04-10 07:00:00,18.9,47.4,76.3,13.8
2016-04-10 08:00:00,3.4,16.0,21.2,13.1
2016-04-10 09:00:00,2.1,8.5,11.7,11.1
