MeasurementDateGMT,Nitric Oxide (ug/m3),Nitrogen Dioxide (ug/m3),Oxides of Nitrogen (ug/m3),PM10 Particulate (ug/m3),Sulphur Dioxide (ug/m3)
2016-04-08 00:00:00,38.9,64.4,124.0,,8.2
2016-04-08 01:00:00,31.2,53.8,101.6,,7.5
2016-04-08 02:00:00,26.0,60.5,100.3,,7.1
2016-04-08 03:00:00,31.2,58.2,106.0,,6.9
2016-04-08 04:00:00,66.7,72.2,174.5,,9.5
2016-04-08 05:00:00,205.5,116.0,431.1,,13.8
2016-04-08 06:00:00,241.0,145.4,515.0,,15.5
2016-04-08 07:00:00,257.5,112.6,507.4,,17.0
2016-04-08 08:00:00,171.7,93.9,357.1,,13.3
2016-04-08 09:00:00,148.6,100.9,328.7,,12.6
2016-04-08 10:00:00,125.6,105.0,297.5,,11.6
2016-04-08 11:00:00,118.7,87.6,269.6,,11.8
2016-04-08 12:00:00,106.8,86.2,249.9,,11.3
2016-04-08 13:00:00,113.8,103.1,277.6,,12.1
2016-04-08 14:00:00,93.1,91.4,234.1,,11.9
2016-04-08 15:00:00,93.2,96.5,239.4,,11.9
2016-04-08 16:00:00,110.5,102.7,272.2,,11.6
2016-04-08 17:00:00,94.8,89.6,235.0,,11.4
2016-04-08 18:00:00,81.3,85.9,210.5,,10.1
2016-04-08 19:00:00,73.4,87.4,199.9,,11.0
2016-04-08 20:00:00,65.6,83.6,184.1,,10.5
2016-04-08 21:00:00,52.5,70.4,150.9,,9.7
2016-04-08 22:00:00,58.4,75.2,164.8,,10.2
2016-04-08 23:00:00,51.1,60.5,138.9,,10.6
2016-04-09 00:00:00,46.8,57.5,129.3,,10.2
2016-04-09 01:00:00,25.2,38.0,76.7,,9.6
2016-04-09 02:00:00,25.3,36.3,75.0,,9.5
2016-04-09 03:00:00,20.6,33.0,64.5,,9.4
2016-04-09 04:00:00,,,,,9.9
2016-04-09 05:00:00,29.9,39.2,85.0,,10.6
2016-04-09 06:00:00,53.8,57.4,139.8,,11.4
2016-04-09 07:00:00,90.5,76.7,215.5,,13.0
2016-04-09 08:00:00,110.6,90.3,259.9,,14.5
2016-04-09 09:00:00,73.0,74.4,186.3,,12.9
2016-04-09 10:00:00,68.2,65.0,169.5,,12.3
2016-04-09 11:00:00,,,,,12.5
2016-04-09 12:00:00,79.9,79.4,201.9,,12.9
2016-04-09 13:00:00,54.0,68.0,150.9,,11.7
2016-04-09 14:00:00,56.0,62.3,148.1,,12.1
2016-04-09 15:00:00,53.7,54.1,136.5,,12.0
2016-04-09 16:00:00,51.0,78.9,157.0,,11.6
2016-04-09 17:00:00,62.8,63.4,159.7,,11.8
2016-04-09 18:00:00,49.3,52.2,127.8,,11.2
2016-04-09 19:00:00,46.7,63.1,134.6,,10.9
2016-04-09 20:00:00,64.1,73.6,171.9,,11.2
2016-04-09 21:00:00,66.9,78.5,181.1,,11.1
2016-04-09 22:00:00,71.7,72.8,182.8,,11.2
2016-04-09 23:00:00,63.4,79.9,177.1,,
2016-04-10 00:00:00,39.4,73.3,133.7,,
2016-04-10 01:00:00,37.6,74.4,132.0,,
2016-04-10 02:00:00,75.7,92.7,208.8,,
2016-04-10 03:00:00,83.9,89.0,217.6,,
2016-04-10 04:00:00,39.1,70.8,130.7,,
2016-04-10 05:00:00,42.6,67.9,133.3,,
2016-04-10 06:00:00,43.9,70.7,138.0,,
2016-04-10 07:00:00,25.5,44.9,84.1,,
2016-04-10 08:00:00,14.5,26.9,49.2,,
2016-04-10 09:00:00,12.7,23.8,43.3,,
2016-04-10 10:00:00,11.3,26.2,43.5,,
2016-04-10 11:00:00,14.4,24.8,46.9,,
2016-04-10 12:00:00,28.9,42.3,86.5,,
2016-04-10 13:00:00,17.5,30.0,56.8,,
2016-04-10 14:00:00,16.2,35.7,60.6,,
2016-04-10 15:00:00,22.9,40.8,75.9,,
2016-04-10 16:00:00,17.3,34.9,61.4,,
2016-04-10 17:00:00,14.2,42.4,64.1,,
2016-04-10 18:00:00,10.8,40.6,57.1,,
2016-04-10 19:00:00,11.0,40.9,57.8,,
2016-04-10 20:00:00,8.6,40.2,53.4,,
2016-04-10 21:00:00,9.3,40.7,54.9,,
2016-04-10 22:00:00,10.0,41.2,56.5,,
2016-04-10 23:00:00,9.6,36.0,50.6,,
2016-04-11 00:00:00,6.6,31.1,41.2,,
2016-04-11 01:00:00,5.7,25.5,34.3,,
2016-04-11 02:00:00,6.9,24.7,35.3,,
2016-04-11 03:00:00,13.6,34.9,55.9,,
2016-04-11 04:00:00,18.0,45.6,73.3,,
2016-04-11 05:00:00,72.1,69.4,180.0,,
2016-04-11 06:00:00,133.9,98.2,303.5,,
2016-04-11 07:00:00,109.5,84.8,252.6,,
2016-04-11 08:00:00,92.1,81.8,223.0,,
2016-04-11 09:00:00,47.1,55.4,127.7,,
2016-04-11 10:00:00,50.5,61.4,138.8,,
2016-04-11 11:00:00,,,,,
2016-04-11 12:00:00,62.0,69.1,164.2,,
2016-04-11 13:00:00,113.7,90.0,264.3,,
2016-04-11 14:00:00,169.5,85.5,345.5,,
2016-04-11 15:00:00,123.3,89.2,278.2,,
2016-04-11 16:00:00,103.9,87.5,246.8,,
2016-04-11 17:00:00,111.4,86.8,257.6,,
2016-04-11 18:00:00,107.6,90.3,255.3,,
2016-04-11 19:00:00,98.5,88.6,239.7,,
2016-04-11 20:00:00,103.9,85.5,244.9,,
2016-04-11 21:00:00,65.7,73.4,174.1,,
2016-04-11 22:00:00,72.0,66.8,177.1,,
2016-04-11 23:00:00,48.8,61.6,136.5,,
2016-04-12 00:00:00,19.4,45.9,75.6,,
2016-04-12 01:00:00,16.2,39.7,64.5,,
2016-04-12 02:00:00,28.4,54.7,98.2,,
2016-04-12 03:00:00,27.0,53.1,94.5,,
2016-04-12 04:00:00,56.2,70.2,156.4,,
2016-04-12 05:00:00,157.9,111.6,353.7,,
2016-04-12 06:00:00,216.3,140.9,472.7,,
2016-04-12 07:00:00,180.5,111.3,388.0,,
2016-04-12 08:00:00,142.5,111.4,330.0,,
2016-04-12 09:00:00,112.6,100.0,272.7,,
2016-04-12 10:00:00,84.9,85.9,216.1,,
2016-04-12 11:00:00,101.6,103.0,258.8,,
2016-04-12 12:00:00,83.4,76.2,204.1,,
2016-04-12 13:00:00,77.0,82.1,200.2,,
2016-04-12 14:00:00,78.7,80.1,200.8,,
2016-04-12 15:00:00,69.8,77.5,184.4,,
2016-04-12 16:00:00,67.1,75.8,178.7,,
2016-04-12 17:00:00,74.0,82.9,196.3,,
2016-04-12 18:00:00,73.5,87.9,200.7,,
2016-04-12 19:00:00,72.7,87.2,198.7,,
2016-04-12 20:00:00,46.3,80.8,151.9,,
2016-04-12 21:00:00,61.6,88.8,183.3,,
2016-04-12 22:00:00,73.6,96.3,209.1,,
2016-04-12 23:00:00,91.8,98.1,238.9,,
2016-04-13 00:00:00,71.1,93.0,202.0,,
2016-04-13 01:00:00,72.3,91.6,202.5,,
2016-04-13 02:00:00,67.6,84.1,187.8,,
2016-04-13 03:00:00,62.3,79.5,175.0,,
2016-04-13 04:00:00,151.9,97.6,330.5,,
2016-04-13 05:00:00,233.7,117.5,475.8,,
2016-04-13 06:00:00,241.4,117.6,487.8,,
2016-04-13 07:00:00,231.5,123.8,478.8,,
2016-04-13 08:00:00,195.3,133.2,432.6,,
2016-04-13 09:00:00,185.8,127.5,412.4,,
2016-04-13 10:00:00,104.9,96.2,257.0,,
2016-04-13 11:00:00,90.0,110.3,248.3,,
2016-04-13 12:00:00,126.4,96.3,290.1,,
2016-04-13 13:00:00,89.0,81.7,218.2,,
2016-04-13 14:00:00,82.4,85.7,212.0,,
2016-04-13 15:00:00,109.4,107.5,275.2,,
2016-04-13 16:00:00,114.2,117.5,292.7,,
2016-04-13 17:00:00,118.1,104.4,285.5,,
