MeasurementDateGMT,Nitric Oxide (ug/m3),Nitrogen Dioxide (ug/m3),Oxides of Nitrogen (ug/m3),PM10 Particulate (ug/m3)
2016-04-08 00:00:00,19.2,50.1,79.5,7.0
2016-04-08 01:00:00,11.1,46.9,63.9,7.0
2016-04-08 02:00:00,12.3,44.2,63.1,5.0
2016-04-08 03:00:00,16.2,41.6,66.4,5.0
2016-04-08 04:00:00,34.8,56.5,109.8,8.0
2016-04-08 05:00:00,102.7,100.5,258.0,12.0
2016-04-08 06:00:00,163.2,106.9,357.0,21.0
2016-04-08 07:00:00,100.1,87.2,240.8,19.0
2016-04-08 08:00:00,88.3,90.4,225.8,21.0
2016-04-08 09:00:00,94.4,93.7,238.4,26.0
2016-04-08 10:00:00,52.7,77.3,158.1,18.0
2016-04-08 11:00:00,62.4,84.6,180.3,19.0
2016-04-08 12:00:00,39.2,77.6,137.7,24.0
2016-04-08 13:00:00,42.4,76.7,141.8,16.0
2016-04-08 14:00:00,46.5,72.0,143.2,17.0
2016-04-08 15:00:00,17.7,53.6,80.8,11.0
2016-04-08 16:00:00,26.3,53.8,94.0,11.0
2016-04-08 17:00:00,18.9,46.3,75.2,12.0
2016-04-08 18:00:00,17.6,47.8,74.9,7.0
2016-04-08 19:00:00,13.8,49.1,70.2,13.0
2016-04-08 20:00:00,13.5,47.0,67.6,15.0
2016-04-08 21:00:00,8.2,35.6,48.2,12.0
2016-04-08 22:00:00,6.4,32.2,42.0,12.0
2016-04-08 23:00:00,7.0,28.2,39.0,17.0
2016-04-09 00:00:00,5.3,25.1,33.3,12.0
2016-04-09 01:00:00,1.8,12.0,14.8,8.0
2016-04-09 02:00:00,5.2,23.9,31.9,8.0
2016-04-09 03:00:00,2.5,12.0,15.9,6.0
2016-04-09 04:00:00,4.4,18.6,25.4,3.0
2016-04-09 05:00:00,6.8,24.4,34.9,5.0
2016-04-09 06:00:00,11.4,38.4,55.9,7.0
2016-04-09 07:00:00,26.9,48.4,89.5,3.0
2016-04-09 08:00:00,23.6,50.2,86.4,4.0
2016-04-09 09:00:00,27.8,49.4,92.0,5.0
2016-04-09 10:00:00,53.0,64.1,145.3,9.0
2016-04-09 11:00:00,37.5,52.0,109.5,7.0
2016-04-09 12:00:00,15.6,30.5,54.4,10.0
2016-04-09 13:00:00,13.5,30.0,50.7,13.0
2016-04-09 14:00:00,10.1,26.5,41.9,15.0
2016-04-09 15:00:00,8.2,20.2,32.7,7.0
2016-04-09 16:00:00,27.2,37.9,79.6,4.0
2016-04-09 17:00:00,23.1,39.5,75.0,5.0
2016-04-09 18:00:00,25.7,50.7,90.2,9.0
2016-04-09 19:00:00,30.7,55.9,102.9,9.0
