MeasurementDateGMT,Carbon Monoxide (mg/m3),Nitric Oxide (ug/m3),Nitrogen Dioxide (ug/m3),Oxides of Nitrogen (ug/m3),Ozone (ug/m3),PM10 Particulate (ug/m3),Sulphur Dioxide (ug/m3)
2016-04-08 00:00:00,0.5,107.5,87.2,252.1,2.5,21.7,10.2
2016-04-08 01:00:00,0.4,82.4,83.3,209.7,5.2,19.4,8.7
2016-04-08 02:00:00,0.4,62.0,79.1,174.2,6.9,13.9,7.6
2016-04-08 03:00:00,0.4,84.2,84.2,213.4,4.7,13.8,6.8
2016-04-08 04:00:00,0.4,126.9,92.6,287.1,3.0,20.4,7.2
2016-04-08 05:00:00,0.7,224.2,121.5,465.2,2.6,29.8,8.7
2016-04-08 06:00:00,0.6,216.2,120.4,451.9,3.2,29.4,10.5
2016-04-08 07:00:00,0.9,284.1,120.9,556.5,3.8,40.1,11.7
2016-04-08 08:00:00,0.8,301.8,148.3,611.2,3.7,48.9,13.1
2016-04-08 09:00:00,0.5,226.3,118.0,465.0,7.1,37.6,13.5
2016-04-08 10:00:00,0.5,142.1,93.7,311.6,17.3,31.3,12.0
2016-04-08 11:00:00,0.4,114.4,111.8,287.2,16.5,33.3,10.4
2016-04-08 12:00:00,0.4,121.1,100.4,286.1,14.6,28.3,9.6
2016-04-08 13:00:00,0.4,156.6,117.6,357.7,13.8,25.4,9.6
2016-04-08 14:00:00,0.6,240.5,150.4,519.1,11.7,49.1,10.1
2016-04-08 15:00:00,0.9,315.5,197.0,680.7,7.8,40.9,12.1
2016-04-08 16:00:00,0.9,266.0,176.0,583.9,7.6,38.2,12.9
2016-04-08 17:00:00,1.1,254.9,140.4,531.2,7.2,35.8,12.9
2016-04-08 18:00:00,0.8,322.1,170.1,663.9,6.8,32.8,13.1
2016-04-08 19:00:00,0.7,277.7,146.3,572.1,5.1,35.0,14.3
2016-04-08 20:00:00,0.7,191.3,117.3,410.6,7.8,37.7,13.2
2016-04-08 21:00:00,0.6,158.1,122.5,364.9,9.5,33.4,10.9
2016-04-08 22:00:00,0.5,223.4,123.8,466.3,8.8,31.0,10.9
2016-04-08 23:00:00,0.4,156.0,102.5,341.7,9.6,32.2,10.3
2016-04-09 00:00:00,0.6,141.9,104.6,322.1,9.9,23.2,9.0
