MeasurementDateGMT,Carbon Monoxide (mg/m3),Nitric Oxide (ug/m3),Nitrogen Dioxide (ug/m3),Oxides of Nitrogen (ug/m3),Ozone (ug/m3),PM10 Particulate (ug/m3),PM2.5 Particulate (ug/m3),Sulphur Dioxide (ug/m3)
2016-04-08 00:00:00,,17.5,61.2,88.0,,13.0,,
2016-04-08 01:00:00,,8.7,44.0,57.4,,14.0,,
2016-04-08 02:00:00,,10.0,42.1,57.4,,11.0,,
2016-04-08 03:00:00,,13.7,45.9,66.9,,8.0,,
2016-04-08 04:00:00,,34.9,57.4,110.9,,11.0,,
2016-04-08 05:00:00,,87.3,82.2,216.1,,12.0,,
2016-04-08 06:00:00,,87.3,76.5,210.4,,19.0,,
2016-04-08 07:00:00,,49.9,65.0,141.5,,24.0,,
2016-04-08 08:00:00,,32.4,57.4,107.1,,22.0,,
2016-04-08 09:00:00,,32.4,55.5,105.2,,22.0,,
2016-04-08 10:00:00,,23.7,42.1,78.4,,25.0,,
2016-04-08 11:00:00,,18.7,36.3,65.0,,22.0,,
2016-04-08 12:00:00,,18.7,47.8,76.5,,14.0,,
2016-04-08 13:00:00,,29.9,66.9,112.8,,20.0,,
2016-04-08 14:00:00,,22.5,49.7,84.2,,23.0,,
2016-04-08 15:00:00,,23.7,53.6,89.9,,23.0,,
2016-04-08 16:00:00,,11.2,44.0,61.2,,20.0,,
2016-04-08 17:00:00,,12.5,45.9,65.0,,13.0,,
2016-04-08 18:00:00,,6.2,36.3,45.9,,10.0,,
2016-04-08 19:00:00,,8.7,44.0,57.4,,13.0,,
2016-04-08 20:00:00,,12.5,49.7,68.8,,14.0,,
2016-04-08 21:00:00,,7.5,40.2,51.6,,19.0,,
2016-04-08 22:00:00,,3.7,32.5,38.3,,21.0,,
2016-04-08 23:00:00,,7.5,30.6,42.1,,18.0,,
2016-04-09 00:00:00,,3.7,24.9,30.6,,14.0,,
2016-04-09 01:00:00,,5.0,23.0,30.6,,14.0,,
2016-04-09 02:00:00,,2.5,13.4,17.2,,12.0,,
2016-04-09 03:00:00,,1.2,9.6,11.5,,12.0,,
2016-04-09 04:00:00,,3.7,11.5,17.2,,10.0,,
2016-04-09 05:00:00,,2.5,13.4,17.2,,4.0,,
2016-04-09 06:00:00,,2.5,21.0,24.9,,4.0,,
2016-04-09 07:00:00,,10.0,38.2,53.5,,2.0,,
2016-04-09 08:00:00,,7.5,40.2,51.6,,3.0,,
2016-04-09 09:00:00,,13.7,38.3,59.3,,5.0,,
2016-04-09 10:00:00,,16.2,38.3,63.1,,10.0,,
2016-04-09 11:00:00,,11.2,24.9,42.1,,16.0,,
2016-04-09 12:00:00,,10.0,24.9,40.2,,10.0,,
2016-04-09 13:00:00,,10.0,26.8,42.1,,13.0,,
2016-04-09 14:00:00,,7.5,22.9,34.4,,12.0,,
2016-04-09 15:00:00,,7.5,24.9,36.3,,11.0,,
2016-04-09 16:00:00,,8.7,23.0,36.3,,11.0,,
2016-04-09 17:00:00,,7.5,26.8,38.3,,5.0,,
2016-04-09 18:00:00,,7.5,36.3,47.8,,7.0,,
2016-04-09 19:00:00,,7.5,42.1,53.5,,8.0,,
2016-04-09 20:00:00,,15.0,51.6,74.6,,4.0,,
2016-04-09 21:00:00,,7.5,44.0,55.5,,8.0,,
2016-04-09 22:00:00,,3.7,44.0,49.7,,11.0,,
2016-04-09 23:00:00,,6.2,42.1,51.6,,10.0,,
2016-04-10 00:00:00,,2.5,34.4,38.3,,9.0,,
2016-04-10 01:00:00,,6.2,63.1,72.7,,12.0,,
2016-04-10 02:00:00,,8.7,61.2,74.6,,12.0,,
2016-04-10 03:00:00,,7.5,65.0,76.5,,14.0,,
2016-04-10 04:00:00,,10.0,68.9,84.2,,14.0,,
2016-04-10 05:00:00,,15.0,68.8,91.8,,13.0,,
2016-04-10 06:00:00,,24.9,61.2,99.5,,14.0,,
2016-04-10 07:00:00,,8.7,36.3,49.7,,18.0,,
2016-04-10 08:00:00,,2.5,13.4,17.2,,14.0,,
2016-04-10 09:00:00,,1.2,5.7,7.7,,10.0,,
2016-04-10 10:00:00,,1.2,7.7,9.6,,11.0,,
2016-04-10 11:00:00,,1.2,9.6,11.5,,10.0,,
2016-04-10 12:00:00,,1.2,11.5,13.4,,10.0,,
2016-04-10 13:00:00,,2.5,11.5,15.3,,11.0,,
2016-04-10 14:00:00,,2.5,11.5,15.3,,11.0,,
2016-04-10 15:00:00,,1.2,11.5,13.4,,13.0,,
2016-04-10 16:00:00,,1.2,15.3,17.2,,14.0,,
2016-04-10 17:00:00,,1.2,19.1,21.0,,14.0,,
2016-04-10 18:00:00,,1.2,23.0,24.9,,17.0,,
2016-04-10 19:00:00,,1.2,23.0,24.9,,21.0,,
2016-04-10 20:00:00,,3.7,23.0,28.7,,21.0,,
2016-04-10 21:00:00,,2.5,21.0,24.9,,19.0,,
2016-04-10 22:00:00,,2.5,26.8,30.6,,23.0,,
2016-04-10 23:00:00,,1.2,19.1,21.0,,25.0,,
2016-04-11 00:00:00,,1.2,19.1,21.0,,26.0,,
2016-04-11 01:00:00,,1.2,17.2,19.1,,31.0,,
2016-04-11 02:00:00,,1.2,21.0,22.9,,33.0,,
2016-04-11 03:00:00,,2.5,22.9,26.8,,38.0,,
2016-04-11 04:00:00,,2.5,30.6,34.4,,43.0,,
2016-04-11 05:00:00,,5.0,47.8,55.5,,41.0,,
2016-04-11 06:00:00,,10.0,44.0,59.3,,42.0,,
2016-04-11 07:00:00,,10.0,32.5,47.8,,44.0,,
2016-04-11 08:00:00,,7.5,24.9,36.3,,35.0,,
2016-04-11 09:00:00,,7.5,24.9,36.3,,37.0,,
2016-04-11 10:00:00,,7.5,24.9,36.3,,35.0,,
2016-04-11 11:00:00,,7.5,24.9,36.3,,35.0,,
2016-04-11 12:00:00,,11.2,38.2,55.5,,36.0,,
2016-04-11 13:00:00,,10.0,44.0,59.3,,39.0,,
2016-04-11 14:00:00,,20.0,55.5,86.1,,39.0,,
2016-04-11 15:00:00,,23.7,57.4,93.7,,37.0,,
2016-04-11 16:00:00,,29.9,65.0,110.9,,33.0,,
2016-04-11 17:00:00,,10.0,51.6,66.9,,34.0,,
2016-04-11 18:00:00,,11.2,57.4,74.6,,30.0,,
2016-04-11 19:00:00,,18.7,74.6,103.3,,32.0,,
2016-04-11 20:00:00,,16.2,74.6,99.5,,24.0,,
2016-04-11 21:00:00,,18.7,70.8,99.5,,24.0,,
2016-04-11 22:00:00,,13.7,65.0,86.1,,25.0,,
2016-04-11 23:00:00,,13.7,59.3,80.3,,25.0,,
2016-04-12 00:00:00,,8.7,44.0,57.4,,21.0,,
2016-04-12 01:00:00,,3.7,26.8,32.5,,17.0,,
2016-04-12 02:00:00,,6.2,23.0,32.5,,12.0,,
2016-04-12 03:00:00,,7.5,26.8,38.3,,10.0,,
2016-04-12 04:00:00,,6.2,30.6,40.2,,8.0,,
2016-04-12 05:00:00,,6.2,44.0,53.5,,13.0,,
2016-04-12 06:00:00,,13.7,59.3,80.3,,9.0,,
2016-04-12 07:00:00,,27.4,66.9,109.0,,8.0,,
2016-04-12 08:00:00,,28.7,55.5,99.5,,13.0,,
2016-04-12 09:00:00,,18.7,45.9,74.6,,14.0,,
2016-04-12 10:00:00,,12.5,34.4,53.5,,16.0,,
2016-04-12 11:00:00,,16.2,34.4,59.3,,15.0,,
2016-04-12 12:00:00,,11.2,32.5,49.7,,13.0,,
2016-04-12 13:00:00,,13.7,34.4,55.5,,10.0,,
2016-04-12 14:00:00,,10.0,28.7,44.0,,11.0,,
2016-04-12 15:00:00,,11.2,32.5,49.7,,11.0,,
2016-04-12 16:00:00,,15.0,40.2,63.1,,8.0,,
2016-04-12 17:00:00,,10.0,49.7,65.0,,11.0,,
2016-04-12 18:00:00,,5.0,53.6,61.2,,12.0,,
2016-04-12 19:00:00,,3.7,61.2,66.9,,15.0,,
2016-04-12 20:00:00,,11.2,66.9,84.2,,18.0,,
2016-04-12 21:00:00,,23.7,88.0,124.3,,17.0,,
