MeasurementDateGMT,Nitric Oxide (ug/m3),Nitrogen Dioxide (ug/m3),Oxides of Nitrogen (ug/m3),PM10 Particulate (ug/m3)
2016-04-08 00:00:00,1.6,33.5,36.0,8.0
2016-04-08 01:00:00,15.7,45.8,69.9,6.8
2016-04-08 02:00:00,4.4,30.9,37.6,5.9
2016-04-08 03:00:00,10.1,33.4,48.9,5.6
2016-04-08 04:00:00,7.6,39.6,51.2,6.2
2016-04-08 05:00:00,35.8,57.7,112.5,9.4
2016-04-08 06:00:00,,,,
2016-04-08 07:00:00,,,,
2016-04-08 08:00:00,58.1,54.7,143.7,
2016-04-08 09:00:00,30.5,37.8,84.6,17.2
2016-04-08 10:00:00,27.8,35.7,78.3,19.8
2016-04-08 11:00:00,23.6,31.7,67.8,14.7
2016-04-08 12:00:00,23.2,35.1,70.6,16.3
2016-04-08 13:00:00,35.8,49.1,104.0,20.7
2016-04-08 14:00:00,34.3,46.8,99.4,20.0
2016-04-08 15:00:00,28.7,42.4,86.5,19.9
2016-04-08 16:00:00,14.0,26.7,48.3,9.1
2016-04-08 17:00:00,18.5,33.0,61.4,7.8
2016-04-08 18:00:00,20.0,41.3,72.1,8.7
2016-04-08 19:00:00,34.4,60.9,113.7,15.5
2016-04-08 20:00:00,16.4,44.0,69.3,16.9
2016-04-08 21:00:00,6.9,26.2,36.8,14.4
2016-04-08 22:00:00,15.2,35.3,58.5,14.7
2016-04-08 23:00:00,12.5,30.1,49.3,16.8
2016-04-09 00:00:00,3.2,16.9,21.7,14.0
2016-04-09 01:00:00,4.5,15.0,21.9,14.4
2016-04-09 02:00:00,2.0,8.6,11.6,12.6
2016-04-09 03:00:00,1.7,6.2,8.9,9.3
2016-04-09 04:00:00,2.6,9.3,13.3,2.8
2016-04-09 05:00:00,6.1,14.4,23.7,3.0
2016-04-09 06:00:00,6.3,25.5,35.3,2.1
2016-04-09 07:00:00,19.8,39.0,69.4,5.8
2016-04-09 08:00:00,16.4,25.3,50.5,5.5
2016-04-09 09:00:00,9.1,21.1,35.0,10.4
2016-04-09 10:00:00,10.5,17.6,33.6,12.7
2016-04-09 11:00:00,22.3,24.9,59.0,17.6
2016-04-09 12:00:00,16.8,30.6,56.3,18.5
2016-04-09 13:00:00,33.9,37.3,89.3,18.4
2016-04-09 14:00:00,18.0,30.5,58.1,16.0
2016-04-09 15:00:00,14.1,22.3,43.9,11.7
2016-04-09 16:00:00,14.4,22.1,44.2,6.4
2016-04-09 17:00:00,5.9,18.7,27.8,6.1
2016-04-09 18:00:00,2.3,22.5,26.0,3.6
2016-04-09 19:00:00,4.0,36.9,43.1,6.0
2016-04-09 20:00:00,21.8,46.4,79.7,8.1
2016-04-09 21:00:00,30.5,57.6,104.5,10.8
2016-04-09 22:00:00,9.9,35.6,50.7,9.1
2016-04-09 23:00:00,33.1,58.2,109.0,13.6
2016-04-10 00:00:00,26.2,63.0,103.1,12.4
2016-04-10 01:00:00,18.1,51.6,79.3,10.1
2016-04-10 02:00:00,18.1,48.2,75.9,13.7
2016-04-10 03:00:00,15.5,49.4,73.1,13.2
2016-04-10 04:00:00,11.0,48.8,65.6,11.1
2016-04-10 05:00:00,16.3,58.5,83.5,10.5
2016-04-10 06:00:00,27.5,59.6,101.8,11.7
2016-04-10 07:00:00,9.0,29.5,43.4,12.7
2016-04-10 08:00:00,5.3,15.4,23.6,11.7
2016-04-10 09:00:00,6.7,15.5,25.7,10.6
2016-04-10 10:00:00,8.3,17.9,30.6,9.9
2016-04-10 11:00:00,5.9,15.2,24.3,9.0
2016-04-10 12:00:00,7.3,15.8,27.1,10.2
2016-04-10 13:00:00,6.8,16.2,26.6,6.0
2016-04-10 14:00:00,4.1,18.1,24.4,13.3
2016-04-10 15:00:00,3.9,18.6,24.6,12.4
2016-04-10 16:00:00,4.4,19.9,26.6,16.4
2016-04-10 17:00:00,4.5,27.0,33.8,14.2
2016-04-10 18:00:00,3.0,30.2,34.9,19.0
2016-04-10 19:00:00,0.7,27.0,28.0,18.1
2016-04-10 20:00:00,1.5,32.4,34.7,18.1
2016-04-10 21:00:00,1.6,30.9,33.4,18.2
2016-04-10 22:00:00,2.8,33.8,38.1,22.7
2016-04-10 23:00:00,1.5,33.9,36.3,25.5
2016-04-11 00:00:00,-0.1,28.6,28.5,24.6
2016-04-11 01:00:00,0.5,27.9,28.7,27.8
2016-04-11 02:00:00,0.3,28.5,29.0,30.7
2016-04-11 03:00:00,1.0,29.8,31.3,36.7
2016-04-11 04:00:00,1.7,38.0,40.7,36.5
2016-04-11 05:00:00,10.8,52.8,69.4,38.9
2016-04-11 06:00:00,24.6,63.5,101.2,39.1
2016-04-11 07:00:00,25.2,54.8,93.3,39.3
2016-04-11 08:00:00,19.6,40.2,70.1,39.2
2016-04-11 09:00:00,,,,53.1
2016-04-11 10:00:00,23.9,45.1,81.7,45.0
2016-04-11 11:00:00,24.9,44.3,82.4,48.8
2016-04-11 12:00:00,26.5,55.2,95.9,45.1
2016-04-11 13:00:00,46.3,64.2,135.2,63.1
2016-04-11 14:00:00,37.0,55.9,112.7,34.6
2016-04-11 15:00:00,28.9,44.8,89.1,27.9
2016-04-11 16:00:00,28.1,42.4,85.4,30.5
2016-04-11 17:00:00,45.0,50.9,120.0,30.8
2016-04-11 18:00:00,63.3,67.4,164.4,32.8
2016-04-11 19:00:00,13.3,61.6,81.9,26.7
2016-04-11 20:00:00,10.7,57.8,74.1,22.8
2016-04-11 21:00:00,6.1,40.8,50.1,19.6
2016-04-11 22:00:00,9.2,40.1,54.3,21.9
2016-04-11 23:00:00,5.8,27.8,36.7,20.7
2016-04-12 00:00:00,0.4,20.4,21.1,16.2
2016-04-12 01:00:00,0.8,14.2,15.4,12.5
2016-04-12 02:00:00,1.7,16.4,19.1,12.5
2016-04-12 03:00:00,2.7,16.5,20.5,11.3
2016-04-12 04:00:00,8.3,23.2,35.9,10.8
2016-04-12 05:00:00,14.3,36.3,58.2,10.4
2016-04-12 06:00:00,21.0,43.5,75.8,12.8
2016-04-12 07:00:00,21.8,47.2,80.7,12.6
2016-04-12 08:00:00,35.3,45.7,99.9,20.9
2016-04-12 09:00:00,17.5,30.4,57.2,16.5
2016-04-12 10:00:00,25.5,31.1,70.3,17.0
