MeasurementDateGMT,Nitric Oxide (ug/m3),Nitrogen Dioxide (ug/m3),Oxides of Nitrogen (ug/m3),PM10 Particulate (ug/m3)
2016-04-08 00:00:00,10.5,58.2,74.4,10.0
2016-04-08 01:00:00,3.1,51.9,56.6,7.0
2016-04-08 02:00:00,2.6,47.0,50.9,9.0
2016-04-08 03:00:00,3.7,49.8,55.5,8.0
2016-04-08 04:00:00,11.4,58.9,76.3,10.0
2016-04-08 05:00:00,60.1,80.3,172.4,15.0
2016-04-08 06:00:00,81.7,73.6,199.0,15.0
2016-04-08 07:00:00,85.2,75.9,206.5,27.0
2016-04-08 08:00:00,107.8,84.8,250.0,30.0
2016-04-08 09:00:00,95.6,74.8,221.4,34.0
2016-04-08 10:00:00,65.4,73.8,174.1,26.0
2016-04-08 11:00:00,65.9,85.7,186.8,28.0
2016-04-08 12:00:00,42.7,61.4,126.9,21.0
2016-04-08 13:00:00,71.9,67.0,177.2,25.0
2016-04-08 14:00:00,28.5,44.1,87.8,28.0
2016-04-08 15:00:00,8.0,33.9,46.3,13.0
2016-04-08 16:00:00,4.4,27.6,34.5,12.0
2016-04-08 17:00:00,5.1,32.2,39.9,12.0
2016-04-08 18:00:00,5.6,34.0,42.6,13.0
2016-04-08 19:00:00,3.9,43.5,49.4,14.0
2016-04-08 20:00:00,4.4,40.7,47.4,23.0
2016-04-08 21:00:00,2.9,35.6,40.0,20.0
2016-04-08 22:00:00,2.0,27.9,31.0,18.0
2016-04-08 23:00:00,3.0,26.8,31.4,14.0
2016-04-09 00:00:00,2.1,20.7,23.9,13.0
2016-04-09 01:00:00,0.9,13.9,15.3,10.0
2016-04-09 02:00:00,0.7,9.6,10.7,13.0
2016-04-09 03:00:00,0.8,6.4,7.6,7.0
2016-04-09 04:00:00,1.2,8.4,10.3,2.0
2016-04-09 05:00:00,1.4,9.3,11.4,1.0
2016-04-09 06:00:00,1.7,15.7,18.3,3.0
2016-04-09 07:00:00,6.9,30.0,40.6,5.0
2016-04-09 08:00:00,6.8,28.5,38.9,3.0
2016-04-09 09:00:00,6.8,21.1,31.5,8.0
2016-04-09 10:00:00,7.1,18.1,28.9,13.0
2016-04-09 11:00:00,8.7,21.5,34.9,11.0
2016-04-09 12:00:00,5.6,15.5,24.1,9.0
2016-04-09 13:00:00,5.1,28.6,36.5,15.0
2016-04-09 14:00:00,5.4,16.3,24.6,10.0
2016-04-09 15:00:00,4.0,16.9,23.1,6.0
2016-04-09 16:00:00,7.2,20.3,31.3,8.0
2016-04-09 17:00:00,4.1,18.0,24.3,8.0
2016-04-09 18:00:00,3.8,23.9,29.7,8.0
2016-04-09 19:00:00,3.2,24.3,29.2,5.0
2016-04-09 20:00:00,3.3,37.2,42.3,8.0
2016-04-09 21:00:00,4.8,43.9,51.3,9.0
2016-04-09 22:00:00,2.7,45.3,49.4,9.0
2016-04-09 23:00:00,3.4,47.3,52.5,14.0
2016-04-10 00:00:00,2.8,46.9,51.1,13.0
2016-04-10 01:00:00,9.4,47.1,61.4,15.0
2016-04-10 02:00:00,31.3,59.9,107.8,19.0
2016-04-10 03:00:00,4.4,34.4,41.2,13.0
2016-04-10 04:00:00,32.8,51.3,101.6,16.0
2016-04-10 05:00:00,46.2,72.5,143.4,19.0
2016-04-10 06:00:00,10.7,38.4,54.8,11.0
2016-04-10 07:00:00,14.7,35.9,58.5,11.0
2016-04-10 08:00:00,5.5,16.6,25.0,11.0
2016-04-10 09:00:00,15.4,27.1,50.6,14.0
2016-04-10 10:00:00,20.8,32.6,64.5,10.0
2016-04-10 11:00:00,23.3,46.2,81.9,13.0
2016-04-10 12:00:00,22.1,45.1,78.9,14.0
2016-04-10 13:00:00,23.1,38.7,74.1,16.0
2016-04-10 14:00:00,35.2,48.5,102.4,19.0
2016-04-10 15:00:00,24.9,35.0,73.3,24.0
2016-04-10 16:00:00,23.3,38.8,74.5,24.0
2016-04-10 17:00:00,28.6,55.9,99.7,25.0
2016-04-10 18:00:00,19.6,42.5,72.6,31.0
2016-04-10 19:00:00,15.4,45.6,69.3,26.0
2016-04-10 20:00:00,22.4,43.0,77.4,26.0
2016-04-10 21:00:00,19.8,45.1,75.4,25.0
2016-04-10 22:00:00,22.5,43.2,77.7,31.0
2016-04-10 23:00:00,13.9,46.6,68.0,34.0
2016-04-11 00:00:00,7.2,29.0,40.1,35.0
2016-04-11 01:00:00,9.5,33.3,47.9,42.0
2016-04-11 02:00:00,7.6,29.2,40.9,40.0
2016-04-11 03:00:00,11.4,43.4,60.9,51.0
2016-04-11 04:00:00,44.5,65.1,133.4,55.0
2016-04-11 05:00:00,113.5,120.1,294.2,58.0
2016-04-11 06:00:00,107.6,113.2,278.2,54.0
2016-04-11 07:00:00,78.6,89.8,210.4,54.0
2016-04-11 08:00:00,69.7,82.3,189.2,59.0
2016-04-11 09:00:00,100.4,107.2,261.1,54.0
