MeasurementDateGMT,Nitric Oxide (ug/m3),Nitrogen Dioxide (ug/m3),Oxides of Nitrogen (ug/m3),Ozone (ug/m3),PM10 Particulate (ug/m3),PM2.5 Particulate (ug/m3)
2016-04-08 00:00:00,1.4,47.7,49.8,11.4,7.3,
2016-04-08 01:00:00,0.2,37.9,38.2,25.5,5.4,
2016-04-08 02:00:00,0.3,35.7,36.2,25.9,7.3,
2016-04-08 03:00:00,0.2,40.8,41.1,21.1,5.8,
2016-04-08 04:00:00,0.5,42.3,43.0,18.0,6.4,
2016-04-08 05:00:00,7.4,54.3,65.7,6.8,10.3,
2016-04-08 06:00:00,38.9,65.6,125.3,3.0,17.1,
2016-04-08 07:00:00,63.1,68.5,165.4,3.4,26.3,
2016-04-08 08:00:00,59.9,66.2,158.0,6.2,29.7,
2016-04-08 09:00:00,32.8,59.2,109.4,10.6,26.4,
2016-04-08 10:00:00,12.3,41.8,60.7,27.5,21.5,
2016-04-08 11:00:00,3.8,36.6,42.5,35.3,22.0,
2016-04-08 12:00:00,8.3,40.9,53.6,33.4,19.5,
2016-04-08 13:00:00,6.7,38.6,48.8,38.0,23.2,
2016-04-08 14:00:00,8.3,42.1,54.8,37.1,30.6,
2016-04-08 15:00:00,6.2,36.9,46.5,41.4,44.3,
2016-04-08 16:00:00,2.8,26.6,30.9,49.3,15.3,
2016-04-08 17:00:00,1.2,22.0,23.8,53.0,11.5,
2016-04-08 18:00:00,3.7,33.5,39.1,40.5,12.9,
2016-04-08 19:00:00,6.3,46.3,55.9,25.9,19.2,
2016-04-08 20:00:00,7.9,50.4,62.5,22.9,23.0,
2016-04-08 21:00:00,1.9,36.5,39.5,35.3,16.0,
2016-04-08 22:00:00,5.0,40.6,48.3,34.3,14.3,
2016-04-08 23:00:00,4.9,40.0,47.6,30.8,19.0,
2016-04-09 00:00:00,3.3,31.4,36.5,33.5,19.0,
2016-04-09 01:00:00,1.2,19.7,21.5,40.9,14.9,
2016-04-09 02:00:00,1.6,16.0,18.5,47.4,15.1,
2016-04-09 03:00:00,1.7,11.4,14.1,54.8,14.4,
2016-04-09 04:00:00,0.8,9.9,11.1,53.2,5.5,
2016-04-09 05:00:00,1.0,11.2,12.8,51.7,2.6,
2016-04-09 06:00:00,2.2,18.7,22.1,40.7,4.0,
2016-04-09 07:00:00,1.3,25.4,27.5,38.1,5.1,
2016-04-09 08:00:00,8.9,41.3,54.9,26.3,6.0,
2016-04-09 09:00:00,2.7,22.7,26.8,44.5,6.6,
2016-04-09 10:00:00,3.0,16.1,20.8,48.1,12.4,
2016-04-09 11:00:00,1.5,11.1,13.4,55.2,12.7,
2016-04-09 12:00:00,2.0,12.4,15.5,54.3,13.8,
2016-04-09 13:00:00,1.2,14.8,16.6,55.4,16.4,
2016-04-09 14:00:00,3.1,19.5,24.3,53.6,13.8,
2016-04-09 15:00:00,4.9,22.5,30.1,51.2,6.7,
2016-04-09 16:00:00,3.1,18.7,23.4,55.0,2.4,
2016-04-09 17:00:00,2.6,23.3,27.3,58.0,5.3,
2016-04-09 18:00:00,0.1,17.2,17.4,62.8,12.7,
2016-04-09 19:00:00,0.0,18.2,18.3,59.4,3.1,
2016-04-09 20:00:00,-0.6,23.1,22.2,51.9,6.2,
2016-04-09 21:00:00,0.5,30.1,30.8,42.1,6.3,
2016-04-09 22:00:00,0.1,30.5,30.6,42.8,10.2,
2016-04-09 23:00:00,6.7,47.1,57.4,28.4,10.7,
2016-04-10 00:00:00,3.0,46.9,51.5,29.3,11.4,
2016-04-10 01:00:00,0.9,40.4,41.8,32.9,11.2,
2016-04-10 02:00:00,8.3,54.2,66.9,18.9,14.5,
2016-04-10 03:00:00,33.1,66.0,116.7,7.2,17.4,
2016-04-10 04:00:00,19.6,58.6,88.7,15.1,11.8,
2016-04-10 05:00:00,21.7,60.6,93.9,12.2,11.6,
2016-04-10 06:00:00,12.6,50.2,69.6,21.4,10.5,
2016-04-10 07:00:00,6.0,35.0,44.2,40.0,12.2,
2016-04-10 08:00:00,3.7,20.6,26.3,56.9,10.2,
2016-04-10 09:00:00,13.2,32.9,53.1,52.1,17.9,
2016-04-10 10:00:00,6.5,22.5,32.5,55.7,28.0,
2016-04-10 11:00:00,12.4,30.7,49.6,54.3,34.0,
2016-04-10 12:00:00,5.9,23.8,32.7,60.7,19.8,
2016-04-10 13:00:00,6.0,26.3,35.5,58.7,44.7,
2016-04-10 14:00:00,5.2,26.0,34.0,62.9,43.2,
2016-04-10 15:00:00,4.5,22.9,29.8,66.8,38.8,
2016-04-10 16:00:00,4.8,29.2,36.5,61.7,36.6,
2016-04-10 17:00:00,5.6,32.7,41.3,55.9,25.2,
2016-04-10 18:00:00,3.4,30.6,35.8,61.8,25.5,
2016-04-10 19:00:00,3.0,32.3,36.8,57.0,23.5,
2016-04-10 20:00:00,4.1,36.7,42.9,48.0,23.6,
2016-04-10 21:00:00,3.9,39.0,45.1,41.0,23.8,
