MeasurementDateGMT,Nitric Oxide (ug/m3),Nitrogen Dioxide (ug/m3),Oxides of Nitrogen (ug/m3),PM10 Particulate (ug/m3)
2016-04-08 00:00:00,3.6,27.0,32.5,17.8
2016-04-08 01:00:00,5.8,26.1,35.0,10.0
2016-04-08 02:00:00,8.8,24.8,38.3,9.0
2016-04-08 03:00:00,17.3,38.4,65.0,12.6
2016-04-08 04:00:00,42.9,54.8,120.6,16.6
2016-04-08 05:00:00,129.0,91.4,289.1,21.0
2016-04-08 06:00:00,164.6,109.3,361.7,25.8
2016-04-08 07:00:00,90.4,77.2,215.8,32.8
2016-04-08 08:00:00,78.9,75.7,196.7,43.1
2016-04-08 09:00:00,77.1,79.0,197.2,43.6
2016-04-08 10:00:00,52.4,62.5,142.8,52.7
2016-04-08 11:00:00,72.9,84.5,196.2,22.1
2016-04-08 12:00:00,96.3,82.4,230.0,31.6
2016-04-08 13:00:00,92.5,90.3,232.1,26.5
2016-04-08 14:00:00,101.0,99.6,254.5,38.7
2016-04-08 15:00:00,85.1,90.2,220.7,13.1
2016-04-08 16:00:00,62.3,62.9,158.5,35.0
2016-04-08 17:00:00,47.7,60.0,133.2,48.9
2016-04-08 18:00:00,96.3,100.5,248.2,34.2
2016-04-08 19:00:00,94.2,99.3,243.7,36.0
2016-04-08 20:00:00,54.3,65.7,149.0,35.9
2016-04-08 21:00:00,37.1,59.2,116.2,37.9
2016-04-08 22:00:00,36.8,52.2,108.5,16.7
2016-04-08 23:00:00,36.0,55.4,110.5,27.6
2016-04-09 00:00:00,24.3,38.2,75.4,22.5
2016-04-09 01:00:00,7.0,16.7,27.3,18.6
2016-04-09 02:00:00,5.5,16.1,24.6,19.7
2016-04-09 03:00:00,6.6,12.2,22.3,8.9
2016-04-09 04:00:00,9.9,17.1,32.3,5.9
2016-04-09 05:00:00,30.1,32.3,78.4,16.9
2016-04-09 06:00:00,26.9,37.5,78.8,21.8
2016-04-09 07:00:00,76.1,78.5,195.2,13.3
2016-04-09 08:00:00,67.1,68.5,171.4,
2016-04-09 09:00:00,57.1,67.3,154.8,16.6
