MeasurementDateGMT,Benzene (ug/m3),Carbon Monoxide (mg/m3),Nitric Oxide (ug/m3),Nitrogen Dioxide (ug/m3),Oxides of Nitrogen (ug/m3)
2016-04-08 00:00:00,,,51.2,62.6,141.1
2016-04-08 01:00:00,,,40.4,61.0,123.0
2016-04-08 02:00:00,,,24.6,52.8,90.5
2016-04-08 03:00:00,,,26.2,55.4,95.5
2016-04-08 04:00:00,,,33.9,55.3,107.2
2016-04-08 05:00:00,,,65.4,73.1,173.4
2016-04-08 06:00:00,,,123.8,81.1,270.9
2016-04-08 07:00:00,,,95.0,82.0,227.7
2016-04-08 08:00:00,,,95.3,86.7,232.8
2016-04-08 09:00:00,,,103.1,79.6,237.7
2016-04-08 10:00:00,,,,,
2016-04-08 11:00:00,,,54.6,70.1,153.8
2016-04-08 12:00:00,,,40.5,64.9,127.1
2016-04-08 13:00:00,,,56.1,76.0,162.1
2016-04-08 14:00:00,,,41.5,63.0,126.7
2016-04-08 15:00:00,,,22.0,48.4,82.0
2016-04-08 16:00:00,,,20.9,45.6,77.8
2016-04-08 17:00:00,,,13.0,39.6,59.6
2016-04-08 18:00:00,,,8.2,33.7,46.4
2016-04-08 19:00:00,,,8.1,41.5,53.9
2016-04-08 20:00:00,,,11.0,43.1,60.0
2016-04-08 21:00:00,,,17.6,40.7,67.6
2016-04-08 22:00:00,,,5.9,35.4,44.5
2016-04-08 23:00:00,,,3.7,25.5,31.2
2016-04-09 00:00:00,,,3.7,20.7,26.4
2016-04-09 01:00:00,,,2.9,17.0,21.4
2016-04-09 02:00:00,,,2.3,12.3,15.8
2016-04-09 03:00:00,,,1.9,10.5,13.4
2016-04-09 04:00:00,,,1.7,14.2,16.9
2016-04-09 05:00:00,,,1.6,15.6,18.1
2016-04-09 06:00:00,,,3.3,19.5,24.6
2016-04-09 07:00:00,,,31.0,54.6,102.1
2016-04-09 08:00:00,,,12.7,39.8,59.2
2016-04-09 09:00:00,,,18.8,34.8,63.6
2016-04-09 10:00:00,,,26.5,33.9,74.6
2016-04-09 11:00:00,,,19.8,38.9,69.3
2016-04-09 12:00:00,,,18.2,29.9,57.8
2016-04-09 13:00:00,,,17.6,31.1,58.0
2016-04-09 14:00:00,,,7.7,20.7,32.5
2016-04-09 15:00:00,,,7.4,16.0,27.4
2016-04-09 16:00:00,,,9.9,18.0,33.1
2016-04-09 17:00:00,,,6.7,18.7,29.0
2016-04-09 18:00:00,,,20.4,45.1,76.4
2016-04-09 19:00:00,,,17.0,48.8,74.9
2016-04-09 20:00:00,,,20.7,49.4,81.1
2016-04-09 21:00:00,,,8.2,38.3,50.9
2016-04-09 22:00:00,,,10.9,40.3,57.0
2016-04-09 23:00:00,,,19.0,46.0,75.1
2016-04-10 00:00:00,,,9.0,43.8,57.5
2016-04-10 01:00:00,,,16.2,58.5,83.3
2016-04-10 02:00:00,,,13.4,53.4,73.9
2016-04-10 03:00:00,,,27.1,62.0,103.6
2016-04-10 04:00:00,,,32.7,70.3,120.4
2016-04-10 05:00:00,,,22.4,61.1,95.4
2016-04-10 06:00:00,,,40.3,67.3,129.0
2016-04-10 07:00:00,,,16.8,48.4,74.3
2016-04-10 08:00:00,,,5.6,22.1,30.7
2016-04-10 09:00:00,,,5.8,14.7,23.6
2016-04-10 10:00:00,,,6.1,13.9,23.3
2016-04-10 11:00:00,,,6.0,15.1,24.3
2016-04-10 12:00:00,,,5.7,14.1,22.9
2016-04-10 13:00:00,,,10.2,18.9,34.6
2016-04-10 14:00:00,,,10.0,21.0,36.4
2016-04-10 15:00:00,,,12.9,26.9,46.6
2016-04-10 16:00:00,,,9.3,22.1,36.4
2016-04-10 17:00:00,,,9.6,26.4,41.0
2016-04-10 18:00:00,,,14.2,39.2,61.0
2016-04-10 19:00:00,,,17.8,43.2,70.5
2016-04-10 20:00:00,,,11.9,38.9,57.1
2016-04-10 21:00:00,,,18.1,41.0,68.8
2016-04-10 22:00:00,,,18.6,45.6,74.1
2016-04-10 23:00:00,,,11.7,39.6,57.5
2016-04-11 00:00:00,,,14.8,34.7,57.3
2016-04-11 01:00:00,,,8.5,30.5,43.5
2016-04-11 02:00:00,,,8.7,28.9,42.3
2016-04-11 03:00:00,,,7.7,31.0,42.8
2016-04-11 04:00:00,,,12.6,34.4,53.7
2016-04-11 05:00:00,,,36.8,54.7,111.1
2016-04-11 06:00:00,,,48.3,63.5,137.5
2016-04-11 07:00:00,,,46.0,56.2,126.8
2016-04-11 08:00:00,,,34.9,53.0,106.5
2016-04-11 09:00:00,,,24.7,39.2,77.1
2016-04-11 10:00:00,,,25.6,43.7,82.9
2016-04-11 11:00:00,,,39.0,40.1,99.9
2016-04-11 12:00:00,,,50.6,58.9,136.5
2016-04-11 13:00:00,,,38.7,60.7,120.1
2016-04-11 14:00:00,,,26.7,55.0,96.0
2016-04-11 15:00:00,,,37.5,55.3,112.7
2016-04-11 16:00:00,,,26.1,47.4,87.5
2016-04-11 17:00:00,,,39.7,53.4,114.3
2016-04-11 18:00:00,,,30.5,53.4,100.2
2016-04-11 19:00:00,,,25.7,54.0,93.4
2016-04-11 20:00:00,,,18.6,58.4,86.9
2016-04-11 21:00:00,,,19.0,57.1,86.3
2016-04-11 22:00:00,,,29.4,64.8,109.9
2016-04-11 23:00:00,,,8.0,47.1,59.4
2016-04-12 00:00:00,,,15.1,41.0,64.2
2016-04-12 01:00:00,,,4.7,23.7,30.9
2016-04-12 02:00:00,,,4.6,12.8,19.8
2016-04-12 03:00:00,,,6.1,14.6,24.0
2016-04-12 04:00:00,,,6.2,17.4,26.9
2016-04-12 05:00:00,,,9.1,27.3,41.3
2016-04-12 06:00:00,,,17.6,40.7,67.7
2016-04-12 07:00:00,,,35.6,46.3,100.8
2016-04-12 08:00:00,,,42.9,43.4,109.1
2016-04-12 09:00:00,,,23.4,50.5,86.3
2016-04-12 10:00:00,,,,,
2016-04-12 11:00:00,,,,,
2016-04-12 12:00:00,,,18.9,35.1,64.1
2016-04-12 13:00:00,,,11.5,30.5,48.1
2016-04-12 14:00:00,,,17.2,27.0,53.4
2016-04-12 15:00:00,,,11.5,31.8,49.4
2016-04-12 16:00:00,,,25.9,43.2,83.0
2016-04-12 17:00:00,,,54.4,80.5,164.0
2016-04-12 18:00:00,,,50.4,92.2,169.4
2016-04-12 19:00:00,,,57.4,96.6,184.6
2016-04-12 20:00:00,,,31.8,77.1,125.9
2016-04-12 21:00:00,,,56.0,105.3,191.1
2016-04-12 22:00:00,,,62.7,95.0,191.2
2016-04-12 23:00:00,,,32.9,100.2,150.7
2016-04-13 00:00:00,,,42.7,96.9,162.4
2016-04-13 01:00:00,,,43.6,92.3,159.2
2016-04-13 02:00:00,,,30.0,85.4,131.4
2016-04-13 03:00:00,,,52.8,82.2,163.1
2016-04-13 04:00:00,,,119.2,89.9,272.7
2016-04-13 05:00:00,,,196.8,100.4,402.1
2016-04-13 06:00:00,,,157.3,97.1,338.2
2016-04-13 07:00:00,,,183.2,118.7,399.6
2016-04-13 08:00:00,,,188.7,133.4,422.7
2016-04-13 09:00:00,,,118.2,104.8,286.0
2016-04-13 10:00:00,,,80.6,94.3,217.8
2016-04-13 11:00:00,,,61.3,76.0,170.0
2016-04-13 12:00:00,,,49.2,59.1,134.5
2016-04-13 13:00:00,,,40.1,63.6,125.1
2016-04-13 14:00:00,,,35.7,61.5,116.2
2016-04-13 15:00:00,,,53.4,71.7,153.6
2016-04-13 16:00:00,,,77.6,98.3,217.2
2016-04-13 17:00:00,,,54.0,84.1,166.9
2016-04-13 18:00:00,,,40.0,83.2,144.4
2016-04-13 19:00:00,,,31.6,76.6,125.1
2016-04-13 20:00:00,,,18.5,63.9,92.3
2016-04-13 21:00:00,,,8.1,48.0,60.4
2016-04-13 22:00:00,,,6.7,49.5,59.7
2016-04-13 23:00:00,,,57.0,80.7,168.1
2016-04-14 00:00:00,,,,,
2016-04-14 01:00:00,,,10.7,63.6,80.0
2016-04-14 02:00:00,,,12.6,47.8,67.2
2016-04-14 03:00:00,,,4.3,32.7,39.4
2016-04-14 04:00:00,,,4.5,40.0,46.8
2016-04-14 05:00:00,,,24.7,65.9,103.7
2016-04-14 06:00:00,,,86.1,82.9,215.0
2016-04-14 07:00:00,,,80.3,104.9,228.0
2016-04-14 08:00:00,,,90.1,99.9,238.0
2016-04-14 09:00:00,,,73.8,99.4,212.6
2016-04-14 10:00:00,,,35.6,68.5,123.1
2016-04-14 11:00:00,,,15.2,42.5,65.7
2016-04-14 12:00:00,,,11.1,35.5,52.5
2016-04-14 13:00:00,,,8.5,28.8,41.8
