MeasurementDateGMT,Nitric Oxide (ug/m3),Nitrogen Dioxide (ug/m3),Oxides of Nitrogen (ug/m3),Ozone (ug/m3),PM10 Particulate (ug/m3),PM2.5 Particulate (ug/m3)
2016-04-08 00:00:00,,,,13.5,29.5,
2016-04-08 01:00:00,,,,22.0,16.7,
2016-04-08 02:00:00,,,,18.5,7.9,
2016-04-08 03:00:00,,,,15.1,8.3,
2016-04-08 04:00:00,,,,8.0,12.1,
2016-04-08 05:00:00,,,,5.1,22.4,
2016-04-08 06:00:00,,,,4.4,44.2,
2016-04-08 07:00:00,,,,6.6,31.7,
2016-04-08 08:00:00,,,,7.8,32.1,
2016-04-08 09:00:00,,,,11.0,37.3,
2016-04-08 10:00:00,,,,22.7,32.1,
2016-04-08 11:00:00,,,,23.9,28.1,
2016-04-08 12:00:00,,,,16.4,32.6,
2016-04-08 13:00:00,,,,23.5,20.2,
2016-04-08 14:00:00,,,,25.1,28.3,
2016-04-08 15:00:00,,,,31.4,19.8,
2016-04-08 16:00:00,,,,21.6,26.2,
2016-04-08 17:00:00,,,,25.0,19.0,
2016-04-08 18:00:00,,,,22.6,17.0,
2016-04-08 19:00:00,,,,20.1,19.9,
2016-04-08 20:00:00,,,,15.5,26.4,
2016-04-08 21:00:00,,,,27.6,24.5,
2016-04-08 22:00:00,,,,27.9,18.5,
2016-04-08 23:00:00,,,,22.5,15.3,
2016-04-09 00:00:00,,,,30.1,12.9,
2016-04-09 01:00:00,,,,33.0,10.9,
2016-04-09 02:00:00,,,,38.9,7.1,
2016-04-09 03:00:00,,,,45.7,8.4,
2016-04-09 04:00:00,,,,43.6,5.8,
2016-04-09 05:00:00,,,,31.8,4.3,
2016-04-09 06:00:00,,,,24.7,9.7,
2016-04-09 07:00:00,,,,24.1,9.4,
2016-04-09 08:00:00,,,,25.0,16.4,
2016-04-09 09:00:00,,,,39.9,8.8,
2016-04-09 10:00:00,,,,41.8,15.8,
2016-04-09 11:00:00,,,,40.8,19.3,
2016-04-09 12:00:00,,,,40.0,20.4,
2016-04-09 13:00:00,,,,42.4,7.2,
2016-04-09 14:00:00,,,,43.9,17.5,
2016-04-09 15:00:00,,,,42.0,7.1,
2016-04-09 16:00:00,,,,39.7,12.5,
2016-04-09 17:00:00,,,,39.1,7.6,
2016-04-09 18:00:00,,,,48.1,7.3,
2016-04-09 19:00:00,,,,48.4,11.4,
2016-04-09 20:00:00,,,,45.6,7.6,
2016-04-09 21:00:00,,,,36.5,8.9,
2016-04-09 22:00:00,,,,34.3,12.4,
2016-04-09 23:00:00,,,,22.8,12.9,
2016-04-10 00:00:00,,,,15.7,12.1,
2016-04-10 01:00:00,,,,12.8,16.0,
2016-04-10 02:00:00,,,,9.7,19.7,
2016-04-10 03:00:00,,,,13.9,15.7,
2016-04-10 04:00:00,,,,5.0,12.4,
2016-04-10 05:00:00,,,,14.9,9.3,
2016-04-10 06:00:00,,,,25.7,11.6,
2016-04-10 07:00:00,,,,39.5,7.7,
2016-04-10 08:00:00,,,,55.6,12.4,
2016-04-10 09:00:00,,,,64.0,7.5,
2016-04-10 10:00:00,,,,68.3,10.4,
2016-04-10 11:00:00,,,,71.8,9.2,
2016-04-10 12:00:00,,,,65.9,7.2,
2016-04-10 13:00:00,,,,77.6,9.2,
2016-04-10 14:00:00,,,,80.8,7.4,
2016-04-10 15:00:00,,,,78.1,20.0,
2016-04-10 16:00:00,,,,76.3,14.4,
2016-04-10 17:00:00,,,,73.2,10.8,
2016-04-10 18:00:00,,,,71.3,17.9,
2016-04-10 19:00:00,,,,66.7,27.4,
2016-04-10 20:00:00,,,,57.7,19.2,
2016-04-10 21:00:00,,,,55.3,24.0,
2016-04-10 22:00:00,,,,46.8,18.0,
2016-04-10 23:00:00,,,,48.1,24.0,
2016-04-11 00:00:00,,,,42.5,28.3,
2016-04-11 01:00:00,,,,42.5,21.4,
2016-04-11 02:00:00,,,,38.2,34.6,
2016-04-11 03:00:00,,,,30.2,41.0,
2016-04-11 04:00:00,,,,21.1,41.2,
2016-04-11 05:00:00,,,,8.7,40.8,
2016-04-11 06:00:00,,,,9.1,40.6,
2016-04-11 07:00:00,,,,19.0,37.0,
2016-04-11 08:00:00,,,,29.2,35.4,
2016-04-11 09:00:00,,,,33.4,34.0,
2016-04-11 10:00:00,,,,33.4,35.9,
2016-04-11 11:00:00,,,,32.5,34.0,
2016-04-11 12:00:00,,,,28.8,38.6,
2016-04-11 13:00:00,,,,20.6,37.4,
2016-04-11 14:00:00,,,,8.5,41.0,
2016-04-11 15:00:00,,,,7.1,43.9,
2016-04-11 16:00:00,,,,6.3,42.9,
2016-04-11 17:00:00,,,,7.1,36.5,
2016-04-11 18:00:00,,,,12.6,29.5,
2016-04-11 19:00:00,,,,13.1,29.0,
2016-04-11 20:00:00,,,,11.5,23.5,
2016-04-11 21:00:00,,,,12.9,24.9,
2016-04-11 22:00:00,,,,20.1,22.2,
2016-04-11 23:00:00,,,,29.7,20.2,
2016-04-12 00:00:00,,,,32.9,15.8,
2016-04-12 01:00:00,,,,46.8,7.9,
2016-04-12 02:00:00,,,,50.3,13.2,
2016-04-12 03:00:00,,,,44.4,10.0,
2016-04-12 04:00:00,,,,32.5,10.6,
2016-04-12 05:00:00,,,,25.4,14.2,
2016-04-12 06:00:00,,,,15.0,21.6,
2016-04-12 07:00:00,,,,13.8,15.1,
2016-04-12 08:00:00,,,,18.7,22.0,
2016-04-12 09:00:00,,,,27.4,20.1,
2016-04-12 10:00:00,,,,34.9,18.7,
2016-04-12 11:00:00,,,,37.7,14.6,
2016-04-12 12:00:00,,,,45.4,22.6,
2016-04-12 13:00:00,,,,45.2,15.1,
2016-04-12 14:00:00,,,,51.3,10.1,
2016-04-12 15:00:00,,,,38.3,8.2,
2016-04-12 16:00:00,,,,37.5,14.0,
2016-04-12 17:00:00,,,,40.6,15.3,
2016-04-12 18:00:00,,,,22.4,14.6,
2016-04-12 19:00:00,,,,24.8,10.3,
2016-04-12 20:00:00,,,,8.5,19.8,
2016-04-12 21:00:00,,,,2.4,25.6,
2016-04-12 22:00:00,,,,1.7,28.3,
2016-04-12 23:00:00,,,,2.2,29.0,
2016-04-13 00:00:00,,,,17.1,28.9,
2016-04-13 01:00:00,,,,19.6,17.4,
2016-04-13 02:00:00,,,,4.6,17.7,
2016-04-13 03:00:00,,,,10.4,25.7,
2016-04-13 04:00:00,,,,2.8,30.7,
2016-04-13 05:00:00,,,,1.9,57.4,
2016-04-13 06:00:00,,,,2.7,62.7,
2016-04-13 07:00:00,,,,4.1,50.0,
2016-04-13 08:00:00,,,,7.3,36.2,
2016-04-13 09:00:00,,,,8.3,43.1,
2016-04-13 10:00:00,,,,14.2,30.5,
2016-04-13 11:00:00,,,,25.9,19.3,
2016-04-13 12:00:00,,,,37.0,20.9,
2016-04-13 13:00:00,,,,37.5,20.0,
2016-04-13 14:00:00,,,,36.8,,
2016-04-13 15:00:00,,,,26.0,22.1,
2016-04-13 16:00:00,,,,27.1,22.9,
2016-04-13 17:00:00,,,,40.3,16.6,
2016-04-13 18:00:00,,,,35.1,13.5,
2016-04-13 19:00:00,,,,33.7,14.3,
2016-04-13 20:00:00,,,,20.8,21.8,
2016-04-13 21:00:00,,,,26.8,21.5,
2016-04-13 22:00:00,,,,32.2,12.4,
2016-04-13 23:00:00,,,,19.4,18.1,
2016-04-14 00:00:00,,,,15.1,20.6,
2016-04-14 01:00:00,,,,12.5,20.2,
2016-04-14 02:00:00,,,,32.5,23.8,
2016-04-14 03:00:00,,,,32.4,46.4,
2016-04-14 04:00:00,,,,14.7,26.3,
2016-04-14 05:00:00,,,,8.7,44.9,
2016-04-14 06:00:00,,,,5.6,41.1,
2016-04-14 07:00:00,,,,6.8,24.9,
2016-04-14 08:00:00,,,,5.2,46.3,
2016-04-14 09:00:00,,,,17.0,33.3,
2016-04-14 10:00:00,,,,41.9,18.4,
