MeasurementDateGMT,Nitric Oxide (ug/m3),Nitrogen Dioxide (ug/m3),Oxides of Nitrogen (ug/m3),PM10 Particulate (ug/m3)
2016-04-08 00:00:00,121.3,104.1,290.0,12.1
2016-04-08 01:00:00,65.6,76.4,176.9,12.3
2016-04-08 02:00:00,64.8,70.0,169.4,8.5
2016-04-08 03:00:00,85.8,73.1,204.7,10.4
2016-04-08 04:00:00,161.1,108.7,355.6,16.0
2016-04-08 05:00:00,392.5,205.3,807.2,25.1
2016-04-08 06:00:00,516.4,229.2,1020.9,32.3
2016-04-08 07:00:00,343.8,214.2,741.3,36.5
2016-04-08 08:00:00,355.7,243.5,788.9,39.4
2016-04-08 09:00:00,337.7,249.2,767.0,35.9
2016-04-08 10:00:00,278.5,221.6,648.7,31.7
2016-04-08 11:00:00,243.3,263.0,636.0,28.4
2016-04-08 12:00:00,282.1,250.9,683.5,32.0
2016-04-08 13:00:00,303.2,308.2,773.1,26.9
2016-04-08 14:00:00,245.9,208.5,585.5,26.2
2016-04-08 15:00:00,258.3,219.6,615.6,25.9
2016-04-08 16:00:00,264.8,231.7,637.7,28.9
2016-04-08 17:00:00,259.6,233.1,631.2,24.9
2016-04-08 18:00:00,247.9,244.6,624.8,22.3
2016-04-08 19:00:00,159.9,175.3,420.4,27.9
2016-04-08 20:00:00,114.5,139.3,314.8,52.5
2016-04-08 21:00:00,144.4,143.1,364.5,35.3
2016-04-08 22:00:00,166.4,152.4,407.5,27.4
2016-04-08 23:00:00,73.3,85.9,198.2,22.1
2016-04-09 00:00:00,30.2,48.4,94.7,18.5
2016-04-09 01:00:00,26.1,42.9,82.9,17.4
2016-04-09 02:00:00,24.1,39.9,76.9,13.9
2016-04-09 03:00:00,15.0,24.1,47.2,11.8
2016-04-09 04:00:00,19.8,28.0,58.4,4.4
2016-04-09 05:00:00,24.5,41.0,78.6,4.2
2016-04-09 06:00:00,100.3,114.2,267.9,7.3
2016-04-09 07:00:00,185.2,146.3,430.2,12.6
2016-04-09 08:00:00,202.8,208.2,519.2,13.0
2016-04-09 09:00:00,292.6,247.5,696.2,18.0
2016-04-09 10:00:00,284.5,231.2,667.4,22.0
2016-04-09 11:00:00,252.8,236.1,623.8,23.0
2016-04-09 12:00:00,246.0,199.1,576.3,26.3
2016-04-09 13:00:00,194.3,189.5,487.4,27.1
2016-04-09 14:00:00,116.5,151.0,329.6,20.7
2016-04-09 15:00:00,110.1,127.6,296.4,15.0
2016-04-09 16:00:00,135.7,171.1,379.2,11.8
2016-04-09 17:00:00,155.8,172.5,411.3,15.4
2016-04-09 18:00:00,137.8,171.4,382.7,15.7
2016-04-09 19:00:00,148.0,143.1,370.0,18.9
2016-04-09 20:00:00,148.2,160.7,387.9,24.9
