MeasurementDateGMT,Carbon Monoxide (mg/m3),Nitric Oxide (ug/m3),Nitrogen Dioxide (ug/m3),Oxides of Nitrogen (ug/m3),PM10 Particulate (ug/m3)
2016-04-08 00:00:00,,1.7,33.8,36.5,7.0
2016-04-08 01:00:00,,1.5,30.5,32.7,6.0
2016-04-08 02:00:00,,0.9,25.9,27.3,4.0
2016-04-08 03:00:00,,1.5,27.1,29.4,4.0
2016-04-08 04:00:00,,1.4,30.1,32.3,6.0
2016-04-08 05:00:00,,4.5,40.4,47.3,7.0
2016-04-08 06:00:00,,16.6,58.2,83.8,9.0
2016-04-08 07:00:00,,23.3,56.6,92.3,14.0
2016-04-08 08:00:00,,26.6,59.4,100.1,20.0
2016-04-08 09:00:00,,9.5,31.8,46.2,19.0
2016-04-08 10:00:00,,7.0,30.6,41.3,19.0
2016-04-08 11:00:00,,5.8,29.9,38.8,15.0
2016-04-08 12:00:00,,7.5,36.5,48.0,16.0
2016-04-08 13:00:00,,7.5,36.5,48.0,18.0
2016-04-08 14:00:00,,8.3,42.8,55.6,14.0
2016-04-08 15:00:00,,10.5,51.1,67.2,14.0
2016-04-08 16:00:00,,6.4,34.5,44.3,10.0
2016-04-08 17:00:00,,20.8,73.2,105.1,11.0
2016-04-08 18:00:00,,26.6,95.5,136.4,12.0
2016-04-08 19:00:00,,21.6,86.6,119.8,19.0
2016-04-08 20:00:00,,16.6,75.1,100.6,22.0
2016-04-08 21:00:00,,16.9,73.0,98.9,17.0
2016-04-08 22:00:00,,17.5,72.1,98.9,18.0
2016-04-08 23:00:00,,12.3,51.8,70.7,17.0
2016-04-09 00:00:00,,5.5,31.2,39.7,16.0
2016-04-09 01:00:00,,4.4,21.6,28.4,15.0
2016-04-09 02:00:00,,2.5,15.0,18.8,13.0
2016-04-09 03:00:00,,2.2,9.2,12.5,11.0
2016-04-09 04:00:00,,4.1,16.2,22.5,4.0
2016-04-09 05:00:00,,5.5,26.6,35.1,3.0
2016-04-09 06:00:00,,6.6,34.2,44.3,4.0
2016-04-09 07:00:00,,6.1,40.9,50.2,5.0
2016-04-09 08:00:00,,7.7,37.5,49.3,6.0
2016-04-09 09:00:00,,7.7,29.5,41.3,12.0
2016-04-09 10:00:00,,6.3,21.6,31.3,10.0
2016-04-09 11:00:00,,6.3,24.1,33.8,14.0
2016-04-09 12:00:00,,4.7,23.8,30.9,15.0
2016-04-09 13:00:00,,18.9,69.6,98.5,16.0
2016-04-09 14:00:00,,16.4,60.1,85.1,13.0
2016-04-09 15:00:00,,15.2,61.0,84.4,7.0
2016-04-09 16:00:00,,15.5,61.0,84.8,6.0
2016-04-09 17:00:00,,12.4,59.5,78.6,9.0
2016-04-09 18:00:00,,3.0,21.4,26.0,6.0
2016-04-09 19:00:00,,2.1,21.5,24.7,9.0
2016-04-09 20:00:00,,5.7,50.3,59.1,11.0
2016-04-09 21:00:00,,10.5,68.1,84.2,9.0
2016-04-09 22:00:00,,12.7,72.1,91.6,13.0
2016-04-09 23:00:00,,12.6,60.4,79.7,10.0
2016-04-10 00:00:00,,8.2,53.9,66.6,12.0
2016-04-10 01:00:00,,8.2,58.6,71.2,13.0
2016-04-10 02:00:00,,5.7,50.8,59.5,15.0
2016-04-10 03:00:00,,8.8,59.4,72.9,12.0
2016-04-10 04:00:00,,14.4,69.1,91.2,12.0
2016-04-10 05:00:00,,26.7,86.8,127.7,12.0
2016-04-10 06:00:00,,26.4,81.3,121.8,14.0
2016-04-10 07:00:00,,13.3,50.7,71.0,12.0
2016-04-10 08:00:00,,10.2,37.4,53.0,12.0
2016-04-10 09:00:00,,12.1,37.3,55.9,11.0
2016-04-10 10:00:00,,11.3,37.8,55.1,11.0
2016-04-10 11:00:00,,11.3,36.5,53.8,12.0
