MeasurementDateGMT,Nitric Oxide (ug/m3),Nitrogen Dioxide (ug/m3),Oxides of Nitrogen (ug/m3),PM10 Particulate (ug/m3)
2016-04-08 00:00:00,18.0,48.2,75.8,12.0
2016-04-08 01:00:00,11.8,44.4,62.5,10.0
2016-04-08 02:00:00,16.5,48.7,74.1,11.2
2016-04-08 03:00:00,11.5,46.8,64.4,8.4
2016-04-08 04:00:00,26.9,60.1,101.4,11.1
2016-04-08 05:00:00,45.3,63.7,133.2,17.1
2016-04-08 06:00:00,80.2,78.2,201.2,32.3
2016-04-08 07:00:00,106.5,81.2,244.6,50.8
2016-04-08 08:00:00,80.7,74.2,197.9,62.4
2016-04-08 09:00:00,68.4,74.5,179.5,48.6
2016-04-08 10:00:00,43.5,60.0,126.7,47.9
2016-04-08 11:00:00,50.4,65.6,142.9,68.1
2016-04-08 12:00:00,39.7,54.0,114.9,66.4
2016-04-08 13:00:00,36.1,57.6,112.9,59.0
2016-04-08 14:00:00,18.0,44.9,72.6,45.1
2016-04-08 15:00:00,19.3,46.4,76.1,36.8
2016-04-08 16:00:00,11.9,34.3,52.6,26.8
2016-04-08 17:00:00,13.0,36.7,56.7,22.9
2016-04-08 18:00:00,11.1,35.7,52.7,24.9
2016-04-08 19:00:00,9.7,48.0,62.9,28.5
2016-04-08 20:00:00,15.5,47.2,71.0,30.1
2016-04-08 21:00:00,7.3,36.3,47.5,23.3
2016-04-08 22:00:00,7.2,33.9,44.9,21.0
2016-04-08 23:00:00,2.8,25.2,29.5,19.6
2016-04-09 00:00:00,2.5,17.0,20.7,18.6
2016-04-09 01:00:00,2.0,10.2,13.4,14.6
2016-04-09 02:00:00,2.2,6.6,9.9,15.4
2016-04-09 03:00:00,2.0,5.1,8.2,11.9
2016-04-09 04:00:00,3.1,9.4,14.2,6.3
2016-04-09 05:00:00,3.3,13.0,18.2,2.4
2016-04-09 06:00:00,8.9,28.5,42.1,4.7
2016-04-09 07:00:00,16.5,46.5,71.7,11.2
