MeasurementDateGMT,Nitric Oxide (ug/m3),Nitrogen Dioxide (ug/m3),Oxides of Nitrogen (ug/m3),PM10 Particulate (ug/m3)
2016-04-08 00:00:00,31.7,55.1,103.7,14.1
2016-04-08 01:00:00,10.9,38.4,55.2,6.8
2016-04-08 02:00:00,35.4,58.9,113.1,10.6
2016-04-08 03:00:00,41.0,56.1,118.9,9.5
2016-04-08 04:00:00,59.3,66.2,157.1,15.0
2016-04-08 05:00:00,137.5,88.8,299.6,26.4
2016-04-08 06:00:00,150.5,89.2,320.0,26.7
2016-04-08 07:00:00,133.1,86.3,290.3,39.5
2016-04-08 08:00:00,51.9,61.2,140.7,25.8
2016-04-08 09:00:00,41.7,54.6,118.6,25.2
2016-04-08 10:00:00,55.7,76.3,161.7,24.3
2016-04-08 11:00:00,24.5,51.1,88.7,23.8
2016-04-08 12:00:00,40.5,61.7,123.8,23.2
2016-04-08 13:00:00,58.4,72.0,161.5,21.2
2016-04-08 14:00:00,54.3,75.5,158.7,15.1
2016-04-08 15:00:00,48.3,72.1,146.1,28.1
2016-04-08 16:00:00,38.3,68.7,127.4,22.4
2016-04-08 17:00:00,34.1,64.2,116.5,22.5
2016-04-08 18:00:00,38.9,65.4,125.1,21.2
2016-04-08 19:00:00,45.9,75.6,146.0,29.2
2016-04-08 20:00:00,37.7,67.2,125.0,24.4
2016-04-08 21:00:00,40.8,69.4,132.0,26.5
2016-04-08 22:00:00,25.0,44.4,82.7,21.3
2016-04-08 23:00:00,27.2,48.0,89.7,28.4
2016-04-09 00:00:00,24.1,40.5,77.4,24.2
2016-04-09 01:00:00,18.5,31.3,59.7,25.4
2016-04-09 02:00:00,12.0,17.2,35.5,19.3
2016-04-09 03:00:00,15.7,21.3,45.4,15.8
2016-04-09 04:00:00,24.7,33.6,71.5,9.7
2016-04-09 05:00:00,20.0,32.8,63.4,6.5
2016-04-09 06:00:00,30.7,46.1,93.1,4.0
2016-04-09 07:00:00,40.1,58.7,120.2,9.1
2016-04-09 08:00:00,50.8,68.0,145.8,17.0
2016-04-09 09:00:00,40.6,50.7,113.0,13.2
2016-04-09 10:00:00,37.4,48.4,105.7,14.0
2016-04-09 11:00:00,50.2,55.8,132.7,20.6
2016-04-09 12:00:00,46.8,57.6,129.3,17.9
2016-04-09 13:00:00,57.4,72.7,160.7,27.0
2016-04-09 14:00:00,44.0,66.0,133.4,27.9
2016-04-09 15:00:00,33.8,49.0,100.9,12.9
2016-04-09 16:00:00,39.9,64.2,125.3,17.0
2016-04-09 17:00:00,26.8,50.7,91.8,18.3
2016-04-09 18:00:00,24.7,46.0,83.9,5.7
2016-04-09 19:00:00,38.2,73.5,132.2,
