MeasurementDateGMT,Carbon Monoxide (mg/m3),Nitric Oxide (ug/m3),Nitrogen Dioxide (ug/m3),Oxides of Nitrogen (ug/m3),Ozone (ug/m3),PM10 Particulate (ug/m3),PM2.5 Particulate (ug/m3),Sulphur Dioxide (ug/m3)
2016-04-08 00:00:00,,12.3,59.5,78.4,,7.1,,
2016-04-08 01:00:00,,4.7,42.1,49.3,,3.5,,
2016-04-08 02:00:00,,2.7,41.1,45.2,,3.1,,
2016-04-08 03:00:00,,2.8,47.2,51.5,,3.3,,
2016-04-08 04:00:00,,3.8,49.9,55.8,,6.5,,
2016-04-08 05:00:00,,24.2,69.0,106.1,,9.8,,
2016-04-08 06:00:00,,65.1,78.1,177.9,,11.1,,
2016-04-08 07:00:00,,90.5,80.5,219.3,,18.7,,
2016-04-08 08:00:00,,82.7,80.1,206.8,,22.0,,
2016-04-08 09:00:00,,63.9,78.2,176.1,,22.6,,
2016-04-08 10:00:00,,36.1,64.8,120.1,,18.2,,
2016-04-08 11:00:00,,24.2,59.1,96.3,,18.6,,
2016-04-08 12:00:00,,17.2,51.8,78.2,,16.3,,
2016-04-08 13:00:00,,40.3,74.0,135.8,,15.5,,
2016-04-08 14:00:00,,24.9,61.7,99.8,,17.1,,
2016-04-08 15:00:00,,6.6,32.5,42.7,,14.1,,
2016-04-08 16:00:00,,6.6,33.2,43.4,,9.9,,
2016-04-08 17:00:00,,4.7,33.9,41.1,,7.3,,
2016-04-08 18:00:00,,3.4,33.5,38.7,,7.9,,
2016-04-08 19:00:00,,4.4,50.2,56.9,,13.3,,
2016-04-08 20:00:00,,5.1,47.3,55.1,,14.7,,
2016-04-08 21:00:00,,3.0,34.4,39.0,,14.2,,
2016-04-08 22:00:00,,3.1,34.2,39.0,,10.4,,
2016-04-08 23:00:00,,2.3,32.1,35.5,,15.1,,
2016-04-09 00:00:00,,2.3,26.0,29.5,,14.1,,
2016-04-09 01:00:00,,1.9,19.1,22.1,,11.6,,
2016-04-09 02:00:00,,1.1,12.3,13.9,,8.3,,
2016-04-09 03:00:00,,1.6,9.7,12.1,,9.3,,
2016-04-09 04:00:00,,1.4,11.5,13.7,,2.4,,
2016-04-09 05:00:00,,3.9,20.4,26.3,,2.6,,
2016-04-09 06:00:00,,4.2,28.3,34.7,,3.3,,
2016-04-09 07:00:00,,10.7,45.1,61.4,,5.3,,
2016-04-09 08:00:00,,12.2,42.7,61.4,,15.6,,
2016-04-09 09:00:00,,12.2,33.6,52.3,,7.4,,
2016-04-09 10:00:00,,13.7,30.7,51.8,,9.1,,
2016-04-09 11:00:00,,14.9,26.0,48.9,,16.5,,
2016-04-09 12:00:00,,10.7,25.8,42.3,,15.8,,
2016-04-09 13:00:00,,8.3,29.2,42.0,,11.2,,
2016-04-09 14:00:00,,4.8,20.1,27.5,,11.3,,
2016-04-09 15:00:00,,6.4,21.6,31.4,,4.2,,
2016-04-09 16:00:00,,3.2,15.9,20.8,,-0.2,,
2016-04-09 17:00:00,,3.5,20.6,26.0,,4.3,,
2016-04-09 18:00:00,,6.8,38.8,49.2,,6.0,,
2016-04-09 19:00:00,,4.5,40.3,47.2,,6.7,,
2016-04-09 20:00:00,,4.0,36.3,42.4,,5.3,,
2016-04-09 21:00:00,,3.6,40.9,46.4,,7.2,,
2016-04-09 22:00:00,,2.8,40.5,44.8,,8.5,,
2016-04-09 23:00:00,,5.2,42.4,50.4,,8.6,,
2016-04-10 00:00:00,,4.7,42.4,49.6,,8.3,,
2016-04-10 01:00:00,,2.9,44.5,48.9,,10.9,,
2016-04-10 02:00:00,,7.3,61.0,72.2,,12.0,,
2016-04-10 03:00:00,,2.7,50.3,54.4,,10.5,,
2016-04-10 04:00:00,,5.2,57.5,65.4,,9.9,,
2016-04-10 05:00:00,,7.0,54.1,64.8,,8.4,,
2016-04-10 06:00:00,,9.4,50.0,64.4,,10.1,,
2016-04-10 07:00:00,,7.3,35.3,46.6,,10.3,,
2016-04-10 08:00:00,,4.7,23.3,30.5,,10.0,,
2016-04-10 09:00:00,,5.5,20.8,29.2,,6.8,,
2016-04-10 10:00:00,,6.4,22.2,32.0,,6.9,,
2016-04-10 11:00:00,,6.0,21.5,30.7,,7.7,,
2016-04-10 12:00:00,,4.2,16.6,23.0,,5.5,,
2016-04-10 13:00:00,,8.3,27.0,39.7,,8.2,,
2016-04-10 14:00:00,,7.7,31.8,43.6,,12.3,,
2016-04-10 15:00:00,,6.1,29.4,38.7,,16.8,,
2016-04-10 16:00:00,,6.0,32.4,41.6,,14.1,,
2016-04-10 17:00:00,,5.4,34.2,42.5,,13.1,,
2016-04-10 18:00:00,,3.3,37.8,42.9,,14.1,,
2016-04-10 19:00:00,,2.9,38.4,42.9,,15.6,,
2016-04-10 20:00:00,,3.1,41.4,46.2,,17.6,,
2016-04-10 21:00:00,,2.6,42.0,46.0,,19.6,,
2016-04-10 22:00:00,,3.3,44.0,49.0,,25.3,,
2016-04-10 23:00:00,,3.0,38.6,43.2,,25.0,,
2016-04-11 00:00:00,,2.4,32.4,36.1,,26.7,,
