MeasurementDateGMT,Nitric Oxide (ug/m3),Nitrogen Dioxide (ug/m3),Oxides of Nitrogen (ug/m3),PM10 Particulate (ug/m3)
2016-04-08 00:00:00,139.1,95.7,309.1,
2016-04-08 01:00:00,106.6,96.5,259.9,
2016-04-08 02:00:00,87.5,91.3,225.5,
2016-04-08 03:00:00,82.9,80.5,207.6,
2016-04-08 04:00:00,90.9,87.7,227.1,
2016-04-08 05:00:00,194.3,118.0,416.0,
2016-04-08 06:00:00,300.0,138.7,598.7,
2016-04-08 07:00:00,296.1,146.1,600.2,
2016-04-08 08:00:00,301.8,175.5,638.2,
2016-04-08 09:00:00,214.6,138.6,467.8,
2016-04-08 10:00:00,171.3,131.2,393.9,
2016-04-08 11:00:00,207.7,166.3,484.8,
2016-04-08 12:00:00,187.8,164.4,452.3,
2016-04-08 13:00:00,160.5,126.2,372.3,
2016-04-08 14:00:00,173.0,121.5,386.8,
2016-04-08 15:00:00,253.7,179.1,568.0,
2016-04-08 16:00:00,271.9,205.3,622.2,
2016-04-08 17:00:00,240.3,203.2,571.7,
2016-04-08 18:00:00,175.2,174.3,443.0,
2016-04-08 19:00:00,222.5,146.5,487.8,
2016-04-08 20:00:00,133.6,126.4,331.2,
2016-04-08 21:00:00,96.8,99.7,248.2,
2016-04-08 22:00:00,86.7,104.5,237.4,
2016-04-08 23:00:00,58.3,66.0,155.4,
2016-04-09 00:00:00,39.1,55.4,115.3,
2016-04-09 01:00:00,28.5,41.9,85.7,
2016-04-09 02:00:00,25.7,44.1,83.5,
2016-04-09 03:00:00,18.1,38.6,66.3,
2016-04-09 04:00:00,20.9,33.7,65.7,
2016-04-09 05:00:00,21.3,49.3,81.9,
2016-04-09 06:00:00,48.7,59.8,134.5,
2016-04-09 07:00:00,93.5,96.3,239.7,
2016-04-09 08:00:00,101.5,105.1,260.7,
2016-04-09 09:00:00,162.2,111.4,360.0,
2016-04-09 10:00:00,165.8,112.7,367.0,
2016-04-09 11:00:00,182.0,128.2,407.2,
2016-04-09 12:00:00,222.8,155.2,496.8,
2016-04-09 13:00:00,177.1,165.9,437.5,
2016-04-09 14:00:00,129.8,148.0,347.1,
2016-04-09 15:00:00,160.6,165.0,411.3,
2016-04-09 16:00:00,198.5,176.5,480.9,
2016-04-09 17:00:00,337.5,230.2,747.7,
2016-04-09 18:00:00,317.5,201.9,688.7,
2016-04-09 19:00:00,267.8,202.8,613.3,
2016-04-09 20:00:00,204.5,155.5,469.1,
2016-04-09 21:00:00,128.6,120.7,317.8,
2016-04-09 22:00:00,134.7,111.1,317.7,
2016-04-09 23:00:00,97.8,95.0,244.9,
2016-04-10 00:00:00,104.3,108.8,268.7,
2016-04-10 01:00:00,73.6,85.4,198.2,
2016-04-10 02:00:00,123.6,104.4,293.9,
2016-04-10 03:00:00,145.1,118.1,340.6,
2016-04-10 04:00:00,77.8,90.4,209.6,
2016-04-10 05:00:00,38.1,61.4,119.8,
2016-04-10 06:00:00,70.1,84.0,191.5,
2016-04-10 07:00:00,53.1,64.1,145.6,
2016-04-10 08:00:00,47.7,52.5,125.7,
2016-04-10 09:00:00,37.7,65.8,123.6,
2016-04-10 10:00:00,60.8,70.7,163.9,
2016-04-10 11:00:00,83.9,87.9,216.5,
2016-04-10 12:00:00,90.0,124.0,262.0,
2016-04-10 13:00:00,103.8,108.8,267.9,
2016-04-10 14:00:00,51.6,78.8,157.9,
2016-04-10 15:00:00,69.6,126.6,233.4,
2016-04-10 16:00:00,61.6,102.7,197.1,
2016-04-10 17:00:00,80.9,93.3,217.4,
2016-04-10 18:00:00,55.2,69.8,154.4,
2016-04-10 19:00:00,40.5,65.0,127.1,
2016-04-10 20:00:00,22.5,63.5,97.9,
2016-04-10 21:00:00,33.1,65.0,115.7,
2016-04-10 22:00:00,41.7,72.3,136.4,
2016-04-10 23:00:00,31.4,62.6,110.8,
2016-04-11 00:00:00,23.0,55.5,90.7,
2016-04-11 01:00:00,21.3,50.5,83.2,
2016-04-11 02:00:00,14.7,44.1,66.5,
2016-04-11 03:00:00,17.2,47.6,73.9,
2016-04-11 04:00:00,20.6,50.4,81.9,
2016-04-11 05:00:00,35.1,70.1,123.9,
2016-04-11 06:00:00,81.7,86.9,212.1,
2016-04-11 07:00:00,111.6,99.0,270.2,
2016-04-11 08:00:00,61.1,88.1,181.8,
2016-04-11 09:00:00,126.0,133.7,327.0,
2016-04-11 10:00:00,131.8,138.0,340.1,
2016-04-11 11:00:00,189.1,131.8,421.7,
2016-04-11 12:00:00,266.7,183.9,592.9,
2016-04-11 13:00:00,242.6,159.7,531.6,
2016-04-11 14:00:00,300.5,190.9,651.7,
2016-04-11 15:00:00,492.9,192.0,947.8,
2016-04-11 16:00:00,210.9,127.4,450.8,
2016-04-11 17:00:00,249.3,180.4,562.6,
2016-04-11 18:00:00,305.1,179.3,647.2,
2016-04-11 19:00:00,291.4,181.0,627.8,
2016-04-11 20:00:00,244.0,137.4,511.5,
2016-04-11 21:00:00,141.8,98.3,315.7,
2016-04-11 22:00:00,123.6,94.7,284.2,
2016-04-11 23:00:00,94.2,77.3,221.8,
2016-04-12 00:00:00,64.1,76.5,174.8,
2016-04-12 01:00:00,44.2,50.4,118.2,
2016-04-12 02:00:00,48.4,59.7,133.9,
2016-04-12 03:00:00,62.2,57.3,152.7,
2016-04-12 04:00:00,51.0,64.0,142.2,
2016-04-12 05:00:00,75.2,83.4,198.7,
2016-04-12 06:00:00,136.6,110.4,319.9,
2016-04-12 07:00:00,187.5,127.1,414.6,
2016-04-12 08:00:00,104.7,91.1,251.6,
2016-04-12 09:00:00,138.7,151.5,364.1,
2016-04-12 10:00:00,132.5,120.4,323.6,
2016-04-12 11:00:00,158.4,130.7,373.5,
2016-04-12 12:00:00,235.1,181.2,541.7,
2016-04-12 13:00:00,292.5,179.8,628.3,
2016-04-12 14:00:00,183.6,145.1,426.7,
2016-04-12 15:00:00,190.6,136.5,428.8,
2016-04-12 16:00:00,327.1,256.3,757.9,
2016-04-12 17:00:00,220.5,146.9,484.9,
2016-04-12 18:00:00,192.6,176.9,472.1,
2016-04-12 19:00:00,199.5,154.0,459.9,
2016-04-12 20:00:00,166.0,125.3,379.8,
2016-04-12 21:00:00,153.4,127.4,362.6,
2016-04-12 22:00:00,172.8,144.6,409.5,
2016-04-12 23:00:00,104.3,113.9,273.9,
2016-04-13 00:00:00,83.1,98.5,225.8,
2016-04-13 01:00:00,75.8,90.5,206.7,
2016-04-13 02:00:00,67.8,101.0,205.0,
2016-04-13 03:00:00,86.8,91.0,224.2,
2016-04-13 04:00:00,137.1,113.7,324.0,
2016-04-13 05:00:00,173.3,117.4,383.1,
2016-04-13 06:00:00,248.0,170.5,550.7,
2016-04-13 07:00:00,288.3,158.7,600.8,
2016-04-13 08:00:00,177.9,134.8,407.5,
2016-04-13 09:00:00,191.0,124.7,417.6,
2016-04-13 10:00:00,228.3,160.4,510.5,
2016-04-13 11:00:00,183.7,150.1,431.7,
2016-04-13 12:00:00,205.1,137.6,452.0,
2016-04-13 13:00:00,154.6,137.3,374.4,
2016-04-13 14:00:00,325.9,234.5,734.3,
2016-04-13 15:00:00,285.2,200.8,638.1,
2016-04-13 16:00:00,246.0,191.7,568.9,
2016-04-13 17:00:00,241.1,175.3,545.0,
2016-04-13 18:00:00,333.6,192.2,703.8,
2016-04-13 19:00:00,236.3,159.8,522.2,
2016-04-13 20:00:00,250.3,149.6,533.5,
2016-04-13 21:00:00,169.9,151.3,411.8,
2016-04-13 22:00:00,177.5,142.7,414.8,
2016-04-13 23:00:00,79.6,103.4,225.5,
2016-04-14 00:00:00,98.8,111.6,263.0,
2016-04-14 01:00:00,84.5,99.2,228.8,
